dataset,n,geometry_experiment,scale_group
ETTh1,2,segsweep_etth1_merge_n2,segsweep_etth1_merge_n2_diagnostics
ETTh1,3,noisefloor_etth,noisefloor_etth_diagnostics
ETTh1,5,segsweep_etth1_merge_n5,segsweep_etth1_merge_n5_diagnostics
ETTh2,2,etth2_merge_n2,etth2_merge_n2_diagnostics
ETTh2,3,etth2_merge_n3,etth2_merge_n3_diagnostics
ETTh2,5,etth2_merge_n5,etth2_merge_n5_diagnostics
ETTm2,2,ettm2_merge_n2,ettm2_merge_n2_diagnostics
ETTm2,3,ettm2_merge_n3,ettm2_merge_n3_diagnostics
ETTm2,5,ettm2_merge_n5,ettm2_merge_n5_diagnostics
exchange_rate,2,segsweep_exchange_merge_n2,segsweep_exchange_merge_n2_diagnostics
exchange_rate,3,exch_incremental|exch_gate_incremental,exch_incremental_diagnostics
exchange_rate,5,segsweep_exchange_merge_n5,segsweep_exchange_merge_n5_diagnostics
SWaT,2,segsweep_swat_merge_n2,segsweep_swat_merge_n2_diagnostics
SWaT,3,noisefloor_swat,noisefloor_swat_diagnostics
SWaT,5,segsweep_swat_merge_n5,segsweep_swat_merge_n5_diagnostics
PSM,2,segsweep_psm_merge_n2,segsweep_psm_merge_n2_diagnostics
PSM,3,noisefloor_psm,noisefloor_psm_diagnostics
PSM,5,segsweep_psm_merge_n5,segsweep_psm_merge_n5_diagnostics
