dataset,n,role,experiment
ETTh1,2,merge,segsweep_etth1_merge_n2
ETTh1,2,sequential,segsweep_etth1_seq_n2
ETTh1,2,joint,noisefloor_std_etth
ETTh1,3,merge,noisefloor_etth
ETTh1,3,sequential,continual_etth
ETTh1,3,joint,noisefloor_std_etth
ETTh1,5,merge,segsweep_etth1_merge_n5
ETTh1,5,sequential,segsweep_etth1_seq_n5
ETTh1,5,joint,noisefloor_std_etth
ETTh2,2,merge,etth2_merge_n2
ETTh2,2,sequential,etth2_continual_n2
ETTh2,2,joint,etth2_gate_joint
ETTh2,3,merge,etth2_merge_n3
ETTh2,3,sequential,etth2_continual_n3
ETTh2,3,joint,etth2_gate_joint
ETTh2,5,merge,etth2_merge_n5
ETTh2,5,sequential,etth2_continual_n5
ETTh2,5,joint,etth2_gate_joint
ETTm2,2,merge,ettm2_merge_n2
ETTm2,2,sequential,ettm2_continual_n2
ETTm2,2,joint,ettm2_gate_joint
ETTm2,3,merge,ettm2_merge_n3
ETTm2,3,sequential,ettm2_continual_n3
ETTm2,3,joint,ettm2_gate_joint
ETTm2,5,merge,ettm2_merge_n5
ETTm2,5,sequential,ettm2_continual_n5
ETTm2,5,joint,ettm2_gate_joint
exchange,2,merge,segsweep_exchange_merge_n2
exchange,2,sequential,segsweep_exchange_seq_n2
exchange,2,joint,exch_gate_standard
exchange,3,merge,exch_incremental
exchange,3,sequential,exch_continual
exchange,3,joint,exch_gate_standard
exchange,5,merge,segsweep_exchange_merge_n5
exchange,5,sequential,segsweep_exchange_seq_n5
exchange,5,joint,exch_gate_standard
SWaT,2,merge,segsweep_swat_merge_n2
SWaT,2,sequential,segsweep_swat_seq_n2
SWaT,2,joint,noisefloor_std_swat
SWaT,3,merge,noisefloor_swat
SWaT,3,sequential,continual_swat
SWaT,3,joint,noisefloor_std_swat
SWaT,5,merge,segsweep_swat_merge_n5
SWaT,5,sequential,segsweep_swat_seq_n5
SWaT,5,joint,noisefloor_std_swat
PSM,2,merge,segsweep_psm_merge_n2
PSM,2,sequential,segsweep_psm_seq_n2
PSM,2,joint,noisefloor_std_psm
PSM,3,merge,noisefloor_psm
PSM,3,sequential,continual_psm
PSM,3,joint,noisefloor_std_psm
PSM,5,merge,segsweep_psm_merge_n5
PSM,5,sequential,segsweep_psm_seq_n5
PSM,5,joint,noisefloor_std_psm
