dataset,n,metric,floor_pct,joint_experiment,merge_experiment,seq_experiment,window_W1_experiment,window_W2_experiment,window_W3_experiment,diagnostics_group
ETTh1,2,forecast/mse,8.76,noisefloor_std_etth,segsweep_etth1_merge_n2,segsweep_etth1_seq_n2,window_etth1_W1,window_etth1_W2,window_etth1_W3,segsweep_etth1_merge_n2_diagnostics
ETTh1,3,forecast/mse,8.76,noisefloor_std_etth,noisefloor_etth,continual_etth,window_etth1_W1,window_etth1_W2,window_etth1_W3,noisefloor_etth_diagnostics
ETTh1,5,forecast/mse,8.76,noisefloor_std_etth,segsweep_etth1_merge_n5,segsweep_etth1_seq_n5,window_etth1_W1,window_etth1_W2,window_etth1_W3,segsweep_etth1_merge_n5_diagnostics
ETTh2,2,forecast/mse,6.74,etth2_gate_joint,etth2_merge_n2,etth2_continual_n2,etth2_window_W1,etth2_window_W2,etth2_window_W3,etth2_merge_n2_diagnostics
ETTh2,3,forecast/mse,6.74,etth2_gate_joint,etth2_merge_n3,etth2_continual_n3,etth2_window_W1,etth2_window_W2,etth2_window_W3,etth2_merge_n3_diagnostics
ETTh2,5,forecast/mse,6.74,etth2_gate_joint,etth2_merge_n5,etth2_continual_n5,etth2_window_W1,etth2_window_W2,etth2_window_W3,etth2_merge_n5_diagnostics
ETTm2,2,forecast/mse,14.11,ettm2_gate_joint,ettm2_merge_n2,ettm2_continual_n2,ettm2_window_W1,ettm2_window_W2,ettm2_window_W3,ettm2_merge_n2_diagnostics
ETTm2,3,forecast/mse,14.11,ettm2_gate_joint,ettm2_merge_n3,ettm2_continual_n3,ettm2_window_W1,ettm2_window_W2,ettm2_window_W3,ettm2_merge_n3_diagnostics
ETTm2,5,forecast/mse,14.11,ettm2_gate_joint,ettm2_merge_n5,ettm2_continual_n5,ettm2_window_W1,ettm2_window_W2,ettm2_window_W3,ettm2_merge_n5_diagnostics
exchange,2,forecast/mse,5.73,exch_gate_standard,segsweep_exchange_merge_n2,segsweep_exchange_seq_n2,window_exchange_W1,window_exchange_W2,window_exchange_W3,segsweep_exchange_merge_n2_diagnostics
exchange,3,forecast/mse,5.73,exch_gate_standard,exch_incremental,exch_continual,window_exchange_W1,window_exchange_W2,window_exchange_W3,exch_incremental_diagnostics
exchange,5,forecast/mse,5.73,exch_gate_standard,segsweep_exchange_merge_n5,segsweep_exchange_seq_n5,window_exchange_W1,window_exchange_W2,window_exchange_W3,segsweep_exchange_merge_n5_diagnostics
SWaT,2,window_auroc,0.09,noisefloor_std_swat,segsweep_swat_merge_n2,segsweep_swat_seq_n2,window_swat_W1,window_swat_W2,window_swat_W3,
SWaT,3,window_auroc,0.09,noisefloor_std_swat,noisefloor_swat,continual_swat,window_swat_W1,window_swat_W2,window_swat_W3,
SWaT,5,window_auroc,0.09,noisefloor_std_swat,segsweep_swat_merge_n5,segsweep_swat_seq_n5,window_swat_W1,window_swat_W2,window_swat_W3,
PSM,2,window_auroc,0.07,noisefloor_std_psm,segsweep_psm_merge_n2,segsweep_psm_seq_n2,window_psm_W1,window_psm_W2,window_psm_W3,
PSM,3,window_auroc,0.07,noisefloor_std_psm,noisefloor_psm,continual_psm,window_psm_W1,window_psm_W2,window_psm_W3,
PSM,5,window_auroc,0.07,noisefloor_std_psm,segsweep_psm_merge_n5,segsweep_psm_seq_n5,window_psm_W1,window_psm_W2,window_psm_W3,
