dataset,n,merge_experiment,seq_experiment,metric,floor_pct
ETTh1,2,segsweep_etth1_merge_n2,segsweep_etth1_seq_n2,forecast/mse,8.20
ETTh1,3,noisefloor_etth,continual_etth,forecast/mse,8.20
ETTh1,5,segsweep_etth1_merge_n5,segsweep_etth1_seq_n5,forecast/mse,8.20
ETTh2,2,etth2_merge_n2,etth2_continual_n2,forecast/mse,6.74
ETTh2,3,etth2_merge_n3,etth2_continual_n3,forecast/mse,6.74
ETTh2,5,etth2_merge_n5,etth2_continual_n5,forecast/mse,6.74
ETTm2,2,ettm2_merge_n2,ettm2_continual_n2,forecast/mse,14.11
ETTm2,3,ettm2_merge_n3,ettm2_continual_n3,forecast/mse,14.11
ETTm2,5,ettm2_merge_n5,ettm2_continual_n5,forecast/mse,14.11
exchange,2,segsweep_exchange_merge_n2,segsweep_exchange_seq_n2,forecast/mse,5.29
exchange,3,exch_incremental,exch_continual,forecast/mse,5.29
exchange,5,segsweep_exchange_merge_n5,segsweep_exchange_seq_n5,forecast/mse,5.29
SWaT,2,segsweep_swat_merge_n2,segsweep_swat_seq_n2,window_auroc,0.13
SWaT,3,noisefloor_swat,continual_swat,window_auroc,0.13
SWaT,5,segsweep_swat_merge_n5,segsweep_swat_seq_n5,window_auroc,0.13
PSM,2,segsweep_psm_merge_n2,segsweep_psm_seq_n2,window_auroc,0.07
PSM,3,noisefloor_psm,continual_psm,window_auroc,0.07
PSM,5,segsweep_psm_merge_n5,segsweep_psm_seq_n5,window_auroc,0.07
