dataset,n_segments,metric,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,n_seeds,floor_pct,acc_adaptive,acc_adaptive_sd,acc_plain,acc_plain_sd,acc_delta_pct,margin_ratio,borderline,verdict,own_spread_pct,margin_over_own_spread,bwt_adaptive,bwt_plain,base_slice_adaptive,base_slice_plain
ETTh1,3,forecast/mse,became,1,512,512,3,8.759,0.35873288081751925,0.014523107475916272,0.3188343544801076,0.019083209114059668,12.513873043094843,1.4286874121583335,True,worse,5.318481079928643,2.3529035555510034,-0.09152639160553615,-0.038784017165501915,0.9413458776013696,1.1104490217188496
ETTh1,3,forecast/mse,became,128,64,8192,3,8.759,0.4753650741444693,0.040604536164265445,0.3188343544801076,0.019083209114059668,49.0946842662552,5.6050558586888,False,worse,9.950174389876464,4.934052644967234,-0.04462437331676483,-0.038784017165501915,0.9524391590299658,1.1104490217188496
ETTh2,2,forecast/mse,became,1,512,512,3,6.741,0.6361165369550387,0.20613361969519417,0.3419313505291939,0.0880936895208446,86.03633038343685,12.763140540489074,False,worse,46.35759386403692,1.8559274373854358,-0.0014035354057947795,0.3180064857006073,0.9571393786931418,1.2502620458196074
ETTh2,2,forecast/mse,became,128,64,8192,3,6.741,0.6862201392650604,0.23898584157156413,0.3419313505291939,0.0880936895208446,100.68944780963318,14.936871059135616,False,worse,52.672491808913406,1.911613526371923,0.00352396567662557,0.3180064857006073,0.9780716256193284,1.2502620458196074
ETTh2,3,forecast/mse,became,1,512,512,3,6.741,0.693716491262118,0.12662542170400298,0.22607573204570344,0.03118556559844728,206.8513745304942,30.6855621614737,False,worse,40.78861882131354,5.071301272461985,-0.06206588198741277,0.10470841204126675,1.093716962112617,1.1461682101174875
ETTh2,3,forecast/mse,became,128,64,8192,3,6.741,0.8546483748488957,0.18359412177998655,0.22607573204570344,0.03118556559844728,278.0363186775483,41.245559809753495,False,worse,58.24604947657102,4.773479423516716,-0.006898529827594757,0.10470841204126675,1.198308562764587,1.1461682101174875
ETTh2,5,forecast/mse,became,1,512,512,3,6.741,0.46207848687966663,0.09033952755984383,0.20986413806676865,0.011575400023731367,120.17982259201213,17.828189080553646,False,worse,30.687444765342242,3.9162538136032983,-0.024096570909023285,0.0458562970161438,1.1069734730538745,1.185884491889609
ETTh2,5,forecast/mse,became,128,64,8192,3,6.741,0.5086025685071945,0.10089124542641649,0.20986413806676865,0.011575400023731367,142.34848945243886,21.116820865218642,False,worse,34.216846381948336,4.160187290887718,-0.0009218851725260416,0.0458562970161438,1.1066536465717858,1.185884491889609
ETTm2,2,forecast/mse,became,1,512,512,3,14.107,0.3643418066203594,0.02289706218845729,0.1433293136457602,0.010747991654998462,154.19908695079204,10.930678879335936,False,worse,12.478728265051144,12.356955266239227,-0.0013774832089742024,0.09993252903223038,0.578004186368552,0.7944373474853627
ETTm2,2,forecast/mse,became,128,64,8192,3,14.107,0.40212702254454297,0.028356187940779876,0.1433293136457602,0.010747991654998462,180.561604821749,12.799433247448006,False,worse,14.960556306780598,12.069177182930876,-0.001001983880996704,0.09993252903223038,0.597574427622006,0.7944373474853627
ETTm2,3,forecast/mse,became,1,512,512,3,14.107,0.3620527883370717,0.012060847295365738,0.11322082993057038,0.014550995086457257,219.7757767356862,15.579200165569308,False,worse,11.80352311566899,18.619506615269586,-0.03495987877249718,0.04369340588649114,0.5765316488310127,0.8862067390091074
ETTm2,3,forecast/mse,became,128,64,8192,3,14.107,0.3924862874878778,0.05406659472928283,0.11322082993057038,0.014550995086457257,246.65554715378738,17.484620908328303,False,worse,34.96813435375117,7.053723388800915,-0.002694159746170044,0.04369340588649114,0.6850763590440571,0.8862067390091074
ETTm2,5,forecast/mse,became,1,512,512,3,14.107,0.41083439240852987,0.029370976387509594,0.1614946410059929,0.015685542023699827,154.3950621824561,10.944570935170916,False,worse,14.579144701597201,10.59013168073855,-0.025406222169597942,0.10565421047310035,0.9102712382334568,1.3420700464985842
ETTm2,5,forecast/mse,became,128,64,8192,3,14.107,0.5236297304431597,0.05112799937670571,0.1614946410059929,0.015685542023699827,224.23969438325105,15.895632975349193,False,worse,23.416293063584433,9.576225142653971,-0.002385394647717476,0.10565421047310035,1.038585191519173,1.3420700464985842
PSM,3,reconstruction/score_mean,became,64,64,4096,3,,0.3054149529597186,0.029373459065103833,0.28037486220522695,0.032883250980138674,8.930932879482958,,False,no_floor,11.120035030812126,0.8031389159059787,-0.026672640210341242,-0.05063086586187634,1.1193549990587461,1.1588138441048523
SWaT,3,reconstruction/score_mean,became,64,64,4096,3,,0.044240320527633825,0.002401943259772464,0.042901995598156155,0.0003392511741619514,3.119493419404455,,False,no_floor,3.998153301677211,0.7802335688568617,-0.002466589676447786,0.006430361305738858,0.9998316416559225,1.6348009110307256
exchange_rate,3,forecast/mse,became,1,512,512,3,5.734,0.21775475144386292,0.010213838477140427,0.10236555172337426,0.010912311538168672,112.72268627273031,19.65864776294564,False,worse,10.324612610771764,10.917861088088253,-0.030617764219641685,0.04139518178999424,0.6955475780687598,0.8464955341388366
exchange_rate,3,forecast/mse,became,128,64,8192,3,5.734,0.277428230477704,0.06273562015549036,0.10236555172337426,0.010912311538168672,171.01717893086465,29.825109684489824,False,worse,43.986342192440155,3.887960908016967,-0.028128540764252346,0.04139518178999424,0.7220766932979877,0.8464955341388366
exchange_rate,3,forecast/mse,one_over_t,0,0,0,3,5.734,0.27685073514779407,0.0032223242611405458,0.10236555172337426,0.010912311538168672,170.45302886261658,29.726722857100903,False,worse,7.859631544261256,21.68715262321344,-0.03200290414194266,0.04139518178999424,0.7286220358148542,0.8464955341388366
