dataset,n,mean_cosine,n_seeds,alignment,alpha_star_n
ETTh1,2,0.307,3,0.8084,1.133
ETTh1,3,0.2252,3,0.6953,1.1
ETTh1,5,0.1977,3,0.5985,1.333
ETTh2,2,0.1313,3,0.7521,0.9
ETTh2,3,0.227,3,0.6962,0.9
ETTh2,5,0.2438,3,0.6285,1.0
ETTm2,2,0.1793,3,0.7679,0.7
ETTm2,3,0.1838,3,0.6752,0.825
ETTm2,5,0.2006,3,0.6004,0.917
exchange_rate,2,0.185,3,0.7697,1.6
exchange_rate,3,0.2366,6,0.7008,1.9
exchange_rate,5,0.2133,3,0.6088,1.5
SWaT,2,0.7694,3,0.9406,1.2
SWaT,3,0.7357,3,0.9076,1.1
SWaT,5,0.7104,3,0.8765,1.5
PSM,2,0.3823,3,0.8313,1.533
PSM,3,0.3912,3,0.7708,1.8
PSM,5,0.3325,3,0.6826,2.5
