dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,2,c05,ta,calibrated,3,0.7957582936569548,0.005928930765384479,0.5 0.5 1,0.3714,0.068,3.5986835715488388,4.422422911541027,0.8137357379723891,better,worse
PSM,2,c05,ta,validation,3,0.7925634032971677,0.001344987354937365,0.5 0.5 0.5,0.3714,0.068,3.1827451665486057,4.422422911541027,0.7196835830066632,,
PSM,2,c05,ta,committed,3,0.8018425287661395,0.0009629665866377901,1 1 1,0.3714,0.068,4.390781816550674,4.422422911541027,0.9928453032142674,,
PSM,2,c05,ta,distance_matched,3,0.8018425287661395,0.0009629665866377901,1 1 1,0.3714,0.068,4.390781816550674,4.422422911541027,0.9928453032142674,,
PSM,2,c05,ta,oracle,3,0.802085569149385,0.0005424699690197959,2 1 1,0.3714,0.068,4.422422911541027,4.422422911541027,1.0,,
PSM,2,c05,ta,base,3,0.7681162213874818,0.002852996545498606,0 0 0,0.3714,0.068,0.0,4.422422911541027,0.0,,
PSM,2,c05,dare,calibrated,3,0.7957375824483816,0.005577299214232981,0.5 0.5 1,0.3714,0.068,3.5959872076397597,4.446329656631489,0.8087540702872797,better,tie
PSM,2,c05,dare,validation,3,0.792757388366276,0.001217913540571457,0.5 0.5 0.5,0.3714,0.068,3.207999817304175,4.446329656631489,0.7214939208386396,,
PSM,2,c05,dare,distance_matched,3,0.7961541539057125,0.0014401785318477515,dm dm dm,0.3714,0.068,3.6502200757568413,4.446329656631489,0.8209512918846923,,
PSM,2,c05,dare,oracle,3,0.8022692007364306,0.00039469026269521064,2 1 1,0.3714,0.068,4.446329656631489,4.446329656631489,1.0,,
PSM,2,c05,dare,base,3,0.7681162213874818,0.002852996545498606,0 0 0,0.3714,0.068,0.0,4.446329656631489,0.0,,
PSM,2,c05,ties,calibrated,3,0.7741869771908575,0.00813174811933123,0.5 0.5 0,0.3714,0.068,0.7903433926196496,4.13133670702414,0.19130452167597475,worse,worse
PSM,2,c05,ties,validation,3,0.7867065396607954,0.0011430243200736359,1 1 1,0.3714,0.068,2.4202481025245226,4.13133670702414,0.5858268822315046,,
PSM,2,c05,ties,distance_matched,3,0.7976991455072145,0.0014218118256602622,dm dm dm,0.3714,0.068,3.8513604186480803,4.13133670702414,0.9322310650932806,,
PSM,2,c05,ties,oracle,3,0.7998496887942697,0.0016091440008211776,3 2 2,0.3714,0.068,4.13133670702414,4.13133670702414,1.0,,
PSM,2,c05,ties,base,3,0.7681162213874818,0.002852996545498606,0 0 0,0.3714,0.068,0.0,4.13133670702414,0.0,,
PSM,2,c05,iso_c,calibrated,3,0.7860964284830653,0.0019447998821061213,5 5 5,0.3714,0.068,2.3408185629910307,2.3408185629910307,1.0,tie,better
PSM,2,c05,iso_c,validation,3,0.7860964284830653,0.0019447998821061213,5 5 5,0.3714,0.068,2.3408185629910307,2.3408185629910307,1.0,,
PSM,2,c05,iso_c,distance_matched,3,0.7797003852926556,0.0018414857262410906,dm dm dm,0.3714,0.068,1.5081264504802183,2.3408185629910307,0.6442731078453077,,
PSM,2,c05,iso_c,oracle,3,0.7860964284830653,0.0019447998821061213,5 5 5,0.3714,0.068,2.3408185629910307,2.3408185629910307,1.0,,
PSM,2,c05,iso_c,base,3,0.7681162213874818,0.002852996545498606,0 0 0,0.3714,0.068,0.0,2.3408185629910307,0.0,,
PSM,2,c05,tsv,calibrated,3,0.7968781373633397,0.005869460258275055,1 1 2,0.3714,0.068,3.7444744916210677,4.6674877358902584,0.8022462411263007,better,tie
PSM,2,c05,tsv,validation,3,0.793837008181525,0.0014511062238892496,1 1 1,0.3714,0.068,3.3485540440198798,4.6674877358902584,0.717421069641266,,
PSM,2,c05,tsv,distance_matched,3,0.7966534349055552,0.0016688758818319694,dm dm dm,0.3714,0.068,3.715220786058307,4.6674877358902584,0.7959786926680976,,
PSM,2,c05,tsv,oracle,3,0.8039679518181262,0.0008452703861368711,3 2 2,0.3714,0.068,4.6674877358902584,4.6674877358902584,1.0,,
