dataset,n_segments,c,cut_requested,cut,cut_moved_by,calib_windows,eval_windows,dropped_windows,calib_anomalous_windows,eval_anomalous_windows,calib_events,eval_events
PSM,2,c05,4392,4392,0,4293,83350,99,686,28786,5,67
PSM,2,c10,8784,8784,0,8685,78958,99,2168,27355,12,60
PSM,2,c20,17568,17568,0,17469,70174,99,3377,26047,22,50
PSM,2,c30,26352,26852,500,26753,60890,99,12337,17087,23,49
PSM,3,c05,4392,4392,0,4293,83350,99,686,28786,5,67
PSM,3,c10,8784,8784,0,8685,78958,99,2168,27355,12,60
PSM,3,c20,17568,17568,0,17469,70174,99,3377,26047,22,50
PSM,3,c30,26352,26852,500,26753,60890,99,12337,17087,23,49
PSM,5,c05,4392,4392,0,4293,83350,99,686,28786,5,67
PSM,5,c10,8784,8784,0,8685,78958,99,2168,27355,12,60
PSM,5,c20,17568,17568,0,17469,70174,99,3377,26047,22,50
PSM,5,c30,26352,26852,500,26753,60890,99,12337,17087,23,49
SWaT,2,c05,22496,22496,0,22397,427324,99,5258,52744,8,27
SWaT,2,c10,44992,44992,0,44893,404828,99,5258,52744,8,27
SWaT,2,c20,89984,89984,0,89885,359836,99,6078,51924,9,26
SWaT,2,c30,134976,134976,0,134877,314844,99,10307,47695,17,18
SWaT,3,c05,22496,22496,0,22397,427324,99,5258,52744,8,27
SWaT,3,c10,44992,44992,0,44893,404828,99,5258,52744,8,27
SWaT,3,c20,89984,89984,0,89885,359836,99,6078,51924,9,26
SWaT,3,c30,134976,134976,0,134877,314844,99,10307,47695,17,18
SWaT,5,c05,22496,22496,0,22397,427324,99,5258,52744,8,27
SWaT,5,c10,44992,44992,0,44893,404828,99,5258,52744,8,27
SWaT,5,c20,89984,89984,0,89885,359836,99,6078,51924,9,26
SWaT,5,c30,134976,134976,0,134877,314844,99,10307,47695,17,18
