dataset,sweep,record_run_id,criterion,split,rank,n_trials
SWaT,train_incremental,58941,merged_val_reconstruction/score_mean,val,12,15
SWaT,train_incremental,58941,merged_test_window_auroc,test,4,15
SWaT,train_incremental,58941,merged_test_window_auprc,test,3,15
SWaT,train_incremental,58941,merged_test_window_f1,test,2,15
SWaT,train_incremental,58941,merged_test_pa_f1,test,7,15
SWaT,train_incremental,58941,baseline_val_reconstruction/score_mean,val,12,17
SWaT,train_standard,58930,train_val_reconstruction/score_mean,val,7,7
SWaT,train_standard,58930,train_test_window_auroc,test,7,7
SWaT,train_standard,58930,train_test_window_auprc,test,4,7
SWaT,train_standard,58930,train_test_window_f1,test,1,7
SWaT,train_standard,58930,train_test_pa_f1,test,7,7
PSM,train_incremental,59101,merged_val_reconstruction/score_mean,val,14,30
PSM,train_incremental,59101,merged_test_window_auroc,test,5,30
PSM,train_incremental,59101,merged_test_window_auprc,test,5,30
PSM,train_incremental,59101,merged_test_window_f1,test,6,30
PSM,train_incremental,59101,merged_test_pa_f1,test,19,30
PSM,train_incremental,59101,baseline_val_reconstruction/score_mean,val,9,30
PSM,train_standard,59090,train_val_reconstruction/score_mean,val,5,14
PSM,train_standard,59090,train_test_window_auroc,test,13,14
PSM,train_standard,59090,train_test_window_auprc,test,10,14
PSM,train_standard,59090,train_test_window_f1,test,7,14
PSM,train_standard,59090,train_test_pa_f1,test,12,14
ETTh1,train_incremental,59077,merged_val_forecast/mse,val,12,15
ETTh1,train_incremental,59077,merged_test_forecast/mse,test,13,15
ETTh1,train_incremental,59077,baseline_val_forecast/mse,val,3,16
ETTh1,train_standard,59062,train_val_forecast/mse,val,3,7
ETTh1,train_standard,59062,train_test_forecast/mse,test,6,7
