experiment,dataset,metric,n_segments,n_seeds,base,joint,joint_from,merged,floor_pct,headroom_pct,merge_scale_selected,grr,grr_paired,n_paired,best_specialist,retention_merge_alpha_selected_periods,retention_window_W2_periods,retention_window_W3_periods
continual_etth,EtthForecastDataset,forecast/mse,3,3,0.749038,0.41857,noisefloor_std_etth,,4.549,44.12,,,,0,0.414003,0.9,2.3,3.45
continual_psm,Psm,window_auroc,3,3,0.770595,0.799845,noisefloor_std_psm,,0.984,3.8,,,,0,0.796863,0.9,2.3,3.45
continual_swat,Swat,window_auroc,3,3,0.80034,0.80784,noisefloor_std_swat,,0.188,0.94,,,,0,0.80369,0.9,2.3,3.45
etth2_continual_n2,Etth2ForecastDataset,forecast/mse,2,3,0.843281,0.136248,etth2_gate_joint,,6.403,83.84,,,,0,0.233216,0.6,2.3,3.45
etth2_continual_n3,Etth2ForecastDataset,forecast/mse,3,3,0.857512,0.136248,etth2_gate_joint,,11.073,84.11,,,,0,0.17218,0.9,2.3,3.45
etth2_continual_n5,Etth2ForecastDataset,forecast/mse,5,3,0.857399,0.136248,etth2_gate_joint,,11.09,84.11,,,,0,0.194864,1.5,2.3,3.45
etth2_gate_base,Etth2ForecastDataset,forecast/mse,0,3,0.841485,0.136248,etth2_gate_joint,,6.741,83.81,,,,0,,,,
etth2_merge_n2,Etth2ForecastDataset,forecast/mse,2,3,0.788477,0.136248,etth2_gate_joint,0.261224,6.725,82.72,0.4833,0.8084,0.8093,3,0.290187,0.6,2.3,3.45
etth2_merge_n3,Etth2ForecastDataset,forecast/mse,3,3,0.912174,0.136248,etth2_gate_joint,0.215281,6.23,85.06,0.2667,0.8981,0.8978,3,0.177137,0.9,2.3,3.45
etth2_merge_n5,Etth2ForecastDataset,forecast/mse,5,3,0.862824,0.136248,etth2_gate_joint,0.26692,5.709,84.21,0.15,0.8202,0.8205,3,0.215975,1.5,2.3,3.45
etth2_n1,Etth2ForecastDataset,forecast/mse,1,3,0.818442,0.136248,etth2_gate_joint,0.163209,2.883,83.35,,0.9605,0.9606,3,0.163209,0.3,2.3,3.45
etth2_window_W1,Etth2ForecastDataset,forecast/mse,1,3,0.915357,0.136248,etth2_gate_joint,0.447546,17.289,85.12,,0.6004,0.5993,3,0.447546,1.5,2.3,3.45
etth2_window_W2,Etth2ForecastDataset,forecast/mse,1,3,0.839913,0.136248,etth2_gate_joint,0.364381,7.002,83.78,,0.6758,0.6759,3,0.364381,0.75,2.3,3.45
etth2_window_W3,Etth2ForecastDataset,forecast/mse,1,3,0.826937,0.136248,etth2_gate_joint,0.295173,8.352,83.52,,0.7699,0.7682,3,0.295173,0.5,2.3,3.45
etth_vf15_regsweep,EtthForecastDataset,forecast/mse,3,1,0.702315,0.41857,noisefloor_std_etth,0.604224,,40.4,,0.3457,0.3564,1,0.472475,0.9,2.3,3.45
ettm2_continual_n2,Ettm2ForecastDataset,forecast/mse,2,3,0.565528,0.075037,ettm2_gate_joint,,13.154,86.73,,,,0,0.095237,0.6,2.3,3.45
ettm2_continual_n3,Ettm2ForecastDataset,forecast/mse,3,3,0.566811,0.075037,ettm2_gate_joint,,13.43,86.76,,,,0,0.086888,0.9,2.3,3.45
ettm2_continual_n5,Ettm2ForecastDataset,forecast/mse,5,3,0.562157,0.075037,ettm2_gate_joint,,13.77,86.65,,,,0,0.122707,1.5,2.3,3.45
ettm2_gate_base,Ettm2ForecastDataset,forecast/mse,0,3,0.560838,0.075037,ettm2_gate_joint,,14.107,86.62,,,,0,,,,
ettm2_merge_n2,Ettm2ForecastDataset,forecast/mse,2,3,0.572725,0.075037,ettm2_gate_joint,0.123973,14.449,86.9,0.3833,0.9017,0.8995,3,0.115032,0.6,2.3,3.45
