batch_size,n_batches,samples,step,fisher_num,lambda_term,fisher_den,ratio_lambda_over_f,floor_is_t,implied_lambda,recorded_lambda,recorded_fisher_num,recorded_fisher_den,d_norm,fisher_star_num,asymmetry_hat_over_star
1,8192,8192,1,0.000714056780101334,0.0001924975737457007,0.0009065543538470347,0.26958300671605245,1,0.7876601960722794,0.7523693770960738,8.875392485848611e-06,1.1796589223374609e-05,7.215146064758301,0.0028355512676009596,0.25182291297644827
1,8192,8192,2,4.750484795587946e-06,8.618177404110131e-05,9.093225883668925e-05,18.141679796795344,2,0.052242019019010946,0.003466074761616834,6.038613539308189e-08,1.7422052190505356e-05,1.9126827716827393,2.1390405870675956e-05,0.2220848367398382
1,8192,8192,3,1.5150307428185191e-05,0.0001569465657622766,0.0001720968731904618,10.359299077343987,3,0.08803360076983009,0.014611647115627796,5.556052326904503e-07,3.802481871439437e-05,1.9619346857070923,0.00014810859814115774,0.10229188324195669
8,1024,8192,1,9.251687505943979e-05,2.4637497606838128e-05,0.00011715437266627792,0.2663027430510288,1,0.789700571595226,0.7523693770960738,8.875392485848611e-06,1.1796589223374609e-05,7.215146064758301,0.0008024547971912152,0.11529231974594843
8,1024,8192,2,6.19371396942449e-07,2.5194379582779826e-05,2.5813750979722275e-05,40.677337873774704,2,0.023993854958506023,0.003466074761616834,6.038613539308189e-08,1.7422052190505356e-05,1.9126827716827393,7.699277987538838e-06,0.08044538694990518
8,1024,8192,3,2.2498578508557464e-06,5.117038675748478e-05,5.342024460834053e-05,22.743831010488876,3,0.04211620271211703,0.014611647115627796,5.556052326904503e-07,3.802481871439437e-05,1.9619346857070923,9.140425030146739e-05,0.02461436796905305
64,128,8192,1,1.3739117184547583e-05,4.425426003858545e-06,1.8164543188406128e-05,0.3221041020623823,1,0.756370091008776,0.7523693770960738,8.875392485848611e-06,1.1796589223374609e-05,7.215146064758301,0.00055979293280321,0.024543212997970163
64,128,8192,2,1.0638699969417894e-07,1.7885313793293388e-05,1.7991700792987565e-05,168.11559537073776,2,0.005913115214524036,0.003466074761616834,6.038613539308189e-08,1.7422052190505356e-05,1.9126827716827393,5.993424651341034e-06,0.01775061936757222
64,128,8192,3,6.841644702800737e-07,3.8453695461566346e-05,3.913785993184642e-05,56.2053382366154,3,0.017480886064579378,0.014611647115627796,5.556052326904503e-07,3.802481871439437e-05,1.9619346857070923,8.414689295756399e-05,0.008130596938678458
128,64,8192,1,8.971480186330585e-06,2.765160335382643e-06,1.1736640521713228e-05,0.3082167354720111,1,0.7643993329891128,0.7523693770960738,8.875392485848611e-06,1.1796589223374609e-05,7.215146064758301,0.000541185752964146,0.01657745078689267
128,64,8192,2,6.003604415776985e-08,1.7292984347524572e-05,1.7353020391682342e-05,288.04336778219454,2,0.0034596884463148764,0.003466074761616834,6.038613539308189e-08,1.7422052190505356e-05,1.9126827716827393,5.876163604494733e-06,0.010216877574995991
128,64,8192,3,5.752264374545939e-07,3.742204491385978e-05,3.799727135131438e-05,65.05619783307289,3,0.01513862488009145,0.014611647115627796,5.556052326904503e-07,3.802481871439437e-05,1.9619346857070923,8.35989044706678e-05,0.006880789181351325
