dataset,metric,experiment,block,role,n_seeds,mean,sd,floor_pct
ETTh1,forecast/mae,noisefloor_etth,baseline/test,floor,3,0.604334,0.030575,5.059
ETTh1,forecast/mae,noisefloor_etth,merged/test,comparison,3,0.591992,0.064941,10.97
ETTh1,forecast/mse,noisefloor_etth,baseline/test,floor,3,0.707287,0.061954,8.759
ETTh1,forecast/mse,noisefloor_etth,merged/test,comparison,3,0.625624,0.109403,17.487
ETTh1,forecast/rmse,noisefloor_etth,baseline/test,floor,3,0.840452,0.037311,4.439
ETTh1,forecast/rmse,noisefloor_etth,merged/test,comparison,3,0.788962,0.068877,8.73
ETTh2,forecast/mae,etth2_gate_base,baseline/test,floor,3,0.674075,0.028457,4.222
ETTh2,forecast/mse,etth2_gate_base,baseline/test,floor,3,0.841485,0.056725,6.741
ETTh2,forecast/rmse,etth2_gate_base,baseline/test,floor,3,0.916976,0.030968,3.377
ETTm2,forecast/mae,ettm2_gate_base,baseline/test,floor,3,0.53817,0.052317,9.721
ETTm2,forecast/mse,ettm2_gate_base,baseline/test,floor,3,0.560838,0.079117,14.107
ETTm2,forecast/rmse,ettm2_gate_base,baseline/test,floor,3,0.747669,0.05237,7.004
PSM,event_f1,noisefloor_psm,baseline/test,floor,3,0.228767,0.011234,4.911
PSM,event_f1,noisefloor_psm,merged/test,comparison,3,0.231859,0.038016,16.396
PSM,event_fn,noisefloor_psm,baseline/test,floor,3,17.333333,1.154701,6.662
PSM,event_fn,noisefloor_psm,merged/test,comparison,3,13.666667,1.154701,8.449
PSM,event_fp,noisefloor_psm,baseline/test,floor,3,345.0,16.643317,4.824
PSM,event_fp,noisefloor_psm,merged/test,comparison,3,374.333333,75.797977,20.249
PSM,event_precision,noisefloor_psm,baseline/test,floor,3,0.1348,0.007356,5.457
PSM,event_precision,noisefloor_psm,merged/test,comparison,3,0.135807,0.026041,19.175
PSM,event_recall,noisefloor_psm,baseline/test,floor,3,0.755869,0.016263,2.152
PSM,event_recall,noisefloor_psm,merged/test,comparison,3,0.807512,0.016263,2.014
PSM,event_tp,noisefloor_psm,baseline/test,floor,3,53.666667,1.154701,2.152
PSM,event_tp,noisefloor_psm,merged/test,comparison,3,57.333333,1.154701,2.014
PSM,pa_f1,noisefloor_psm,baseline/test,floor,3,0.789836,0.020747,2.627
PSM,pa_f1,noisefloor_psm,merged/test,comparison,3,0.769512,0.002281,0.296
PSM,pa_precision,noisefloor_psm,baseline/test,floor,3,0.85999,0.167136,19.435
PSM,pa_precision,noisefloor_psm,merged/test,comparison,3,0.659744,0.007473,1.133
PSM,pa_recall,noisefloor_psm,baseline/test,floor,3,0.760112,0.122053,16.057
PSM,pa_recall,noisefloor_psm,merged/test,comparison,3,0.923483,0.019916,2.157
PSM,point_auprc,noisefloor_psm,baseline/test,floor,3,0.555469,0.01369,2.465
PSM,point_auprc,noisefloor_psm,merged/test,comparison,3,0.566158,0.004935,0.872
PSM,point_auroc,noisefloor_psm,baseline/test,floor,3,0.770681,0.00068,0.088
PSM,point_auroc,noisefloor_psm,merged/test,comparison,3,0.803191,0.001118,0.139
PSM,point_f1,noisefloor_psm,baseline/test,floor,3,0.582689,0.000878,0.151
PSM,point_f1,noisefloor_psm,merged/test,comparison,3,0.63889,0.008811,1.379
PSM,point_precision,noisefloor_psm,baseline/test,floor,3,0.47472,0.006107,1.287
PSM,point_precision,noisefloor_psm,merged/test,comparison,3,0.495987,0.011958,2.411
PSM,point_recall,noisefloor_psm,baseline/test,floor,3,0.754533,0.014082,1.866
PSM,point_recall,noisefloor_psm,merged/test,comparison,3,0.897804,0.005323,0.593
PSM,window_auprc,noisefloor_psm,baseline/test,floor,3,0.632534,0.010466,1.655
PSM,window_auprc,noisefloor_psm,merged/test,comparison,3,0.646332,0.00142,0.22
PSM,window_auroc,noisefloor_psm,baseline/test,floor,3,0.774187,0.000526,0.068
PSM,window_auroc,noisefloor_psm,merged/test,comparison,3,0.80046,0.002054,0.257
PSM,window_f1,noisefloor_psm,baseline/test,floor,3,0.63635,0.002878,0.452
PSM,window_f1,noisefloor_psm,merged/test,comparison,3,0.689722,0.009379,1.36
PSM,window_precision,noisefloor_psm,baseline/test,floor,3,0.53851,0.034787,6.46
PSM,window_precision,noisefloor_psm,merged/test,comparison,3,0.572618,0.016399,2.864
PSM,window_recall,noisefloor_psm,baseline/test,floor,3,0.785546,0.073912,9.409
PSM,window_recall,noisefloor_psm,merged/test,comparison,3,0.86755,0.008418,0.97
PSM-forecast,forecast/mae,adfc2_psm_merge_n3,baseline/test,floor,3,0.411055,0.003382,0.823
