parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,7,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,7,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,7,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,7,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,7,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,0,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,1,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,2,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,3,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,4,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,5,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,6,0.0
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,7,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,0,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,1,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,2,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,3,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,4,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,5,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,6,0.0
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,7,0.0
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,0,0.72437756391738
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,1,0.7411762827582108
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,2,0.9814364494907329
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,3,1.027881705526469
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,4,1.1773440248280842
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,5,1.3020045656899004
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,6,1.4205500950086292
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,7,1.5109511681381957
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,0,0.8160587417552186
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,1,1.0137787316154614
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,2,1.0717299147555748
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,3,1.3072488109074167
