parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,nan
decoder.encoder.layers.0.linear1.bias,0,2,nan
decoder.encoder.layers.0.linear1.bias,1,0,nan
decoder.encoder.layers.0.linear1.bias,1,2,nan
decoder.encoder.layers.0.linear1.bias,2,0,nan
decoder.encoder.layers.0.linear1.bias,2,1,nan
decoder.encoder.layers.0.linear1.weight,0,1,nan
decoder.encoder.layers.0.linear1.weight,0,2,nan
decoder.encoder.layers.0.linear1.weight,1,0,nan
decoder.encoder.layers.0.linear1.weight,1,2,nan
decoder.encoder.layers.0.linear1.weight,2,0,nan
decoder.encoder.layers.0.linear1.weight,2,1,nan
decoder.encoder.layers.0.linear2.bias,0,1,nan
decoder.encoder.layers.0.linear2.bias,0,2,nan
decoder.encoder.layers.0.linear2.bias,1,0,nan
decoder.encoder.layers.0.linear2.bias,1,2,nan
decoder.encoder.layers.0.linear2.bias,2,0,nan
decoder.encoder.layers.0.linear2.bias,2,1,nan
decoder.encoder.layers.0.linear2.weight,0,1,nan
decoder.encoder.layers.0.linear2.weight,0,2,nan
decoder.encoder.layers.0.linear2.weight,1,0,nan
decoder.encoder.layers.0.linear2.weight,1,2,nan
decoder.encoder.layers.0.linear2.weight,2,0,nan
decoder.encoder.layers.0.linear2.weight,2,1,nan
decoder.encoder.layers.0.norm1.bias,0,1,nan
decoder.encoder.layers.0.norm1.bias,0,2,nan
decoder.encoder.layers.0.norm1.bias,1,0,nan
decoder.encoder.layers.0.norm1.bias,1,2,nan
decoder.encoder.layers.0.norm1.bias,2,0,nan
decoder.encoder.layers.0.norm1.bias,2,1,nan
decoder.encoder.layers.0.norm1.weight,0,1,nan
decoder.encoder.layers.0.norm1.weight,0,2,nan
decoder.encoder.layers.0.norm1.weight,1,0,nan
decoder.encoder.layers.0.norm1.weight,1,2,nan
decoder.encoder.layers.0.norm1.weight,2,0,nan
decoder.encoder.layers.0.norm1.weight,2,1,nan
decoder.encoder.layers.0.norm2.bias,0,1,nan
decoder.encoder.layers.0.norm2.bias,0,2,nan
decoder.encoder.layers.0.norm2.bias,1,0,nan
decoder.encoder.layers.0.norm2.bias,1,2,nan
