parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.599361796654595
decoder.encoder.layers.0.linear1.bias,0,2,0.022767076500740883
decoder.encoder.layers.0.linear1.bias,1,0,0.599361796654595
decoder.encoder.layers.0.linear1.bias,1,2,0.37270944861076927
decoder.encoder.layers.0.linear1.bias,2,0,0.022767076500740883
decoder.encoder.layers.0.linear1.bias,2,1,0.37270944861076927
decoder.encoder.layers.0.linear1.weight,0,1,0.37055382901608364
decoder.encoder.layers.0.linear1.weight,0,2,-0.014014074225779986
decoder.encoder.layers.0.linear1.weight,1,0,0.37055382901608364
decoder.encoder.layers.0.linear1.weight,1,2,0.19101223123289318
decoder.encoder.layers.0.linear1.weight,2,0,-0.014014074225779986
decoder.encoder.layers.0.linear1.weight,2,1,0.19101223123289318
decoder.encoder.layers.0.linear2.bias,0,1,0.7895231434888744
decoder.encoder.layers.0.linear2.bias,0,2,0.2034369176525543
decoder.encoder.layers.0.linear2.bias,1,0,0.7895231434888744
decoder.encoder.layers.0.linear2.bias,1,2,0.3909873776394006
decoder.encoder.layers.0.linear2.bias,2,0,0.2034369176525543
decoder.encoder.layers.0.linear2.bias,2,1,0.3909873776394006
decoder.encoder.layers.0.linear2.weight,0,1,0.5821570695167885
decoder.encoder.layers.0.linear2.weight,0,2,0.10389502216495204
decoder.encoder.layers.0.linear2.weight,1,0,0.5821570695167885
decoder.encoder.layers.0.linear2.weight,1,2,0.2619350795968794
decoder.encoder.layers.0.linear2.weight,2,0,0.10389502216495204
decoder.encoder.layers.0.linear2.weight,2,1,0.2619350795968794
decoder.encoder.layers.0.norm1.bias,0,1,0.7866909387655947
decoder.encoder.layers.0.norm1.bias,0,2,0.460236486182141
decoder.encoder.layers.0.norm1.bias,1,0,0.7866909387655947
decoder.encoder.layers.0.norm1.bias,1,2,0.5511581320360105
decoder.encoder.layers.0.norm1.bias,2,0,0.460236486182141
decoder.encoder.layers.0.norm1.bias,2,1,0.5511581320360105
decoder.encoder.layers.0.norm1.weight,0,1,0.6373820654720608
decoder.encoder.layers.0.norm1.weight,0,2,0.3195108453566415
decoder.encoder.layers.0.norm1.weight,1,0,0.6373820654720608
decoder.encoder.layers.0.norm1.weight,1,2,0.4601510620372507
decoder.encoder.layers.0.norm1.weight,2,0,0.3195108453566415
decoder.encoder.layers.0.norm1.weight,2,1,0.4601510620372507
decoder.encoder.layers.0.norm2.bias,0,1,0.6106128625921196
decoder.encoder.layers.0.norm2.bias,0,2,-0.041840642966169087
decoder.encoder.layers.0.norm2.bias,1,0,0.6106128625921196
decoder.encoder.layers.0.norm2.bias,1,2,0.2441581918789883
decoder.encoder.layers.0.norm2.bias,2,0,-0.041840642966169087
decoder.encoder.layers.0.norm2.bias,2,1,0.2441581918789883
decoder.encoder.layers.0.norm2.weight,0,1,0.468829222829719
decoder.encoder.layers.0.norm2.weight,0,2,0.1299567894680698
decoder.encoder.layers.0.norm2.weight,1,0,0.468829222829719
decoder.encoder.layers.0.norm2.weight,1,2,0.16052874830093822
decoder.encoder.layers.0.norm2.weight,2,0,0.1299567894680698
decoder.encoder.layers.0.norm2.weight,2,1,0.16052874830093822
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.6503418116553613
decoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.2241093542731204
decoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.6503418116553613
decoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.3292015835467708
decoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.2241093542731204
decoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.3292015835467708
decoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.39239764129378524
decoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.21720554411018086
decoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.39239764129378524
decoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.2435272694758754
decoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.21720554411018086
decoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.2435272694758754
decoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.8783361496120109
decoder.encoder.layers.0.self_attn.out_proj.bias,0,2,0.15940094609067984
decoder.encoder.layers.0.self_attn.out_proj.bias,1,0,0.8783361496120109
decoder.encoder.layers.0.self_attn.out_proj.bias,1,2,0.2788658425854234
decoder.encoder.layers.0.self_attn.out_proj.bias,2,0,0.15940094609067984
decoder.encoder.layers.0.self_attn.out_proj.bias,2,1,0.2788658425854234
decoder.encoder.layers.0.self_attn.out_proj.weight,0,1,0.39780110283252934
decoder.encoder.layers.0.self_attn.out_proj.weight,0,2,-0.09661966557967085
decoder.encoder.layers.0.self_attn.out_proj.weight,1,0,0.39780110283252934
decoder.encoder.layers.0.self_attn.out_proj.weight,1,2,0.06035744098150806
decoder.encoder.layers.0.self_attn.out_proj.weight,2,0,-0.09661966557967085
decoder.encoder.layers.0.self_attn.out_proj.weight,2,1,0.06035744098150806
decoder.encoder.layers.1.linear1.bias,0,1,0.3759356897708405
decoder.encoder.layers.1.linear1.bias,0,2,0.12465869604103309
decoder.encoder.layers.1.linear1.bias,1,0,0.3759356897708405
decoder.encoder.layers.1.linear1.bias,1,2,0.41597809580733036
decoder.encoder.layers.1.linear1.bias,2,0,0.12465869604103309
decoder.encoder.layers.1.linear1.bias,2,1,0.41597809580733036
decoder.encoder.layers.1.linear1.weight,0,1,0.28561358106295265
decoder.encoder.layers.1.linear1.weight,0,2,0.02631220908103127
decoder.encoder.layers.1.linear1.weight,1,0,0.28561358106295265
