parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,0,0.6260952205703829
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,1,0.881560000431589
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,2,0.9487091169408189
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,3,1.0794206227559626
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,4,1.1136521381032516
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,5,1.1909909885091918
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,6,1.3883202452673227
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,7,1.5537225781969761
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,0,0.8000471367154645
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,1,1.0164460999171536
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,2,1.0903093160502744
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,3,1.2022574706513482
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,4,1.2498908684104162
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,5,1.3449514429514724
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,6,1.4178933032506904
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,7,1.5552695149214624
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,0,0.6260952205703824
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,1,0.8815600004315889
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,2,0.9487091169408188
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,3,1.0794206227559626
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,4,1.1136521381032516
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,5,1.1909909885091918
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,6,1.3883202452673225
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,7,1.5537225781969761
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,0,0.6924564680990991
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,1,0.9147797601088872
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,2,0.9726349921468739
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,3,1.0733941928549036
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,4,1.1616399393432029
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,5,1.2148698453537394
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,6,1.4562271368255728
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,7,1.542606433826779
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,0,0.8000471367154649
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,1,1.0164460999171538
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,2,1.0903093160502744
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,3,1.2022574706513485
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,4,1.2498908684104162
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,5,1.3449514429514724
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,6,1.4178933032506904
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,7,1.5552695149214624
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,0,0.6924564680990994
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,1,0.9147797601088873
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,2,0.9726349921468739
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,3,1.0733941928549036
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,4,1.1616399393432029
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,5,1.2148698453537394
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,6,1.4562271368255728
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,7,1.542606433826779
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,0,0.33473306251333157
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,1,0.46635588210524204
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,2,0.6797601972619011
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,3,0.7423876731904491
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,4,0.885697377613475
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,5,1.0783964481048893
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,6,1.211731863956961
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,7,1.5150647328906324
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,0,0.5394886313567101
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,1,0.6835832998792284
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,2,0.7176069249832475
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,3,0.9013535193525513
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,4,1.0361044687608436
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,5,1.2613684749385348
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,6,1.3815273168259343
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,7,1.5416666710133264
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,0,0.33473306251333323
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,1,0.46635588210524126
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,2,0.679760197261901
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,0.7423876731904493
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,0.8856973776134748
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,1.0783964481048893
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,1.211731863956961
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,1.5150647328906324
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.34766985947709983
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.5194618061581424
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.5850961527258554
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.6829657597493194
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,0.9246595317053683
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,1.1720812993229157
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,1.2815231951453647
