parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,0,0.7619457228276746
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,1,0.7868621059272861
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,2,0.9491828799348445
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,3,1.1014687838160588
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,4,1.1878353035900937
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,5,1.2237255591500293
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,6,1.3181385011280469
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,7,1.5540574108199054
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,0,0.7007947224302665
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,1,0.7838276254759006
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,2,0.9077602547261298
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,3,1.0557687210539688
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,4,1.0650381957522657
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,5,1.1866116748215036
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,6,1.295566992488136
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,7,1.5109465501238535
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,0,0.7619457228276746
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,1,0.7868621059272858
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,2,0.9491828799348448
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,3,1.101468783816059
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,4,1.187835303590094
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,5,1.2237255591500293
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,6,1.3181385011280469
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,7,1.5540574108199054
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,0,0.42186933719288383
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,1,0.48011370394669056
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,2,0.542460969729411
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,3,0.5966861836060322
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,4,0.6606150538980874
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,5,0.8017790583234072
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,6,0.8803078573372808
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,7,0.9886594170316525
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,0,0.7007947224302665
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,1,0.7838276254759003
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,2,0.9077602547261301
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,3,1.0557687210539686
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,4,1.0650381957522654
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,5,1.1866116748215036
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,6,1.295566992488136
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,7,1.5109465501238535
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,0,0.42186933719288305
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,1,0.48011370394669106
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,2,0.5424609697294115
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,3,0.5966861836060317
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,4,0.660615053898088
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,5,0.801779058323407
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,6,0.8803078573372811
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,7,0.9886594170316525
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,0,0.366436020372526
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,1,0.49520577395109444
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,2,0.5856855499327275
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,3,0.719678033207681
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,4,0.9643506516166592
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,5,1.0778494939715861
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,6,1.3149982352605893
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,7,1.5337043992134334
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,0,0.39537281189045165
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,1,0.45995292164303386
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,2,0.5503904599391238
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,3,0.6971560395340625
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,4,0.7954476470863777
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,5,0.8965097294217504
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,6,1.3722207826817403
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,7,1.5577103085237303
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,0,0.36643602037252626
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,1,0.4952057739510935
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,2,0.5856855499327271
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,0.7196780332076813
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,0.9643506516166592
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,1.0778494939715861
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,1.3149982352605898
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,1.5337043992134334
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.15481118108782121
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.3065985446227711
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.38050017473482434
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.49438343013180497
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,0.5706848332739641
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,0.7283789392312541
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,1.082756583699676
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,7,1.463730857307057
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,0,0.3953728118904519
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,1,0.45995292164303336
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,2,0.5503904599391245
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,3,0.6971560395340619
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,4,0.7954476470863777
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,5,0.8965097294217506
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,6,1.3722207826817403
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,7,1.5577103085237305
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,0,0.15481118108782335
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,1,0.30659854462277036
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,2,0.38050017473482434
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,3,0.49438343013180447
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,4,0.5706848332739641
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,5,0.7283789392312543
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,6,1.0827565836996764
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,7,1.463730857307057
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,0,0.4526602749650142
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,1,0.6246956692923623
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,2,0.6922703815349409
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,3,0.7715604210037931
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,4,0.8772303269548565
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,5,1.116254337612398
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,6,1.1769484103025871
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,7,1.534661379701723
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,0,0.4646369433245493
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,1,0.5113847239556848
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,2,0.5697761000693619
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,3,0.6184349250363039
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,4,0.7245051206216645
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,5,0.8717487460919761
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,6,0.9697165884860417
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,7,1.4678793457735781
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,0,0.4526602749650145
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,1,0.6246956692923621
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,2,0.6922703815349404
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,3,0.7715604210037931
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,4,0.8772303269548561
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,5,1.1162543376123977
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,6,1.1769484103025871
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,7,1.534661379701723
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,0,0.35053994565452073
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,1,0.3797011618198841
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,2,0.44611541635736235
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,3,0.507743139289066
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,4,0.5927043328830609
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,5,0.8277850348019241
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,6,1.107681883898984
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,7,1.4934122698577184
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,0,0.4646369433245503
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,1,0.511384723955685
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,2,0.5697761000693625
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,3,0.6184349250363039
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,4,0.7245051206216646
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,5,0.8717487460919764
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,6,0.969716588486042
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,7,1.4678793457735781
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,0,0.3505399456545217
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,1,0.37970116181988445
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,2,0.44611541635736257
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,3,0.5077431392890662
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,4,0.5927043328830606
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,5,0.8277850348019241
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,6,1.1076818838989841
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,7,1.4934122698577184
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,0,0.36183320831034116
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,1,0.4233894641370625
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,2,0.5746608058561842
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,3,0.7020253788895889
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,4,1.005517566179287
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,5,1.095807243175126
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,6,1.337187599519419
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,7,1.5040287929934535
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,0,0.2917106972872149
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,1,0.4881181176872094
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,2,0.5605786076870942
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,3,0.670570702361575
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,4,0.7691654552065214
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,5,0.96868047894078
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,6,1.1645647789704445
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,7,1.4506667425322153
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,0,0.36183320831034144
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,1,0.42338946413706224
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,2,0.5746608058561837
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,3,0.7020253788895888
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,4,1.0055175661792868
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,5,1.0958072431751256
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,6,1.337187599519419
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,0,7,1.5040287929934533
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,0,0.1890029960966505
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,1,0.2630460173334377
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,2,0.36802136621809645
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,3,0.4157019282368061
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,4,0.5341402601030438
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,5,0.6304639019140131
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,6,0.6712433960535688
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,7,1.3379398201396515
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,0,0.2917106972872145
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,1,0.48811811768721014
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,2,0.560578607687094
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,3,0.6705707023615748
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,4,0.7691654552065214
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,5,0.9686804789407797
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,6,1.164564778970444
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,7,1.4506667425322155
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.1890029960966505
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.2630460173334377
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.3680213662180952
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.4157019282368061
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,0.534140260103044
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,0.6304639019140131
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,0.6712433960535689
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.3379398201396517
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.843123097831025
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,0.8682676712532044
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,0.9993734974102196
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,1.187216598766302
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,1.2980627467224273
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,5,1.4484221745882335
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,6,1.4878399483682445
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,7,1.5700737883025522
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,0,0.6562276748288545
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,1,0.8120428317661376
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,2,0.9112793447151041
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,3,1.0437575587310728
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,4,1.1255283192783874
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,5,1.225108492499874
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,6,1.403645501180959
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,7,1.4886591357433325
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,0,0.843123097831025
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,1,0.8682676712532046
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,2,0.9993734974102196
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,3,1.1872165987663021
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,4,1.298062746722427
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,5,1.4484221745882335
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,6,1.4878399483682445
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,7,1.5700737883025522
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,0,0.3596035702665442
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,1,0.47804544816731703
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,2,0.5233366997803833
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,3,0.5712640048302218
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,4,0.6804760323324115
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,5,0.751514740867997
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,6,0.9192290864133482
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,7,1.449568535127302
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,0,0.6562276748288547
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,1,0.8120428317661376
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,2,0.9112793447151045
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,3,1.0437575587310728
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,4,1.1255283192783874
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,5,1.2251084924998743
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,6,1.403645501180959
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,7,1.4886591357433325
