parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.6796490358166672
decoder.encoder.layers.0.linear1.bias,0,2,0.6729808438077927
decoder.encoder.layers.0.linear1.bias,1,0,0.6796490358166672
decoder.encoder.layers.0.linear1.bias,1,2,0.866741656259988
decoder.encoder.layers.0.linear1.bias,2,0,0.6729808438077927
decoder.encoder.layers.0.linear1.bias,2,1,0.866741656259988
decoder.encoder.layers.0.linear1.weight,0,1,0.523229214715732
decoder.encoder.layers.0.linear1.weight,0,2,0.5226019382529374
decoder.encoder.layers.0.linear1.weight,1,0,0.523229214715732
decoder.encoder.layers.0.linear1.weight,1,2,0.760715594514793
decoder.encoder.layers.0.linear1.weight,2,0,0.5226019382529374
decoder.encoder.layers.0.linear1.weight,2,1,0.760715594514793
decoder.encoder.layers.0.linear2.bias,0,1,0.77244234646266
decoder.encoder.layers.0.linear2.bias,0,2,0.7075851524932757
decoder.encoder.layers.0.linear2.bias,1,0,0.77244234646266
decoder.encoder.layers.0.linear2.bias,1,2,0.8795194990829146
decoder.encoder.layers.0.linear2.bias,2,0,0.7075851524932757
decoder.encoder.layers.0.linear2.bias,2,1,0.8795194990829146
decoder.encoder.layers.0.linear2.weight,0,1,0.627611870927602
decoder.encoder.layers.0.linear2.weight,0,2,0.6315426061154065
decoder.encoder.layers.0.linear2.weight,1,0,0.627611870927602
decoder.encoder.layers.0.linear2.weight,1,2,0.780579473745634
decoder.encoder.layers.0.linear2.weight,2,0,0.6315426061154065
decoder.encoder.layers.0.linear2.weight,2,1,0.780579473745634
decoder.encoder.layers.0.norm1.bias,0,1,0.8563437463277782
decoder.encoder.layers.0.norm1.bias,0,2,0.731527298139353
decoder.encoder.layers.0.norm1.bias,1,0,0.8563437463277782
decoder.encoder.layers.0.norm1.bias,1,2,0.7376240759633952
decoder.encoder.layers.0.norm1.bias,2,0,0.731527298139353
decoder.encoder.layers.0.norm1.bias,2,1,0.7376240759633952
decoder.encoder.layers.0.norm1.weight,0,1,0.7732199920489893
decoder.encoder.layers.0.norm1.weight,0,2,0.7280713379901518
decoder.encoder.layers.0.norm1.weight,1,0,0.7732199920489893
decoder.encoder.layers.0.norm1.weight,1,2,0.8231371269709693
decoder.encoder.layers.0.norm1.weight,2,0,0.7280713379901518
decoder.encoder.layers.0.norm1.weight,2,1,0.8231371269709693
decoder.encoder.layers.0.norm2.bias,0,1,0.7431406390851902
decoder.encoder.layers.0.norm2.bias,0,2,0.6917234152371704
decoder.encoder.layers.0.norm2.bias,1,0,0.7431406390851902
decoder.encoder.layers.0.norm2.bias,1,2,0.9214209210694821
decoder.encoder.layers.0.norm2.bias,2,0,0.6917234152371704
decoder.encoder.layers.0.norm2.bias,2,1,0.9214209210694821
decoder.encoder.layers.0.norm2.weight,0,1,0.42052864712313043
decoder.encoder.layers.0.norm2.weight,0,2,0.40330799592858313
decoder.encoder.layers.0.norm2.weight,1,0,0.42052864712313043
decoder.encoder.layers.0.norm2.weight,1,2,0.8134544500232495
decoder.encoder.layers.0.norm2.weight,2,0,0.40330799592858313
decoder.encoder.layers.0.norm2.weight,2,1,0.8134544500232495
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.6807327969798189
decoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.6472549562251529
decoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.6807327969798189
decoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.7412315502561051
decoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.6472549562251529
decoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.7412315502561051
decoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.593425000434776
decoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.5948397830724744
decoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.593425000434776
decoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.6829806409927275
decoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.5948397830724744
decoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.6829806409927275
decoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.7510839470789568
decoder.encoder.layers.0.self_attn.out_proj.bias,0,2,0.43361140706448664
decoder.encoder.layers.0.self_attn.out_proj.bias,1,0,0.7510839470789568
decoder.encoder.layers.0.self_attn.out_proj.bias,1,2,0.6910038587624677
decoder.encoder.layers.0.self_attn.out_proj.bias,2,0,0.43361140706448664
decoder.encoder.layers.0.self_attn.out_proj.bias,2,1,0.6910038587624677
decoder.encoder.layers.0.self_attn.out_proj.weight,0,1,0.6038573118804185
decoder.encoder.layers.0.self_attn.out_proj.weight,0,2,0.5159290313487633
decoder.encoder.layers.0.self_attn.out_proj.weight,1,0,0.6038573118804185
decoder.encoder.layers.0.self_attn.out_proj.weight,1,2,0.7114787467791376
decoder.encoder.layers.0.self_attn.out_proj.weight,2,0,0.5159290313487633
decoder.encoder.layers.0.self_attn.out_proj.weight,2,1,0.7114787467791376
decoder.encoder.layers.1.linear1.bias,0,1,0.6832707905819505
decoder.encoder.layers.1.linear1.bias,0,2,0.6907300321829508
decoder.encoder.layers.1.linear1.bias,1,0,0.6832707905819505
decoder.encoder.layers.1.linear1.bias,1,2,0.8120941514335942
decoder.encoder.layers.1.linear1.bias,2,0,0.6907300321829508
decoder.encoder.layers.1.linear1.bias,2,1,0.8120941514335942
decoder.encoder.layers.1.linear1.weight,0,1,0.4693599668929534
decoder.encoder.layers.1.linear1.weight,0,2,0.42796695424078973
decoder.encoder.layers.1.linear1.weight,1,0,0.4693599668929534
decoder.encoder.layers.1.linear1.weight,1,2,0.6935796141390359
decoder.encoder.layers.1.linear1.weight,2,0,0.42796695424078973
decoder.encoder.layers.1.linear1.weight,2,1,0.6935796141390359
decoder.encoder.layers.1.linear2.bias,0,1,0.8500036007174081
decoder.encoder.layers.1.linear2.bias,0,2,0.7519925135965576
decoder.encoder.layers.1.linear2.bias,1,0,0.8500036007174081
decoder.encoder.layers.1.linear2.bias,1,2,0.9292180429691353
decoder.encoder.layers.1.linear2.bias,2,0,0.7519925135965576
decoder.encoder.layers.1.linear2.bias,2,1,0.9292180429691353
decoder.encoder.layers.1.linear2.weight,0,1,0.6848393880293132
decoder.encoder.layers.1.linear2.weight,0,2,0.5613438310042139
decoder.encoder.layers.1.linear2.weight,1,0,0.6848393880293132
decoder.encoder.layers.1.linear2.weight,1,2,0.8021147940477682
decoder.encoder.layers.1.linear2.weight,2,0,0.5613438310042139
decoder.encoder.layers.1.linear2.weight,2,1,0.8021147940477682
decoder.encoder.layers.1.norm1.bias,0,1,0.8974001015363688
decoder.encoder.layers.1.norm1.bias,0,2,0.8638913331141775
decoder.encoder.layers.1.norm1.bias,1,0,0.8974001015363688
decoder.encoder.layers.1.norm1.bias,1,2,0.9521195754390326
decoder.encoder.layers.1.norm1.bias,2,0,0.8638913331141775
decoder.encoder.layers.1.norm1.bias,2,1,0.9521195754390326
decoder.encoder.layers.1.norm1.weight,0,1,0.6587589385131317
decoder.encoder.layers.1.norm1.weight,0,2,0.6297056812913454
decoder.encoder.layers.1.norm1.weight,1,0,0.6587589385131317
decoder.encoder.layers.1.norm1.weight,1,2,0.8033458040201866
decoder.encoder.layers.1.norm1.weight,2,0,0.6297056812913454
decoder.encoder.layers.1.norm1.weight,2,1,0.8033458040201866
decoder.encoder.layers.1.norm2.bias,0,1,0.8901585571383724
decoder.encoder.layers.1.norm2.bias,0,2,0.7230098264370529
decoder.encoder.layers.1.norm2.bias,1,0,0.8901585571383724
decoder.encoder.layers.1.norm2.bias,1,2,0.8692705320085524
decoder.encoder.layers.1.norm2.bias,2,0,0.7230098264370529
decoder.encoder.layers.1.norm2.bias,2,1,0.8692705320085524
decoder.encoder.layers.1.norm2.weight,0,1,0.8208384464839351
decoder.encoder.layers.1.norm2.weight,0,2,0.7621643734472946
decoder.encoder.layers.1.norm2.weight,1,0,0.8208384464839351
decoder.encoder.layers.1.norm2.weight,1,2,0.8063651853979188
decoder.encoder.layers.1.norm2.weight,2,0,0.7621643734472946
decoder.encoder.layers.1.norm2.weight,2,1,0.8063651853979188
decoder.encoder.layers.1.self_attn.in_proj_bias,0,1,0.8774039169361713
decoder.encoder.layers.1.self_attn.in_proj_bias,0,2,0.8518014874760249
decoder.encoder.layers.1.self_attn.in_proj_bias,1,0,0.8774039169361713
decoder.encoder.layers.1.self_attn.in_proj_bias,1,2,0.9181612348212698
decoder.encoder.layers.1.self_attn.in_proj_bias,2,0,0.8518014874760249
decoder.encoder.layers.1.self_attn.in_proj_bias,2,1,0.9181612348212698
decoder.encoder.layers.1.self_attn.in_proj_weight,0,1,0.599445295597935
decoder.encoder.layers.1.self_attn.in_proj_weight,0,2,0.6332935494904004
decoder.encoder.layers.1.self_attn.in_proj_weight,1,0,0.599445295597935
decoder.encoder.layers.1.self_attn.in_proj_weight,1,2,0.7593851226063646
decoder.encoder.layers.1.self_attn.in_proj_weight,2,0,0.6332935494904004
decoder.encoder.layers.1.self_attn.in_proj_weight,2,1,0.7593851226063646
decoder.encoder.layers.1.self_attn.out_proj.bias,0,1,0.719674694646472
decoder.encoder.layers.1.self_attn.out_proj.bias,0,2,0.6058854071088597
decoder.encoder.layers.1.self_attn.out_proj.bias,1,0,0.719674694646472
decoder.encoder.layers.1.self_attn.out_proj.bias,1,2,0.8215214250142636
decoder.encoder.layers.1.self_attn.out_proj.bias,2,0,0.6058854071088597
decoder.encoder.layers.1.self_attn.out_proj.bias,2,1,0.8215214250142636
decoder.encoder.layers.1.self_attn.out_proj.weight,0,1,0.5495614408142009
decoder.encoder.layers.1.self_attn.out_proj.weight,0,2,0.5576188306649089
decoder.encoder.layers.1.self_attn.out_proj.weight,1,0,0.5495614408142009
decoder.encoder.layers.1.self_attn.out_proj.weight,1,2,0.78190497464075
decoder.encoder.layers.1.self_attn.out_proj.weight,2,0,0.5576188306649089
decoder.encoder.layers.1.self_attn.out_proj.weight,2,1,0.78190497464075
decoder.norm.bias,0,1,0.7806906889686627
decoder.norm.bias,0,2,0.6941104079788549
decoder.norm.bias,1,0,0.7806906889686627
decoder.norm.bias,1,2,0.9485723333311612
decoder.norm.bias,2,0,0.6941104079788549
decoder.norm.bias,2,1,0.9485723333311612
decoder.norm.weight,0,1,0.770465000360462
decoder.norm.weight,0,2,0.7425447881097988
decoder.norm.weight,1,0,0.770465000360462
decoder.norm.weight,1,2,0.9128147694120359
decoder.norm.weight,2,0,0.7425447881097988
decoder.norm.weight,2,1,0.9128147694120359
decoder.output_projection.bias,0,1,0.9156464800978066
decoder.output_projection.bias,0,2,0.8292862786124063
decoder.output_projection.bias,1,0,0.9156464800978066
decoder.output_projection.bias,1,2,0.9493701571292571
decoder.output_projection.bias,2,0,0.8292862786124063
decoder.output_projection.bias,2,1,0.9493701571292571
decoder.output_projection.weight,0,1,0.6174524042664402
decoder.output_projection.weight,0,2,0.5815210214833562
decoder.output_projection.weight,1,0,0.6174524042664402
decoder.output_projection.weight,1,2,0.8036590672439018
decoder.output_projection.weight,2,0,0.5815210214833562
decoder.output_projection.weight,2,1,0.8036590672439018
decoder_mask_token,0,1,0.8822182718161334
decoder_mask_token,0,2,0.8413247628121093
decoder_mask_token,1,0,0.8822182718161334
decoder_mask_token,1,2,0.879492251547528
decoder_mask_token,2,0,0.8413247628121093
decoder_mask_token,2,1,0.879492251547528
decoder_pos_enc,0,1,0.7476576382155061
decoder_pos_enc,0,2,0.7165036636328092
decoder_pos_enc,1,0,0.7476576382155061
decoder_pos_enc,1,2,0.7756125293090926
decoder_pos_enc,2,0,0.7165036636328092
decoder_pos_enc,2,1,0.7756125293090926
encoder.encoder.layers.0.linear1.bias,0,1,0.4442057500994539
encoder.encoder.layers.0.linear1.bias,0,2,0.4672172983955546
encoder.encoder.layers.0.linear1.bias,1,0,0.4442057500994539
encoder.encoder.layers.0.linear1.bias,1,2,0.7480170352761981
encoder.encoder.layers.0.linear1.bias,2,0,0.4672172983955546
encoder.encoder.layers.0.linear1.bias,2,1,0.7480170352761981
encoder.encoder.layers.0.linear1.weight,0,1,0.3052583216241046
encoder.encoder.layers.0.linear1.weight,0,2,0.3237003157762433
encoder.encoder.layers.0.linear1.weight,1,0,0.3052583216241046
encoder.encoder.layers.0.linear1.weight,1,2,0.6634939891845597
encoder.encoder.layers.0.linear1.weight,2,0,0.3237003157762433
encoder.encoder.layers.0.linear1.weight,2,1,0.6634939891845597
encoder.encoder.layers.0.linear2.bias,0,1,0.7722790086728998
encoder.encoder.layers.0.linear2.bias,0,2,0.7294806253125762
encoder.encoder.layers.0.linear2.bias,1,0,0.7722790086728998
encoder.encoder.layers.0.linear2.bias,1,2,0.8938332460939582
encoder.encoder.layers.0.linear2.bias,2,0,0.7294806253125762
encoder.encoder.layers.0.linear2.bias,2,1,0.8938332460939582
encoder.encoder.layers.0.linear2.weight,0,1,0.32058222254056723
encoder.encoder.layers.0.linear2.weight,0,2,0.3265349514511728
encoder.encoder.layers.0.linear2.weight,1,0,0.32058222254056723
encoder.encoder.layers.0.linear2.weight,1,2,0.6700187484823438
encoder.encoder.layers.0.linear2.weight,2,0,0.3265349514511728
encoder.encoder.layers.0.linear2.weight,2,1,0.6700187484823438
encoder.encoder.layers.0.norm1.bias,0,1,0.717563900424943
encoder.encoder.layers.0.norm1.bias,0,2,0.703731995243204
encoder.encoder.layers.0.norm1.bias,1,0,0.717563900424943
encoder.encoder.layers.0.norm1.bias,1,2,0.9136598014622019
encoder.encoder.layers.0.norm1.bias,2,0,0.703731995243204
encoder.encoder.layers.0.norm1.bias,2,1,0.9136598014622019
encoder.encoder.layers.0.norm1.weight,0,1,0.4392943214180229
encoder.encoder.layers.0.norm1.weight,0,2,0.4963593864832272
encoder.encoder.layers.0.norm1.weight,1,0,0.4392943214180229
encoder.encoder.layers.0.norm1.weight,1,2,0.708261558603895
encoder.encoder.layers.0.norm1.weight,2,0,0.4963593864832272
encoder.encoder.layers.0.norm1.weight,2,1,0.708261558603895
encoder.encoder.layers.0.norm2.bias,0,1,0.8433708009369414
encoder.encoder.layers.0.norm2.bias,0,2,0.837382317530682
encoder.encoder.layers.0.norm2.bias,1,0,0.8433708009369414
encoder.encoder.layers.0.norm2.bias,1,2,0.9645426508092172
encoder.encoder.layers.0.norm2.bias,2,0,0.837382317530682
encoder.encoder.layers.0.norm2.bias,2,1,0.9645426508092172
encoder.encoder.layers.0.norm2.weight,0,1,0.6277779750431678
encoder.encoder.layers.0.norm2.weight,0,2,0.5961236475179235
encoder.encoder.layers.0.norm2.weight,1,0,0.6277779750431678
encoder.encoder.layers.0.norm2.weight,1,2,0.8571853265294815
encoder.encoder.layers.0.norm2.weight,2,0,0.5961236475179235
encoder.encoder.layers.0.norm2.weight,2,1,0.8571853265294815
encoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.6686032007089102
encoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.678609732404764
encoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.6686032007089102
encoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.8370273996885133
encoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.678609732404764
encoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.8370273996885133
encoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.41887157226246263
encoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.41029306040424207
encoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.41887157226246263
encoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.6536888198842842
encoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.41029306040424207
encoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.6536888198842842
encoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.8446996115863148
encoder.encoder.layers.0.self_attn.out_proj.bias,0,2,0.8356450526101004
encoder.encoder.layers.0.self_attn.out_proj.bias,1,0,0.8446996115863148
encoder.encoder.layers.0.self_attn.out_proj.bias,1,2,0.9474876056985246
encoder.encoder.layers.0.self_attn.out_proj.bias,2,0,0.8356450526101004
encoder.encoder.layers.0.self_attn.out_proj.bias,2,1,0.9474876056985246
encoder.encoder.layers.0.self_attn.out_proj.weight,0,1,0.6251735947891224
encoder.encoder.layers.0.self_attn.out_proj.weight,0,2,0.6314480918003221
encoder.encoder.layers.0.self_attn.out_proj.weight,1,0,0.6251735947891224
encoder.encoder.layers.0.self_attn.out_proj.weight,1,2,0.8194174412838939
encoder.encoder.layers.0.self_attn.out_proj.weight,2,0,0.6314480918003221
encoder.encoder.layers.0.self_attn.out_proj.weight,2,1,0.8194174412838939
encoder.encoder.layers.1.linear1.bias,0,1,0.30318443441054627
encoder.encoder.layers.1.linear1.bias,0,2,0.3486725441411606
encoder.encoder.layers.1.linear1.bias,1,0,0.30318443441054627
encoder.encoder.layers.1.linear1.bias,1,2,0.5793302856947011
encoder.encoder.layers.1.linear1.bias,2,0,0.3486725441411606
encoder.encoder.layers.1.linear1.bias,2,1,0.5793302856947011
encoder.encoder.layers.1.linear1.weight,0,1,0.2384270533554963
encoder.encoder.layers.1.linear1.weight,0,2,0.28824494689968416
encoder.encoder.layers.1.linear1.weight,1,0,0.2384270533554963
encoder.encoder.layers.1.linear1.weight,1,2,0.5562131975150741
encoder.encoder.layers.1.linear1.weight,2,0,0.28824494689968416
encoder.encoder.layers.1.linear1.weight,2,1,0.5562131975150741
encoder.encoder.layers.1.linear2.bias,0,1,0.7516464794981206
encoder.encoder.layers.1.linear2.bias,0,2,0.7601905219851258
encoder.encoder.layers.1.linear2.bias,1,0,0.7516464794981206
encoder.encoder.layers.1.linear2.bias,1,2,0.8781959343511715
encoder.encoder.layers.1.linear2.bias,2,0,0.7601905219851258
encoder.encoder.layers.1.linear2.bias,2,1,0.8781959343511715
encoder.encoder.layers.1.linear2.weight,0,1,0.249295339759035
encoder.encoder.layers.1.linear2.weight,0,2,0.3033014605012929
encoder.encoder.layers.1.linear2.weight,1,0,0.249295339759035
encoder.encoder.layers.1.linear2.weight,1,2,0.6291851701557654
encoder.encoder.layers.1.linear2.weight,2,0,0.3033014605012929
encoder.encoder.layers.1.linear2.weight,2,1,0.6291851701557654
encoder.encoder.layers.1.norm1.bias,0,1,0.7453153963717672
encoder.encoder.layers.1.norm1.bias,0,2,0.657434692857646
encoder.encoder.layers.1.norm1.bias,1,0,0.7453153963717672
encoder.encoder.layers.1.norm1.bias,1,2,0.7968481324864087
encoder.encoder.layers.1.norm1.bias,2,0,0.657434692857646
encoder.encoder.layers.1.norm1.bias,2,1,0.7968481324864087
encoder.encoder.layers.1.norm1.weight,0,1,0.6158520201598756
encoder.encoder.layers.1.norm1.weight,0,2,0.5722617838810811
encoder.encoder.layers.1.norm1.weight,1,0,0.6158520201598756
encoder.encoder.layers.1.norm1.weight,1,2,0.7961792626532205
