parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.32291414879011066
decoder.encoder.layers.0.linear1.bias,0,2,0.17120008293973696
decoder.encoder.layers.0.linear1.bias,1,0,0.32291414879011066
decoder.encoder.layers.0.linear1.bias,1,2,0.49320243455582513
decoder.encoder.layers.0.linear1.bias,2,0,0.17120008293973696
decoder.encoder.layers.0.linear1.bias,2,1,0.49320243455582513
decoder.encoder.layers.0.linear1.weight,0,1,0.36006475460243154
decoder.encoder.layers.0.linear1.weight,0,2,0.24821257031945992
decoder.encoder.layers.0.linear1.weight,1,0,0.36006475460243154
decoder.encoder.layers.0.linear1.weight,1,2,0.2899501518800837
decoder.encoder.layers.0.linear1.weight,2,0,0.24821257031945992
decoder.encoder.layers.0.linear1.weight,2,1,0.2899501518800837
decoder.encoder.layers.0.linear2.bias,0,1,0.4783398360281425
decoder.encoder.layers.0.linear2.bias,0,2,-0.002343917341207311
decoder.encoder.layers.0.linear2.bias,1,0,0.4783398360281425
decoder.encoder.layers.0.linear2.bias,1,2,0.54869958681577
decoder.encoder.layers.0.linear2.bias,2,0,-0.002343917341207311
decoder.encoder.layers.0.linear2.bias,2,1,0.54869958681577
decoder.encoder.layers.0.linear2.weight,0,1,0.32772103750847714
decoder.encoder.layers.0.linear2.weight,0,2,0.15593259321115943
decoder.encoder.layers.0.linear2.weight,1,0,0.32772103750847714
decoder.encoder.layers.0.linear2.weight,1,2,0.378814278131669
decoder.encoder.layers.0.linear2.weight,2,0,0.15593259321115943
decoder.encoder.layers.0.linear2.weight,2,1,0.378814278131669
decoder.encoder.layers.0.norm1.bias,0,1,0.14576052476095586
decoder.encoder.layers.0.norm1.bias,0,2,-0.16368088960086863
decoder.encoder.layers.0.norm1.bias,1,0,0.14576052476095586
decoder.encoder.layers.0.norm1.bias,1,2,0.6411086362682095
decoder.encoder.layers.0.norm1.bias,2,0,-0.16368088960086863
decoder.encoder.layers.0.norm1.bias,2,1,0.6411086362682095
decoder.encoder.layers.0.norm1.weight,0,1,0.561353481374877
