parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,0,0.5624108559079481
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,1,0.6656820339004572
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,2,0.8686654774137724
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,3,1.0122324877006244
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,4,1.128712733220015
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,5,1.2117672127895258
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,6,1.4074529933074158
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,7,1.555456459309773
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,0,0.6400658324988606
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,1,0.724927603246457
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,2,0.9161247946696425
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,3,1.0202887412466195
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,4,1.1254216638483725
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,5,1.2953287657170218
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,6,1.45156582054354
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,7,1.5010332398113289
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,0,0.562410855907949
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,1,0.665682033900457
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,2,0.8686654774137726
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,3,1.0122324877006246
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,4,1.1287127332200155
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,5,1.211767212789526
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,6,1.4074529933074156
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,7,1.555456459309773
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,0,0.6163507429526496
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,1,0.7145116921031535
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,2,0.9354670484545926
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,3,1.0539140341004938
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,4,1.12040289402418
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,5,1.2660100253908033
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,6,1.306184317366435
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,7,1.4836144932669382
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,0,0.6400658324988611
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,1,0.7249276032464572
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,2,0.916124794669642
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,3,1.0202887412466197
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,4,1.1254216638483725
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,5,1.2953287657170218
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,6,1.45156582054354
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,7,1.5010332398113289
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,0,0.616350742952649
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,1,0.7145116921031535
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,2,0.9354670484545929
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,3,1.0539140341004938
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,4,1.12040289402418
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,5,1.2660100253908033
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,6,1.306184317366435
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,7,1.4836144932669382
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,0,0.35433627744903123
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,1,0.4178678011927042
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,2,0.4956210473661003
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,3,0.5989162323857933
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,4,0.7609659809068149
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,5,0.8487829430035075
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,6,0.9519587824779014
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,7,1.35015950087887
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,0,0.4103479481197365
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,1,0.4484222164590658
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,2,0.5040919752755558
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,3,0.719212585671223
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,4,0.898628612130584
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,5,0.9598184788431648
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,6,1.2396428550965355
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,7,1.520896075904996
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,0,0.3543362774490319
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,1,0.4178678011927034
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,2,0.4956210473661005
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,0.5989162323857931
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,0.7609659809068143
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,0.8487829430035075
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,0.9519587824779011
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,1.35015950087887
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.3592814175937037
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.4655253014069121
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.5236887377082737
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.5594212658440988
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,0.749781405619525
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,0.9732400580267112
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,1.0945741450282307
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,7,1.5342911421083227
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,0,0.41034794811973596
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,1,0.4484222164590653
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,2,0.5040919752755552
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,3,0.7192125856712226
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,4,0.8986286121305838
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,5,0.9598184788431647
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,6,1.2396428550965355
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,7,1.520896075904996
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,0,0.35928141759370213
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,1,0.4655253014069121
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,2,0.5236887377082742
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,3,0.559421265844099
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,4,0.7497814056195247
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,5,0.9732400580267114
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,6,1.0945741450282305
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,7,1.5342911421083227
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,0,0.6507094246215362
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,1,0.7419480943638737
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,2,0.8784828752334756
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,3,1.0037862774565494
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,4,1.0744765339542588
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,5,1.1330379985088066
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,6,1.223973205040208
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,7,1.5634855588665255
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,0,0.6645041194862492
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,1,0.804714343962887
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,2,1.060437399169003
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,3,1.1072187718585926
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,4,1.192743374009783
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,5,1.2607993348221647
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,6,1.5137388954149011
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,7,1.5204275244082326
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,0,0.6507094246215361
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,1,0.7419480943638737
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,2,0.8784828752334755
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,3,1.0037862774565494
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,4,1.0744765339542588
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,5,1.1330379985088068
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,6,1.223973205040208
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,7,1.5634855588665257
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,0,0.6866673920892575
