parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,0,0.7093291875819021
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,1,0.7672100088520002
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,2,0.841726895802532
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,3,0.9189977765292191
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,4,1.0859231188980483
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,5,1.2425443212129597
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,6,1.393685281372086
decoder.encoder.layers.0.linear1.weight,256x64,8,0,1,7,1.508904119786726
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,0,1.0115693975684639
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,1,1.1580646240792039
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,2,1.2255086375183186
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,3,1.3008190061166034
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,4,1.3425786099480879
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,5,1.3971167354464886
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,6,1.4541265911708385
decoder.encoder.layers.0.linear1.weight,256x64,8,0,2,7,1.5520516423659996
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,0,0.7093291875819019
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,1,0.7672100088520002
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,2,0.8417268958025319
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,3,0.9189977765292191
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,4,1.0859231188980483
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,5,1.2425443212129597
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,6,1.393685281372086
decoder.encoder.layers.0.linear1.weight,256x64,8,1,0,7,1.508904119786726
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,0,0.8005669981363788
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,1,0.8666717676256882
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,2,0.9921632390612848
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,3,1.10387418597319
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,4,1.2692537722324384
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,5,1.3172887212046942
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,6,1.340819505051692
decoder.encoder.layers.0.linear1.weight,256x64,8,1,2,7,1.5630798600581035
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,0,1.0115693975684634
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,1,1.1580646240792039
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,2,1.2255086375183186
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,3,1.3008190061166034
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,4,1.3425786099480879
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,5,1.3971167354464884
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,6,1.4541265911708385
decoder.encoder.layers.0.linear1.weight,256x64,8,2,0,7,1.5520516423659996
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,0,0.800566998136379
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,1,0.8666717676256886
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,2,0.9921632390612847
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,3,1.1038741859731902
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,4,1.2692537722324384
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,5,1.3172887212046942
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,6,1.340819505051692
decoder.encoder.layers.0.linear1.weight,256x64,8,2,1,7,1.5630798600581035
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,0,0.35961603018252497
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,1,0.5089517376797514
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,2,0.9086786839429738
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,3,1.013593064182152
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,4,1.0842964261558852
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,5,1.2001477085003853
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,6,1.425361677592173
decoder.encoder.layers.0.linear2.weight,64x256,8,0,1,7,1.5207671775319413
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,0,0.6634196065636557
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,1,0.8010811635790641
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,2,0.8416359482832663
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,3,0.9082325006216284
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,4,1.25316685668501
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,5,1.4082131104782862
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,6,1.4358056167990725
decoder.encoder.layers.0.linear2.weight,64x256,8,0,2,7,1.567173145357641
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,0,0.35961603018252436
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,1,0.5089517376797521
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,2,0.9086786839429736
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,1.0135930641821518
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,1.0842964261558852
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,1.2001477085003853
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,1.425361677592173
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,1.5207671775319411
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.5097374659315996
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.5931345379539527
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.6668512530149359
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.9014850857316377
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,1.1379224607936187
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,1.2558229070946645
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,1.4657921857696965
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,7,1.540901516313801
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,0,0.6634196065636558
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,1,0.8010811635790644
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,2,0.841635948283266
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,3,0.9082325006216285
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,4,1.25316685668501
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,5,1.4082131104782862
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,6,1.4358056167990725
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,7,1.567173145357641
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,0,0.5097374659315992
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,1,0.5931345379539527
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,2,0.6668512530149359
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,3,0.9014850857316378
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,4,1.1379224607936185
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,5,1.2558229070946645
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,6,1.4657921857696963
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,7,1.540901516313801
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,0,0.36601947860900913
