dataset,n,metric,higher_is_better,floor_pct,method,role,selection,value,sd,n_seeds,rank,n_ranked,gap_to_best_pct,gap_over_floor,adaptive_paired_plain,source
ETTh1,2,forecast/mse,False,8.759,base,reference,none,0.728958,,,,7,86.2928,9.8519,,method_comparison
ETTh1,2,forecast/mse,False,8.759,joint,reference,shared configuration,0.41857,,,,7,6.9699,0.7957,,method_comparison
ETTh1,2,forecast/mse,False,8.759,specialists,reference,mean of per-segment models,0.499926,,,,7,27.7613,3.1695,,method_comparison
ETTh1,2,forecast/mse,False,8.759,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.459709,,,,7,17.4834,1.996,,method_comparison
ETTh1,2,forecast/mse,False,8.759,sequential,candidate,final step,0.40781,,,2,7,4.2201,0.4818,,method_comparison
ETTh1,2,forecast/mse,False,8.759,window_val,candidate,W selected on validation,0.391297,,,1,7,0.0,0.0,,method_comparison
ETTh1,2,forecast/mse,False,8.759,window_oracle,reference,W selected on TEST,0.391297,,,,7,0.0,0.0,,method_comparison
ETTh1,2,forecast/mse,False,8.759,ta,candidate,val-selected alpha,0.45970908800760907,0.014139897006360567,3,4,7,17.4834,1.9961,,merge_baselines
ETTh1,2,forecast/mse,False,8.759,dare,candidate,val-selected alpha,0.461434930562973,0.011317989527901992,3,5,7,17.9245,2.0464,,merge_baselines
ETTh1,2,forecast/mse,False,8.759,ties,candidate,val-selected alpha,0.6167182127634684,0.02245683968808905,3,7,7,57.6087,6.5771,,merge_baselines
ETTh1,2,forecast/mse,False,8.759,iso_c,candidate,val-selected alpha,0.49477089444796246,0.012040189372482208,3,6,7,26.4438,3.019,,merge_baselines
ETTh1,2,forecast/mse,False,8.759,tsv,candidate,val-selected alpha,0.45678932468096417,0.02059205549227726,3,3,7,16.7372,1.9109,,merge_baselines
ETTh1,3,forecast/mse,False,8.759,base,reference,none,0.758902,,,,8,93.9453,10.7256,,method_comparison
ETTh1,3,forecast/mse,False,8.759,joint,reference,shared configuration,0.41857,,,,8,6.9699,0.7957,,method_comparison
ETTh1,3,forecast/mse,False,8.759,specialists,reference,mean of per-segment models,0.568531,,,,8,45.294,5.1711,,method_comparison
ETTh1,3,forecast/mse,False,8.759,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.496383,,,,8,26.8558,3.0661,,method_comparison
ETTh1,3,forecast/mse,False,8.759,sequential,candidate,final step,0.414003,,,2,8,5.8028,0.6625,,method_comparison
ETTh1,3,forecast/mse,False,8.759,window_val,candidate,W selected on validation,0.391297,,,1,8,0.0,0.0,,method_comparison
ETTh1,3,forecast/mse,False,8.759,window_oracle,reference,W selected on TEST,0.391297,,,,8,0.0,0.0,,method_comparison
ETTh1,3,forecast/mse,False,8.759,ta,candidate,val-selected alpha,0.49972403049468994,0.011901814041539378,3,6,8,27.7097,3.1636,,merge_baselines
