run_id,seed,status,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,train_test_forecast/mse,train_test_forecast/rmse,train_test_forecast/mae,train_val_forecast/mse,train_val_forecast/rmse,train_val_forecast/mae
58375,42,complete,4,64,3,4,64,2,4,0.5,1,causal_mask,False,False,0.38772404193878174,0.6226749087114253,0.441937655210495,0.29576244950294495,0.5438404632821513,0.3712247312068939
58376,42,complete,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.38290098309516907,0.6187899345457787,0.4284558892250061,0.29690197110176086,0.5448871177608816,0.36642879247665405
58377,42,complete,4,256,3,4,64,2,4,0.5,1,causal_mask,False,False,0.41098105907440186,0.6410780444488813,0.4577035903930664,0.320201575756073,0.565863566379806,0.39760708808898926
58378,42,complete,6,64,3,4,64,2,4,0.5,1,causal_mask,False,False,0.39443662762641907,0.6280418995786977,0.44673585891723633,0.29521840810775757,0.5433400483194273,0.3763888478279114
58379,42,complete,6,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.39145320653915405,0.6256622144089845,0.4404228627681732,0.3066380023956299,0.5537490427943238,0.390267938375473
58380,42,complete,6,256,3,4,64,2,4,0.5,1,causal_mask,False,False,0.4311327040195465,0.6566069631214296,0.4518347382545471,0.3125588297843933,0.5590696108575329,0.38785508275032043
58381,42,complete,8,64,3,4,64,2,4,0.5,1,causal_mask,False,False,0.4133284389972687,0.642906244329038,0.44618624448776245,0.3178279995918274,0.5637623609215389,0.38491290807724
58382,42,complete,8,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.39191097021102905,0.6260279308553486,0.4489915668964386,0.30062857270240784,0.5482960630010103,0.38276055455207825
58383,42,complete,8,256,3,4,64,2,4,0.5,1,causal_mask,False,False,0.4170123040676117,0.6457648984480433,0.45900270342826843,0.30574852228164673,0.5529453158149066,0.37335753440856934
58384,42,complete,4,128,2,4,64,2,4,0.5,1,causal_mask,False,False,0.3737598657608032,0.6113590317978489,0.42503783106803894,0.3067319095134735,0.5538338284300387,0.3706738352775574
58385,42,complete,4,128,4,4,64,2,4,0.5,1,causal_mask,False,False,0.38165003061294556,0.6177783021545395,0.4273768365383148,0.3052663505077362,0.5525091406553707,0.3765416145324707
58386,42,complete,4,128,3,2,64,2,4,0.5,1,causal_mask,False,False,0.4061271846294403,0.6372810876131821,0.443904846906662,0.3042220175266266,0.5515632488904846,0.3711365759372711
58387,42,complete,4,128,3,4,64,1,4,0.5,1,causal_mask,False,False,0.4071440100669861,0.6380783729817099,0.44111764430999756,0.30437812209129333,0.5517047417698105,0.3696659803390503
58388,42,incomplete,4,128,3,4,64,3,4,0.5,1,causal_mask,False,False,,,,,,
58389,42,complete,4,128,3,4,64,2,2,0.5,1,causal_mask,False,False,0.3974399268627167,0.6304283677490383,0.4347718358039856,0.3079240322113037,0.5549090305728532,0.3702755272388458
58390,42,incomplete,4,128,3,4,32,2,4,0.5,1,causal_mask,False,False,,,,,,
58391,42,complete,4,128,3,4,128,2,4,0.5,1,causal_mask,False,False,0.3663026988506317,0.6052294596685059,0.42349255084991455,0.2973366975784302,0.5452858860986869,0.3733678460121155
58835,42,complete,4,128,3,4,64,3,4,0.5,1,causal_mask,False,False,0.38579654693603516,0.6211252264527944,0.4298630654811859,0.30052053928375244,0.548197536736305,0.3689051866531372
58836,42,complete,4,128,3,4,32,2,4,0.5,1,causal_mask,False,False,0.42695745825767517,0.6534198177723685,0.4564356803894043,0.3254895806312561,0.5705169415812786,0.39622482657432556
58837,42,complete,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.3910595774650574,0.6253475653307186,0.43418389558792114,0.30790746212005615,0.5548940999146199,0.375281423330307
58838,123,complete,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.38308316469192505,0.6189371249908386,0.43275508284568787,0.29724690318107605,0.5452035428911628,0.37119534611701965
58839,7,complete,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.4071013033390045,0.6380449069924503,0.4474019408226013,0.30248647928237915,0.5499877083011757,0.37456437945365906
58840,123,complete,4,128,3,4,128,2,4,0.5,1,causal_mask,False,False,0.4401977062225342,0.6634739680066839,0.4720345437526703,0.31306901574134827,0.5595257060594698,0.37682342529296875
58841,7,complete,4,128,3,4,128,2,4,0.5,1,causal_mask,False,False,0.3844180405139923,0.620014548630911,0.4283236265182495,0.3022066056728363,0.5497332131796625,0.3684954345226288
