run_id,seed,status,model,dataset,task,pipeline,eval_seed,experiment_name,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,dataset_baseline_fraction,dataset_baseline_use_fraction,dataset_n_finetune_segments,dataset_val_fraction,dataset_window_len,dataset_forecast_len,dataset_stride,dataset_normalization,dataset_test_fraction,loader_batch_size,loader_num_workers,pipeline_merge_scale,trainer_n_epochs,trainer_patience,trainer_optimizer,trainer_weight_decay,trainer_learning_rate,trainer_grad_clip,trainer_scheduler,trainer_warmup_ratio,trainer_device,trainer_checkpoint_interval,trainer_reg_lambda,trainer_reg_exclude,finetune_trainer_n_epochs,finetune_trainer_patience,finetune_trainer_optimizer,finetune_trainer_weight_decay,finetune_trainer_learning_rate,finetune_trainer_grad_clip,finetune_trainer_scheduler,finetune_trainer_warmup_ratio,finetune_trainer_device,finetune_trainer_checkpoint_interval,finetune_trainer_reg_lambda,finetune_trainer_reg_exclude,configurator_debug,baseline_test_forecast/mse,baseline_test_forecast/rmse,baseline_test_forecast/mae,baseline_val_forecast/mse,baseline_val_forecast/rmse,baseline_val_forecast/mae,finetune_0_test_forecast/mse,finetune_0_test_forecast/rmse,finetune_0_test_forecast/mae,finetune_0_val_forecast/mse,finetune_0_val_forecast/rmse,finetune_0_val_forecast/mae,finetune_1_test_forecast/mse,finetune_1_test_forecast/rmse,finetune_1_test_forecast/mae,finetune_1_val_forecast/mse,finetune_1_val_forecast/rmse,finetune_1_val_forecast/mae,finetune_2_test_forecast/mse,finetune_2_test_forecast/rmse,finetune_2_test_forecast/mae,finetune_2_val_forecast/mse,finetune_2_val_forecast/rmse,finetune_2_val_forecast/mae,merged_test_forecast/mse,merged_test_forecast/rmse,merged_test_forecast/mae,merged_val_forecast/mse,merged_val_forecast/rmse,merged_val_forecast/mae,finetune_3_test_forecast/mse,finetune_3_test_forecast/rmse,finetune_3_test_forecast/mae,finetune_3_val_forecast/mse,finetune_3_val_forecast/rmse,finetune_3_val_forecast/mae,finetune_4_test_forecast/mse,finetune_4_test_forecast/rmse,finetune_4_test_forecast/mae,finetune_4_val_forecast/mse,finetune_4_val_forecast/rmse,finetune_4_val_forecast/mae
59065,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.3,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",False,0.6873383522033691,0.8290587145693417,0.6013177633285522,0.3379703760147095,0.5813521961898049,0.4093596041202545,0.6868652105331421,0.8287733167357296,0.5977409482002258,0.5078019499778748,0.7126022382633068,0.5526846647262573,0.4789240062236786,0.6920433557398543,0.5021029710769653,0.2422703504562378,0.49220966107568204,0.34594035148620605,0.4538302421569824,0.6736692379476611,0.47143658995628357,0.22582624852657318,0.47521179333700586,0.3246549963951111,0.45654773712158203,0.6756831632663212,0.46314486861228943,0.2911297678947449,0.5395644242300867,0.38797855377197266,,,,,,,,,,,,
59066,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.3,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.001,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.6334460377693176,0.7958932326445034,0.5763350129127502,0.43868422508239746,0.6623324128278771,0.5085424780845642,0.47234100103378296,0.6872706897822596,0.4946606457233429,0.25925660133361816,0.5091724671794599,0.35936495661735535,0.45344895124435425,0.6733861828433624,0.4711225628852844,0.21688200533390045,0.4657059215147478,0.3178379535675049,0.4540444612503052,0.6738282134567424,0.46472805738449097,0.29881998896598816,0.5466442983933777,0.3943244218826294,,,,,,,,,,,,
59067,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.3,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.01,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.633441150188446,0.7958901621382476,0.5763339400291443,0.4386849105358124,0.6623329302819031,0.5085472464561462,0.47403112053871155,0.6884991797661865,0.4935757517814636,0.26108402013778687,0.5109638149006119,0.3615823984146118,0.43315282464027405,0.6581434681285487,0.46168211102485657,0.22589635848999023,0.4752855546826457,0.33556610345840454,0.46197110414505005,0.6796845622382857,0.47058597207069397,0.30192407965660095,0.5494761866146712,0.3974878489971161,,,,,,,,,,,,
59068,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.5,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.6334466338157654,0.7958936070956755,0.5763352513313293,0.4386841356754303,0.6623323453338439,0.5085419416427612,0.4720674157142639,0.6870716234238349,0.49480387568473816,0.2590448260307312,0.5089644644085982,0.35913345217704773,0.45748746395111084,0.6763781959459595,0.4734802842140198,0.2156974971294403,0.46443244624965674,0.3161659836769104,0.4235711097717285,0.6508234090532765,0.45278093218803406,0.3031396269798279,0.5505811720171948,0.400168240070343,,,,,,,,,,,,
59069,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.5,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.001,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.6334460377693176,0.7958932326445034,0.5763350129127502,0.43868422508239746,0.6623324128278771,0.5085424780845642,0.47234100103378296,0.6872706897822596,0.4946606457233429,0.25925660133361816,0.5091724671794599,0.35936495661735535,0.45344895124435425,0.6733861828433624,0.4711225628852844,0.21688200533390045,0.4657059215147478,0.3178379535675049,0.424943745136261,0.6518770935814979,0.4535524547100067,0.3019138276576996,0.5494668576517601,0.39928966760635376,,,,,,,,,,,,
59070,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,0.5,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.01,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.633441150188446,0.7958901621382476,0.5763339400291443,0.4386849105358124,0.6623329302819031,0.5085472464561462,0.47403112053871155,0.6884991797661865,0.4935757517814636,0.26108402013778687,0.5109638149006119,0.3615823984146118,0.43315282464027405,0.6581434681285487,0.46168211102485657,0.22589635848999023,0.4752855546826457,0.33556610345840454,0.4312650263309479,0.6567077175813818,0.4580070376396179,0.2996242344379425,0.5473794245657599,0.3982957601547241,,,,,,,,,,,,
59071,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,1.0,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.6334466338157654,0.7958936070956755,0.5763352513313293,0.4386841356754303,0.6623323453338439,0.5085419416427612,0.4720674157142639,0.6870716234238349,0.49480387568473816,0.2590448260307312,0.5089644644085982,0.35913345217704773,0.45748746395111084,0.6763781959459595,0.4734802842140198,0.2156974971294403,0.46443244624965674,0.3161659836769104,0.4684334099292755,0.6844219531321855,0.5034656524658203,0.40856361389160156,0.6391898105348689,0.4762161076068878,,,,,,,,,,,,
59072,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,1.0,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.001,"['norm', 'bias']",False,0.6873383522033691,0.8290587145693417,0.6013177633285522,0.3379703760147095,0.5813521961898049,0.4093596041202545,0.6868650317192078,0.8287732088570477,0.5977411270141602,0.5078017711639404,0.7126021127978365,0.5526851415634155,0.4553793668746948,0.674818025007257,0.4843731224536896,0.24326671659946442,0.4932207584839312,0.35217738151550293,0.44936469197273254,0.6703466953545252,0.46873876452445984,0.22631198167800903,0.47572258899279635,0.32703784108161926,0.4485904276371002,0.6697689360048734,0.4949575662612915,0.39460164308547974,0.6281732588111976,0.4737052619457245,,,,,,,,,,,,
59073,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.5,1.0,3,0.1,120,24,1,standard,0.2,128,4,1.0,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.01,"['norm', 'bias']",False,0.6131782531738281,0.7830569922897235,0.5674749612808228,0.3491488993167877,0.5908882291235693,0.4204796254634857,0.633441150188446,0.7958901621382476,0.5763339400291443,0.4386849105358124,0.6623329302819031,0.5085472464561462,0.47403112053871155,0.6884991797661865,0.4935757517814636,0.26108402013778687,0.5109638149006119,0.3615823984146118,0.43315282464027405,0.6581434681285487,0.46168211102485657,0.22589635848999023,0.4752855546826457,0.33556610345840454,0.47780555486679077,0.6912348044382537,0.5132865309715271,0.3888070583343506,0.6235439506036047,0.4656583070755005,,,,,,,,,,,,
59074,42,complete,MaeTx,EtthForecastDataset,forecast,IncrementalTaskArithmeticPipeline,,slurm_grid_etth_forecast_train_incremental,4,128,3,4,64,2,4,0.5,1,causal_mask,False,False,0.3,1.0,3,0.1,120,24,1,standard,0.2,128,4,1.0,100,15,adamw,0.0001,0.001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",30,10,adamw,0.0001,0.0001,1.0,cosine,0.1,auto,0,0.0,"['norm', 'bias']",False,1.0076102018356323,1.003797888937625,0.7196941375732422,0.41776975989341736,0.6463511119302089,0.49880293011665344,0.7839758396148682,0.8854241015552198,0.6710463762283325,0.39603134989738464,0.6293102175377296,0.43763425946235657,0.5915600061416626,0.7691293819258647,0.5612397193908691,0.3498106896877289,0.5914479602532491,0.4293830990791321,0.5545942783355713,0.7447108689522205,0.5215564370155334,0.27269548177719116,0.5222025294626512,0.3941343128681183,1.9765551090240479,1.4059001063461258,1.0557982921600342,1.2239805459976196,1.1063365428284557,0.8483314514160156,,,,,,,,,,,,
