trial,params,seed,extra_args,job_id,script_path
0,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58957,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_0.sh
1,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58958,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_1.sh
2,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58959,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_2.sh
3,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58960,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_3.sh
4,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58961,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_4.sh
5,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58962,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_5.sh
6,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58963,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_6.sh
7,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58964,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_7.sh
8,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58965,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_8.sh
9,"{""dataset_baseline_fraction"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58966,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_incremental_trial_9.sh
