trial,params,seed,extra_args,job_id,script_path
0,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58935,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_0.sh
1,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58936,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_1.sh
2,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58937,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_2.sh
3,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58938,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_3.sh
4,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58939,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_4.sh
5,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58940,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_5.sh
6,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58941,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_6.sh
7,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58942,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_7.sh
8,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58943,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_8.sh
10,"{""dataset_baseline_fraction"": ""0.7""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58945,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_10.sh
14,"{""dataset_n_finetune_segments"": ""5""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",58949,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_14.sh
9,"{""dataset_baseline_fraction"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",59055,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_9.sh
11,"{""dataset_val_fraction"": ""0.10""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",59056,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_11.sh
12,"{""dataset_val_fraction"": ""0.20""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",59080,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_12.sh
13,"{""dataset_n_finetune_segments"": ""2""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""128""]",59081,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/swat_train_incremental_trial_13.sh
