dataset,n_segments,metric,rule,protocol,n_seeds,n_seeds_expected,floor_pct,value,value_sd,ta_value,delta_pct,delta_paired_sd,margin_ratio,borderline,verdict,alpha_mean,alpha_values,alpha_at_edge,oracle_value,oracle_alpha_values,distance,ta_distance,grr,grr_ta,grr_delta,source_experiment
ETTh1,2,forecast/mse,ta,val-selected alpha,3,3,8.759,0.45970908800760907,0.014139897006360567,0.45970908800760907,0.0,0.0,0.0,False,control,0.5,0.5 0.5 0.5,False,0.45970908800760907,0.5 0.5 0.5,1.525866,1.525866,0.867459,0.867459,0.0,segsweep_etth1_merge_n2
ETTh1,2,forecast/mse,dare,val-selected alpha,3,3,8.759,0.461434930562973,0.011317989527901992,0.45970908800760907,0.3754205867114353,0.6319129674183629,0.04286112418214811,False,tie,0.5,0.5 0.5 0.5,False,0.461434930562973,0.5 0.5 0.5,2.5636566666666667,1.525866,0.861899,0.867459,-0.00556,segsweep_etth1_merge_n2
ETTh1,2,forecast/mse,ties,val-selected alpha,3,3,8.759,0.6167182127634684,0.02245683968808905,0.45970908800760907,34.15401801960037,5.984140876133874,3.8993056307341445,False,worse,1.0,1 1 1,False,0.6006512840588888,1.5 1.5 1.5,2.0087753333333334,1.525866,0.361611,0.867459,-0.505848,segsweep_etth1_merge_n2
ETTh1,2,forecast/mse,iso_c,val-selected alpha,3,3,8.759,0.49477089444796246,0.012040189372482208,0.45970908800760907,7.626955253878525,0.580225371196684,0.8707563938667113,False,tie,2.0,2 2 2,False,0.47329415877660114,3 3 3,3.403739,1.525866,0.754498,0.867459,-0.112961,segsweep_etth1_merge_n2
ETTh1,2,forecast/mse,tsv,val-selected alpha,3,3,8.759,0.45678932468096417,0.02059205549227726,0.45970908800760907,-0.63513282700136,1.5488348929362,0.07251202500300948,False,tie,1.0,1 1 1,False,0.45678932468096417,1 1 1,2.6794806666666666,1.525866,0.876866,0.867459,0.009407,segsweep_etth1_merge_n2
ETTh1,3,forecast/mse,ta,val-selected alpha,3,3,8.759,0.49972403049468994,0.011901814041539378,0.49972403049468994,0.0,0.0,0.0,False,control,0.3,0.3 0.3 0.3,False,0.4801246424516042,0.5 0.5 0.5,1.0177733333333334,1.0177733333333334,0.758762,0.758762,0.0,selalpha_etth1_n3
ETTh1,3,forecast/mse,dare,val-selected alpha,3,3,8.759,0.499016672372818,0.012286055030442722,0.49972403049468994,-0.14154975120402272,0.23000882415047166,0.016160492202765466,False,tie,0.3,0.3 0.3 0.3,False,0.4816513955593109,0.5 0.5 0.5,1.6599763333333335,1.0177733333333334,0.760833,0.758762,0.002071,selalpha_etth1_n3
ETTh1,3,forecast/mse,ties,val-selected alpha,3,3,8.759,0.6726429263750712,0.027909719161757218,0.49972403049468994,34.60287785424373,5.044786483492846,3.950551187834653,False,worse,0.5666666666666667,0.7 0.5 0.5,False,0.6425518194834391,1.5 1 1,1.1377063333333333,1.0177733333333334,0.25253,0.758762,-0.506232,selalpha_etth1_n3
ETTh1,3,forecast/mse,iso_c,val-selected alpha,3,3,8.759,0.5387248198191324,0.013071994349079206,0.49972403049468994,7.804465453829507,1.608025316416762,0.89102242879661,False,tie,1.5,1.5 1.5 1.5,False,0.5162189503510793,2 2 3,2.8141063333333336,1.0177733333333334,0.644585,0.758762,-0.114178,selalpha_etth1_n3
ETTh1,3,forecast/mse,tsv,val-selected alpha,3,3,8.759,0.49759794274965924,0.010373329881108395,0.49972403049468994,-0.425452372767832,2.178715068313682,0.04857316734419819,False,tie,0.7999999999999999,1 0.7 0.7,False,0.47645874818166095,1 1 1.5,2.2599793333333333,1.0177733333333334,0.764986,0.758762,0.006224,selalpha_etth1_n3
ETTh1,5,forecast/mse,ta,val-selected alpha,3,3,8.759,0.4516889452934265,0.022118390308737988,0.4516889452934265,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,0.4307941496372223,0.3 0.3 0.3,0.6974360000000001,0.6974360000000001,0.884683,0.884683,0.0,segsweep_etth1_merge_n5
ETTh1,5,forecast/mse,dare,val-selected alpha,3,3,8.759,0.4516744514306386,0.022053773284340276,0.4516889452934265,-0.003208815034976222,0.10769146783382086,0.00036634490637929237,False,tie,0.20000000000000004,0.2 0.2 0.2,False,0.4308345814545949,0.3 0.3 0.3,1.0844073333333333,0.6974360000000001,0.884733,0.884683,5e-05,segsweep_etth1_merge_n5
ETTh1,5,forecast/mse,ties,val-selected alpha,3,3,8.759,0.5646335085233053,0.034278413814487145,0.4516889452934265,25.004942982721804,3.251556016377763,2.8547714331227083,False,worse,0.5,0.5 0.5 0.5,False,0.48702503244082135,1.5 1.5 1.5,0.8619196666666666,0.6974360000000001,0.491421,0.884683,-0.393262,segsweep_etth1_merge_n5
ETTh1,5,forecast/mse,iso_c,val-selected alpha,3,3,8.759,0.5211785535017649,0.05472865453802184,0.4516889452934265,15.384394267873102,10.069732929746724,1.7564098947223543,False,worse,0.7999999999999999,0.7 0.7 1,False,0.4419652819633484,2 2 2,1.4883506666666666,0.6974360000000001,0.642727,0.884683,-0.241956,segsweep_etth1_merge_n5
ETTh1,5,forecast/mse,tsv,val-selected alpha,3,3,8.759,0.47951754927635193,0.03146585300444265,0.4516889452934265,6.161010640817737,6.243567106356172,0.7033920128802074,False,tie,0.6333333333333333,0.5 0.7 0.7,False,0.4308655858039856,1 1.5 1,1.6713173333333333,0.6974360000000001,0.787786,0.884683,-0.096897,segsweep_etth1_merge_n5
ETTh2,2,forecast/mse,ta,val-selected alpha,3,3,6.741,0.2571328928073247,0.03888315127931777,0.2571328928073247,0.0,0.0,0.0,False,control,0.5,0.7 0.5 0.3,False,0.2510596017042796,0.7 0.5 0.5,2.262102,2.262102,0.814659,0.814659,0.0,etth2_merge_n2
ETTh2,2,forecast/mse,dare,val-selected alpha,3,3,6.741,0.2608216504255931,0.04097210004945765,0.2571328928073247,1.4345724415088483,1.3634956651792474,0.21281300126225314,False,tie,0.5,0.7 0.5 0.3,False,0.25880272189776105,0.7 0.5 0.5,3.9976413333333336,2.262102,0.809003,0.814659,-0.005656,etth2_merge_n2
ETTh2,2,forecast/mse,ties,val-selected alpha,3,3,6.741,0.6065160234769186,0.11896265525398206,0.2571328928073247,135.87648272264968,36.025719685224935,20.15672492547837,False,worse,1.0666666666666667,1.5 1 0.7,False,0.5854909320672353,1.5 1 1,3.777181666666666,2.262102,0.278983,0.814659,-0.535676,etth2_merge_n2
ETTh2,2,forecast/mse,iso_c,val-selected alpha,3,3,6.741,0.2973360518614451,0.05967510600675064,0.2571328928073247,15.635167720158435,8.10458827142775,2.3194136953209368,False,worse,2.5,3 3 1.5,True,0.2622324824333191,3 3 3,5.812392,2.262102,0.753019,0.814659,-0.06164,etth2_merge_n2
ETTh2,2,forecast/mse,tsv,val-selected alpha,3,3,6.741,0.305671622355779,0.05678583697970382,0.2571328928073247,18.876904085867153,7.377823768683014,2.8003121326015656,False,worse,0.7333333333333334,1 0.7 0.5,False,0.25829334060351056,1.5 1 0.7,3.2007743333333334,2.262102,0.740239,0.814659,-0.07442,etth2_merge_n2
ETTh2,3,forecast/mse,ta,val-selected alpha,3,3,6.741,0.1929452121257782,0.0014168606879607585,0.1929452121257782,0.0,0.0,0.0,False,control,0.3,0.3 0.3 0.3,False,0.1929452121257782,0.3 0.3 0.3,1.927367,1.927367,0.92693,0.92693,0.0,etth2_merge_n3
ETTh2,3,forecast/mse,dare,val-selected alpha,3,3,6.741,0.19606979191303253,0.0034906414589194273,0.1929452121257782,1.6194129684946341,1.9173776042571753,0.24023334349423442,False,tie,0.3,0.3 0.3 0.3,False,0.19606979191303253,0.3 0.3 0.3,3.1342913333333335,1.927367,0.922903,0.92693,-0.004027,etth2_merge_n3
ETTh2,3,forecast/mse,ties,val-selected alpha,3,3,6.741,0.42691702644030255,0.05216788322358236,0.1929452121257782,121.26334296494566,27.435551444461588,17.988924931752805,False,worse,1.0,1 1 1,False,0.36142075061798096,1.5 1.5 1.5,3.864373666666667,1.927367,0.625391,0.92693,-0.301539,etth2_merge_n3
ETTh2,3,forecast/mse,iso_c,val-selected alpha,3,3,6.741,0.25813432534535724,0.051619791698088384,0.1929452121257782,33.78633369615992,26.636155447015458,5.012065523833248,False,worse,2.1666666666666665,2 1.5 3,True,0.19474971294403076,3 2 3,6.780387999999999,1.927367,0.842915,0.92693,-0.084015,etth2_merge_n3
ETTh2,3,forecast/mse,tsv,val-selected alpha,3,3,6.741,0.22413381934165955,0.011541865562842644,0.1929452121257782,16.16448880605026,6.697942661032471,2.3979363308189083,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.20149445533752441,1 0.7 1,3.737776,1.927367,0.886734,0.92693,-0.040195,etth2_merge_n3
ETTh2,5,forecast/mse,ta,val-selected alpha,3,3,6.741,0.22342179715633392,0.014536142761364357,0.22342179715633392,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,0.22342179715633392,0.2 0.2 0.2,1.4139636666666666,1.4139636666666666,0.880021,0.880021,0.0,etth2_merge_n5
ETTh2,5,forecast/mse,dare,val-selected alpha,3,3,6.741,0.22369290391604105,0.013075835510896307,0.22342179715633392,0.12134302165577131,0.6584918880148519,0.018000744942259502,False,tie,0.20000000000000004,0.2 0.2 0.2,False,0.22369290391604105,0.2 0.2 0.2,2.1109006666666668,1.4139636666666666,0.879648,0.880021,-0.000373,etth2_merge_n5
ETTh2,5,forecast/mse,ties,val-selected alpha,3,3,6.741,0.2786033054192861,0.010900126546126527,0.22342179715633392,24.69835484509161,10.793663774575924,3.6639007335842773,False,worse,1.1666666666666667,1 1.5 1,False,0.2621139238278071,1.5 1.5 1,3.8267970000000004,1.4139636666666666,0.804074,0.880021,-0.075947,etth2_merge_n5
ETTh2,5,forecast/mse,iso_c,val-selected alpha,3,3,6.741,0.27647629380226135,0.048047556977928715,0.22342179715633392,23.746338683688883,18.018414713118556,3.522672998618734,False,worse,1.5,1.5 1.5 1.5,False,0.18710365891456604,3 3 2,5.066910333333333,1.4139636666666666,0.807001,0.880021,-0.07302,etth2_merge_n5
ETTh2,5,forecast/mse,tsv,val-selected alpha,3,3,6.741,0.2533196856578191,0.01821625983376378,0.22342179715633392,13.381813628759263,4.206455178930581,1.985137758308747,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.22200090686480203,1 1 0.7,3.5178696666666665,1.4139636666666666,0.838872,0.880021,-0.041149,etth2_merge_n5
ETTm2,2,forecast/mse,ta,val-selected alpha,3,3,14.107,0.14550816267728806,0.03501984031127852,0.14550816267728806,0.0,0.0,0.0,False,control,0.3666666666666667,0.3 0.3 0.5,False,0.11138429492712021,0.5 0.5 0.5,2.725078,2.725078,0.858403,0.858403,0.0,ettm2_merge_n2
ETTm2,2,forecast/mse,dare,val-selected alpha,3,3,14.107,0.17769141495227814,0.01503811172493202,0.14550816267728806,22.117832898740513,16.90497706888278,1.5678622597817051,False,worse,0.3,0.3 0.3 0.3,False,0.13537458578745523,0.5 0.5 0.5,3.8946123333333333,2.725078,0.793737,0.858403,-0.064666,ettm2_merge_n2
ETTm2,2,forecast/mse,ties,val-selected alpha,3,3,14.107,0.40658536553382874,0.0498575305083824,0.14550816267728806,179.42443781354368,45.10881043728372,12.718823124232204,False,worse,0.5666666666666667,0.7 0.5 0.5,False,0.3183028995990753,1 1 1.5,3.1162123333333334,2.725078,0.333823,0.858403,-0.52458,ettm2_merge_n2
ETTm2,2,forecast/mse,iso_c,val-selected alpha,3,3,14.107,0.25345905621846515,0.05262376531977505,0.14550816267728806,74.188891918451,13.038019227984242,5.259012682955342,False,worse,1.1666666666666667,1 1 1.5,False,0.1885038067897161,2 1.5 2,4.674759,2.725078,0.641498,0.858403,-0.216905,ettm2_merge_n2
ETTm2,2,forecast/mse,tsv,val-selected alpha,3,3,14.107,0.1411931961774826,0.009987432416678566,0.14550816267728806,-2.9654463505083903,22.27588859265436,0.21021098394473597,False,tie,0.6999999999999998,0.7 0.7 0.7,False,0.1411931961774826,0.7 0.7 0.7,4.849039666666666,2.725078,0.867073,0.858403,0.00867,ettm2_merge_n2
ETTm2,3,forecast/mse,ta,val-selected alpha,3,3,14.107,0.11442957570155461,0.02629487055068159,0.11442957570155461,0.0,0.0,0.0,False,control,0.26666666666666666,0.2 0.3 0.3,False,0.10072130461533864,0.3 0.3 0.3,2.8863616666666663,2.8863616666666663,0.9218,0.9218,0.0,ettm2_merge_n3
ETTm2,3,forecast/mse,dare,val-selected alpha,3,3,14.107,0.1246942604581515,0.028143199659795105,0.11442957570155461,8.970307452129651,4.967137317521178,0.6358763345948573,False,tie,0.26666666666666666,0.2 0.3 0.3,False,0.11262466758489609,0.3 0.3 0.3,4.770697,2.8863616666666663,0.901423,0.9218,-0.020377,ettm2_merge_n3
ETTm2,3,forecast/mse,ties,val-selected alpha,3,3,14.107,0.27789375682671863,0.04337098624724249,0.11442957570155461,142.85133902051447,53.859939300541214,10.126273411817856,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.21901163955529532,1 1 1.5,4.849286666666667,2.8863616666666663,0.597301,0.9218,-0.324499,ettm2_merge_n3
ETTm2,3,forecast/mse,iso_c,val-selected alpha,3,3,14.107,0.1844149132569631,0.005596612138727954,0.11442957570155461,61.160182694322174,27.317893172821137,4.335449258830522,False,worse,1.1666666666666667,1 1 1.5,False,0.17651614050070444,1.5 1 1.5,7.058331,2.8863616666666663,0.78287,0.9218,-0.138931,ettm2_merge_n3
ETTm2,3,forecast/mse,tsv,val-selected alpha,3,3,14.107,0.1419120579957962,0.009134711087158801,0.11442957570155461,24.016939786545255,29.740148302063094,1.7024838581232902,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.1419120579957962,0.7 0.7 0.7,6.435668666666667,2.8863616666666663,0.867244,0.9218,-0.054557,ettm2_merge_n3
ETTm2,5,forecast/mse,ta,val-selected alpha,3,3,14.107,0.1190199926495552,0.010024599858635377,0.1190199926495552,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,0.1190199926495552,0.2 0.2 0.2,2.3532973333333334,2.3532973333333334,0.911048,0.911048,0.0,ettm2_merge_n5
