dataset,n_segments,seed,rule,metric,alpha,value,oracle_alpha,oracle_value,distance,source_experiment,run
ETTh1,2,123,ta,forecast/mse,0.5,0.4488641321659088,0.5,0.4488641321659088,1.559898,segsweep_etth1_merge_n2,79870
ETTh1,2,123,dare,forecast/mse,0.5,0.4532996118068695,0.5,0.4532996118068695,2.594618,segsweep_etth1_merge_n2,79870
ETTh1,2,123,ties,forecast/mse,1.0,0.5988250970840454,1.5,0.5781098008155823,2.009555,segsweep_etth1_merge_n2,79870
ETTh1,2,123,iso_c,forecast/mse,2.0,0.4869174063205719,3.0,0.46773967146873474,3.481102,segsweep_etth1_merge_n2,79870
ETTh1,2,123,tsv,forecast/mse,1.0,0.44436579942703247,1.0,0.44436579942703247,2.696581,segsweep_etth1_merge_n2,79870
ETTh1,2,42,ta,forecast/mse,0.5,0.4757016599178314,0.5,0.4757016599178314,1.558074,segsweep_etth1_merge_n2,79871
ETTh1,2,42,dare,forecast/mse,0.5,0.47436031699180603,0.5,0.47436031699180603,2.653681,segsweep_etth1_merge_n2,79871
ETTh1,2,42,ties,forecast/mse,1.0,0.6094109416007996,1.5,0.5971179008483887,2.09619,segsweep_etth1_merge_n2,79871
ETTh1,2,42,iso_c,forecast/mse,2.0,0.5086328387260437,3.0,0.48187199234962463,3.46362,segsweep_etth1_merge_n2,79871
ETTh1,2,42,tsv,forecast/mse,1.0,0.480558842420578,1.0,0.480558842420578,2.790207,segsweep_etth1_merge_n2,79871
ETTh1,2,7,ta,forecast/mse,0.5,0.4545614719390869,0.5,0.4545614719390869,1.459626,segsweep_etth1_merge_n2,79872
ETTh1,2,7,dare,forecast/mse,0.5,0.45664486289024353,0.5,0.45664486289024353,2.442671,segsweep_etth1_merge_n2,79872
ETTh1,2,7,ties,forecast/mse,1.0,0.6419185996055603,1.5,0.6267261505126953,1.920581,segsweep_etth1_merge_n2,79872
ETTh1,2,7,iso_c,forecast/mse,2.0,0.48876243829727173,3.0,0.4702708125114441,3.266495,segsweep_etth1_merge_n2,79872
ETTh1,2,7,tsv,forecast/mse,1.0,0.445443332195282,1.0,0.445443332195282,2.551654,segsweep_etth1_merge_n2,79872
ETTh1,3,7,ta,forecast/mse,0.3,0.48598968982696533,0.5,0.45599639415740967,0.808664,selalpha_etth1_n3,84598
ETTh1,3,7,dare,forecast/mse,0.3,0.48485067486763,0.5,0.45630377531051636,1.322983,selalpha_etth1_n3,84598
ETTh1,3,7,ties,forecast/mse,0.5,0.6598585844039917,1.0,0.634888768196106,0.78878,selalpha_etth1_n3,84598
ETTh1,3,7,iso_c,forecast/mse,1.5,0.5263798832893372,3.0,0.49718865752220154,2.268692,selalpha_etth1_n3,84598
ETTh1,3,7,tsv,forecast/mse,0.7,0.49162212014198303,1.5,0.456970751285553,1.570821,selalpha_etth1_n3,84598
ETTh1,3,42,ta,forecast/mse,0.3,0.5070143938064575,0.5,0.48802945017814636,1.211453,selalpha_etth1_n3,84599
ETTh1,3,42,dare,forecast/mse,0.3,0.5054359436035156,0.5,0.4871414005756378,1.968393,selalpha_etth1_n3,84599
ETTh1,3,42,ties,forecast/mse,0.5,0.70465487241745,1.0,0.6756016612052917,1.196254,selalpha_etth1_n3,84599
ETTh1,3,42,iso_c,forecast/mse,1.5,0.5373753905296326,2.0,0.5151387453079224,3.359478,selalpha_etth1_n3,84599
ETTh1,3,42,tsv,forecast/mse,0.7,0.5095760226249695,1.0,0.4808098077774048,2.339404,selalpha_etth1_n3,84599
ETTh1,3,123,ta,forecast/mse,0.3,0.506168007850647,0.5,0.4963480830192566,1.033203,selalpha_etth1_n3,84600
ETTh1,3,123,dare,forecast/mse,0.3,0.5067633986473083,0.5,0.5015090107917786,1.688553,selalpha_etth1_n3,84600
ETTh1,3,123,ties,forecast/mse,0.7,0.653415322303772,1.5,0.6171650290489197,1.428085,selalpha_etth1_n3,84600
ETTh1,3,123,iso_c,forecast/mse,1.5,0.5524191856384277,2.0,0.536329448223114,2.814149,selalpha_etth1_n3,84600
ETTh1,3,123,tsv,forecast/mse,1.0,0.49159568548202515,1.0,0.49159568548202515,2.869713,selalpha_etth1_n3,84600
ETTh1,5,123,ta,forecast/mse,0.2,0.4410981237888336,0.3,0.4258037805557251,0.715513,segsweep_etth1_merge_n5,79873
ETTh1,5,123,dare,forecast/mse,0.2,0.4406112730503082,0.3,0.4264270067214966,1.07032,segsweep_etth1_merge_n5,79873
ETTh1,5,123,ties,forecast/mse,0.5,0.5596071481704712,1.5,0.47576770186424255,0.793056,segsweep_etth1_merge_n5,79873
ETTh1,5,123,iso_c,forecast/mse,0.7,0.5525050759315491,2.0,0.45555850863456726,1.295766,segsweep_etth1_merge_n5,79873
ETTh1,5,123,tsv,forecast/mse,0.5,0.5009092092514038,1.0,0.4295670688152313,1.2621,segsweep_etth1_merge_n5,79873
ETTh1,5,42,ta,forecast/mse,0.2,0.47711142897605896,0.3,0.4437052309513092,0.694634,segsweep_etth1_merge_n5,79917
ETTh1,5,42,dare,forecast/mse,0.2,0.4770699143409729,0.3,0.44340571761131287,1.084264,segsweep_etth1_merge_n5,79917
