experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
adfc2_psm_merge_n2,85135,sum,scale,merge_scale/selected,0.55,2,bitwise,73,0.0
adfc2_psm_merge_n2,85136,sum,scale,merge_scale/selected,0.55,2,bitwise,73,0.0
adfc2_psm_merge_n2,85137,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_psm_merge_n2_oldmask,84604,sum,scale,merge_scale/selected,0.6,2,bitwise,73,0.0
adfc2_psm_merge_n2_oldmask,84605,sum,scale,merge_scale/selected,0.55,2,bitwise,73,0.0
adfc2_psm_merge_n2_oldmask,84606,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_psm_merge_n3,85141,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_n3,85142,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_n3,85143,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_n3_oldmask,84610,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_n3_oldmask,84611,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_n3_oldmask,84612,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_n5,85147,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_n5,85148,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_n5,85149,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_n5_oldmask,84616,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_n5_oldmask,84617,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_n5_oldmask,84618,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_psm_merge_tf06,85165,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_psm_merge_tf06,85166,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf06,85167,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf06_oldmask,84634,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf06_oldmask,84635,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf06_oldmask,84636,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf08,85168,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_tf08,85169,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_tf08,85170,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_merge_tf08_oldmask,84637,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_tf08_oldmask,84638,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfc2_psm_merge_tf08_oldmask,84639,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_psm_window_W1,85156,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W1,85157,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W1,85158,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W1_oldmask,84625,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W1_oldmask,84626,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W1_oldmask,84627,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2,85159,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2,85160,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2,85161,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2_oldmask,84628,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2_oldmask,84629,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W2_oldmask,84630,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3,85162,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3,85163,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3,85164,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3_oldmask,84631,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3_oldmask,84632,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_psm_window_W3_oldmask,84633,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_merge_n2,85171,sum,scale,merge_scale/selected,0.55,2,bitwise,73,0.0
adfc2_swat_merge_n2,85172,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_swat_merge_n2,85173,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_swat_merge_n2_oldmask,84640,sum,scale,merge_scale/selected,0.55,2,bitwise,73,0.0
adfc2_swat_merge_n2_oldmask,84641,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_swat_merge_n2_oldmask,84642,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
adfc2_swat_merge_n3,85177,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_n3,85178,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_swat_merge_n3,85179,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_swat_merge_n3_oldmask,84646,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_n3_oldmask,84647,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfc2_swat_merge_n3_oldmask,84648,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
adfc2_swat_merge_n5,85183,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_swat_merge_n5,85184,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
adfc2_swat_merge_n5,85185,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
adfc2_swat_merge_n5_oldmask,84652,sum,scale,merge_scale/selected,0.2,5,bitwise,73,0.0
adfc2_swat_merge_n5_oldmask,84653,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
adfc2_swat_merge_n5_oldmask,84654,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
adfc2_swat_merge_tf06,85201,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf06,85202,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf06,85203,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf06_oldmask,84670,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf06_oldmask,84671,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf06_oldmask,84672,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf08,85204,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_tf08,85205,sum,scale,merge_scale/selected,0.2,3,bitwise,73,0.0
adfc2_swat_merge_tf08,85206,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_tf08_oldmask,84673,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_tf08_oldmask,84674,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_merge_tf08_oldmask,84675,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfc2_swat_window_W1,85192,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W1,85193,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W1,85194,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W1_oldmask,84661,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W1_oldmask,84662,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W1_oldmask,84663,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2,85195,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2,85196,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2,85197,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2_oldmask,84664,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2_oldmask,84665,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W2_oldmask,84666,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3,85198,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3,85199,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3,85200,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3_oldmask,84667,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3_oldmask,84668,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc2_swat_window_W3_oldmask,84669,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_psm_merge,84514,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_psm_merge,84515,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_psm_merge,84516,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_psm_window,84523,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_psm_window,84524,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_psm_window,84525,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_swat_merge,84526,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_swat_merge,84527,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_swat_merge,84528,sum,scale,config.json,1.0,3,bitwise,73,0.0
adfc_swat_window,84535,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_swat_window,84536,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfc_swat_window,84537,sum,scale,config.json,1.0,1,bitwise,73,0.0
adfcsel_psm_merge,84591,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfcsel_psm_merge,84592,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
adfcsel_psm_merge,84593,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfcsel_swat_merge,84594,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
adfcsel_swat_merge,84595,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
adfcsel_swat_merge,84596,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
basefrac_etth1_03,84470,sum,scale,config.json,1.0,3,bitwise,73,0.0
basefrac_etth1_03,84478_25,sum,scale,config.json,1.0,3,bitwise,73,0.0
basefrac_etth1_03,84478_26,sum,scale,config.json,1.0,3,bitwise,73,0.0
basefrac_etth1_07,84470,sum,scale,config.json,1.0,3,bitwise,73,0.0
basefrac_etth1_07,84478_27,sum,scale,config.json,1.0,3,bitwise,73,0.0
basefrac_etth1_07,84478_28,sum,scale,config.json,1.0,3,bitwise,73,0.0
