dataset,n_segments,metric,rule,setting,is_default,n_seeds,floor_pct,value,value_sd,ta_value,delta_pct,delta_paired_sd,margin_ratio,verdict,alpha_values,alpha_at_edge,source_experiment
ETTh1,3,forecast/mse,ties,0.1,False,3,8.759,0.7066864371299744,0.02501312647814125,0.49972403049468994,41.415340068879,4.196696632199022,4.7283183090397305,worse,1 0.7 0.7,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,ties,0.2,True,3,8.759,0.6726429263750712,0.027909719161757218,0.49972403049468994,34.60287785424373,5.044786483492846,3.950551187834653,worse,0.7 0.5 0.5,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,ties,0.5,False,3,8.759,0.6052758693695068,0.03422273634837471,0.49972403049468994,21.122025845010565,6.3405187489110615,2.411465446399197,worse,0.7 0.5 0.5,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,ties,1.0,False,3,8.759,0.6058655579884847,0.05107783653065325,0.49972403049468994,21.24002869918473,8.462817691364414,2.424937629773345,worse,0.7 0.5 0.7,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,dare,0.3,False,3,8.759,0.49944907426834106,0.011273345428961362,0.49972403049468994,-0.05502161384488366,0.1984444987558478,0.006281723238370095,tie,0.3 0.3 0.3,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,dare,0.5,False,3,8.759,0.49868956208229065,0.012251716974581519,0.49972403049468994,-0.20700793823647914,0.08025700468624848,0.02363374109333019,tie,0.3 0.3 0.3,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,dare,0.7,True,3,8.759,0.499016672372818,0.012286055030442722,0.49972403049468994,-0.14154975120402272,0.23000882415047166,0.016160492202765466,tie,0.3 0.3 0.3,False,selalpha_etth1_n3
ETTh1,3,forecast/mse,dare,0.9,False,3,8.759,0.5027954578399658,0.014904343727240015,0.49972403049468994,0.6146247044064286,0.6013901890086661,0.07017064783724496,tie,0.3 0.3 0.3,False,selalpha_etth1_n3
ETTh2,3,forecast/mse,ties,0.1,False,3,6.741,0.5106612245241801,0.05835802788338767,0.1929452121257782,164.66644022826924,30.27237482929065,24.42759831304988,worse,2 1.5 2,False,etth2_merge_n3
ETTh2,3,forecast/mse,ties,0.2,True,3,6.741,0.42691702644030255,0.05216788322358236,0.1929452121257782,121.26334296494566,27.435551444461588,17.988924931752805,worse,1 1 1,False,etth2_merge_n3
ETTh2,3,forecast/mse,ties,0.5,False,3,6.741,0.23790947099526724,0.013306412854629633,0.1929452121257782,23.304158923714308,6.610106398117479,3.4570774252654366,worse,0.7 0.7 0.7,False,etth2_merge_n3
ETTh2,3,forecast/mse,ties,1.0,False,3,6.741,0.2349442591269811,0.012596212678796015,0.1929452121257782,21.767343453863127,5.987598859528377,3.2290970855753045,worse,0.7 0.7 0.7,False,etth2_merge_n3
ETTh2,3,forecast/mse,dare,0.3,False,3,6.741,0.1921311914920807,0.0009702298120177497,0.1929452121257782,-0.42189211368813934,0.4846931959638474,0.06258598333899115,tie,0.3 0.3 0.3,False,etth2_merge_n3
ETTh2,3,forecast/mse,dare,0.5,False,3,6.741,0.19290106991926828,0.0015566750934001739,0.1929452121257782,-0.022878104112343367,0.6159122416487662,0.003393873922614355,tie,0.3 0.3 0.3,False,etth2_merge_n3
ETTh2,3,forecast/mse,dare,0.7,True,3,6.741,0.19606979191303253,0.0034906414589194273,0.1929452121257782,1.6194129684946341,1.9173776042571753,0.24023334349423442,tie,0.3 0.3 0.3,False,etth2_merge_n3
ETTh2,3,forecast/mse,dare,0.9,False,3,6.741,0.2333566943804423,0.049821034603965364,0.1929452121257782,20.944537472285365,26.103411439707116,3.1070371565473023,worse,0.3 0.3 0.2,False,etth2_merge_n3
ETTm2,3,forecast/mse,ties,0.1,False,3,14.107,0.32431772351264954,0.05420757464273418,0.11442957570155461,183.4212409897483,70.19586172753192,13.002143686804303,worse,1 0.7 1,False,ettm2_merge_n3
ETTm2,3,forecast/mse,ties,0.2,True,3,14.107,0.27789375682671863,0.04337098624724249,0.11442957570155461,142.85133902051447,53.859939300541214,10.126273411817856,worse,0.7 0.7 0.7,False,ettm2_merge_n3
ETTm2,3,forecast/mse,ties,0.5,False,3,14.107,0.19056869049866995,0.017173025543895243,0.11442957570155461,66.53796829212654,12.11030412432698,4.716663237550616,worse,0.5 0.5 0.7,False,ettm2_merge_n3
ETTm2,3,forecast/mse,ties,1.0,False,3,14.107,0.1655884583791097,0.012530921034465127,0.11442957570155461,44.7077447975367,29.568383685089355,3.169188686293096,worse,0.7 0.7 0.7,False,ettm2_merge_n3
ETTm2,3,forecast/mse,dare,0.3,False,3,14.107,0.11287703861792882,0.02587794126709669,0.11442957570155461,-1.3567620731855088,1.4762004932496624,0.09617651330442396,tie,0.2 0.3 0.3,False,ettm2_merge_n3
ETTm2,3,forecast/mse,dare,0.5,False,3,14.107,0.11577504873275757,0.027010755214935137,0.11442957570155461,1.1758088090024068,3.1105738895237676,0.08334931658059168,tie,0.2 0.3 0.3,False,ettm2_merge_n3
ETTm2,3,forecast/mse,dare,0.7,True,3,14.107,0.1246942604581515,0.028143199659795105,0.11442957570155461,8.970307452129651,4.967137317521178,0.6358763345948573,tie,0.2 0.3 0.3,False,ettm2_merge_n3
ETTm2,3,forecast/mse,dare,0.9,False,3,14.107,0.17931335667769113,0.02009101463833853,0.11442957570155461,56.70193267635705,37.016442662601,4.019418209141352,worse,0.2 0.2 0.2,False,ettm2_merge_n3
exchange,3,forecast/mse,ties,0.1,False,3,5.734,0.3395633598168691,0.0969788200473272,0.3418278098106384,-0.662453413320519,40.184687345383196,0.1155307661877431,tie,2 2 1.5,False,selalpha_exchange_n3
exchange,3,forecast/mse,ties,0.2,True,3,5.734,0.31261222064495087,0.08527370364030594,0.3418278098106384,-8.546873111895739,31.43197812716457,1.490560361335148,better,1.5 1.5 1,False,selalpha_exchange_n3
exchange,3,forecast/mse,ties,0.5,False,3,5.734,0.3052670359611511,0.06768600812740613,0.3418278098106384,-10.695669808065293,6.016114690549734,1.8653069075802744,better,1 1 1,False,selalpha_exchange_n3
exchange,3,forecast/mse,ties,1.0,False,3,5.734,0.31269649664560956,0.043312688773323685,0.3418278098106384,-8.522218593380883,3.5581053961784814,1.486260654583342,better,1 1 1,False,selalpha_exchange_n3
exchange,3,forecast/mse,dare,0.3,False,3,5.734,0.3403175473213196,0.055301863782294014,0.3418278098106384,-0.4418196665027004,0.6629589807637953,0.07705261013301366,tie,0.5 0.5 0.5,False,selalpha_exchange_n3
exchange,3,forecast/mse,dare,0.5,False,3,5.734,0.339493195215861,0.05669680267419472,0.3418278098106384,-0.6829797131107348,1.2214370990165095,0.1191105185055345,tie,0.5 0.5 0.5,False,selalpha_exchange_n3
exchange,3,forecast/mse,dare,0.7,True,3,5.734,0.34160049756368,0.057001547004490345,0.3418278098106384,-0.06649905023361231,2.5228928158505255,0.011597323026440934,tie,0.5 0.5 0.5,False,selalpha_exchange_n3
exchange,3,forecast/mse,dare,0.9,False,3,5.734,0.3507909874121348,0.06695298632627338,0.3418278098106384,2.6221323556037492,5.230436502522036,0.4572954927805632,tie,0.5 0.5 0.5,False,selalpha_exchange_n3
PSM-forecast,3,forecast/mse,ties,0.1,False,3,1.157,0.4593834380308787,0.0040914722395867615,0.39513994256655377,16.258415954368967,1.8830132221002445,14.052217765228148,worse,1 1 1,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,ties,0.2,True,3,1.157,0.431921790043513,0.0028555138547491812,0.39513994256655377,9.308562236976089,2.244913350659136,8.045429764024277,worse,1 1 1,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,ties,0.5,False,3,1.157,0.41341397166252136,0.00888482632626575,0.39513994256655377,4.62469801895304,0.9427465416481572,3.9971460837969226,worse,0.7 0.7 0.7,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,ties,1.0,False,3,1.157,0.4133983850479126,0.016695439405118605,0.39513994256655377,4.620753438076826,2.651137507323378,3.9937367658399534,worse,1 1 0.7,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,dare,0.3,False,3,1.157,0.39664751291275024,0.006431080703912073,0.39513994256655377,0.3815282090705251,0.15071998655886776,0.32975644690624467,tie,0.3 0.3 0.3,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,dare,0.5,False,3,1.157,0.3985761801401774,0.0073107524005386415,0.39513994256655377,0.8696254677024682,0.12742776875508438,0.7516209746780191,tie,0.3 0.3 0.3,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,dare,0.7,True,3,1.157,0.40411463379859924,0.003919621135926564,0.39513994256655377,2.2712690531238455,0.9194057803790041,1.9630674616455017,worse,0.3 0.3 0.3,False,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,dare,0.9,False,3,1.157,0.42508936921755475,0.008767811863926889,0.39513994256655377,7.579448044778862,3.7017088340565696,6.55094904475269,worse,0.2 0.2 0.3,False,adfc2_psm_merge_n3
