dataset,n,metric,floor_pct,base,specialists,joint,merge,sequential,window_W1,window_W2,window_W3,window_best,window_W,routing_headroom_pct,best,runner_up,margin_pct,margin_abs,sd_best,sd_runner_up,threshold,ratio,decisive,boundary
ETTh1,2,forecast/mse,8.759,0.728958,0.499926,0.41857,0.459709,0.40781,0.489864,0.430049,0.391297,0.391297,3,5.6,window_best,sequential,4.05,0.016513,0.009598,0.007839,0.012392,1.333,True,True
ETTh1,3,forecast/mse,8.759,0.707287,0.574744,0.41857,0.625624,0.414003,0.489864,0.430049,0.391297,0.391297,3,,window_best,sequential,5.48,0.022706,0.009598,0.020059,0.022237,1.021,True,True
ETTh1,5,forecast/mse,8.759,0.705769,0.525833,0.41857,0.451689,0.441027,0.489864,0.430049,0.391297,0.391297,3,6.1,window_best,joint,6.52,0.027273,0.009598,0.008797,0.01302,2.095,True,False
ETTh2,2,forecast/mse,6.741,0.788477,0.403194,0.136248,0.261224,0.233216,0.447546,0.364381,0.295173,0.295173,3,22.6,joint,sequential,41.58,0.096968,0.013006,0.028506,0.031333,3.095,True,False
ETTh2,3,forecast/mse,6.741,0.912174,0.29701,0.136248,0.215281,0.196985,0.447546,0.364381,0.295173,0.295173,3,108.3,joint,sequential,30.83,0.060736,0.013006,0.010023,0.01642,3.699,True,False
ETTh2,5,forecast/mse,6.741,0.862824,0.332331,0.136248,0.26692,0.249455,0.447546,0.364381,0.295173,0.295173,3,81.0,joint,sequential,45.38,0.113207,0.013006,0.039164,0.041267,2.743,True,False
ETTm2,2,forecast/mse,14.107,0.572725,0.141174,0.075037,0.123973,0.095237,0.158911,0.145851,0.109166,0.109166,3,42.4,joint,sequential,21.21,0.0202,0.004033,0.009936,0.010723,1.884,True,False
ETTm2,3,forecast/mse,14.107,0.57878,0.153148,0.075037,0.112149,0.091969,0.158911,0.145851,0.109166,0.109166,3,65.3,joint,sequential,18.41,0.016933,0.004033,0.010229,0.010995,1.54,True,False
ETTm2,5,forecast/mse,14.107,0.569494,0.201843,0.075037,0.138523,0.183852,0.158911,0.145851,0.109166,0.109166,3,66.0,joint,window_best,31.26,0.034129,0.004033,0.007409,0.008436,4.046,True,False
exchange,2,forecast/mse,5.734,0.747419,0.446237,0.395655,0.255416,0.219856,0.590781,0.394855,0.205271,0.205271,3,15.9,window_best,sequential,6.63,0.014586,0.004176,0.005293,0.006742,2.163,True,False
exchange,3,forecast/mse,5.734,0.70812,0.536613,0.395655,0.331003,0.358589,0.590781,0.394855,0.205271,0.205271,3,,window_best,merge,37.99,0.125732,0.004176,0.026435,0.026763,4.698,True,False
exchange,5,forecast/mse,5.734,0.701322,0.580996,0.395655,0.327055,0.531076,0.590781,0.394855,0.205271,0.205271,3,106.9,window_best,merge,37.24,0.121784,0.004176,0.028188,0.028496,4.274,True,False
SWaT,2,window_auroc,0.087,0.799784,0.800542,0.80784,0.8044,0.802682,0.801625,0.802266,0.802318,0.802318,3,,joint,merge,0.43,0.00344,0.001219,0.000985,0.001567,2.195,True,False
SWaT,3,window_auroc,0.087,0.799224,0.799732,0.80784,0.803736,0.80369,0.801625,0.802266,0.802318,0.802318,3,,joint,merge,0.51,0.004104,0.001219,0.001344,0.001814,2.262,True,False
SWaT,5,window_auroc,0.087,0.799036,0.799356,0.80784,0.804853,0.803422,0.801625,0.802266,0.802318,0.802318,3,,joint,merge,0.37,0.002987,0.001219,0.001889,0.002248,1.329,True,True
PSM,2,window_auroc,0.068,0.772975,0.794685,0.799845,0.804109,0.803046,0.788414,0.792948,0.798699,0.798699,3,,tie,sequential,0.13,0.001063,0.000691,0.001464,0.001619,0.656,False,False
PSM,3,window_auroc,0.068,0.774187,0.789593,0.799845,0.80046,0.796863,0.788414,0.792948,0.798699,0.798699,3,,tie,joint,0.08,0.000614,0.002054,0.001081,0.002321,0.265,False,False
PSM,5,window_auroc,0.068,0.775714,0.783478,0.799845,0.794416,0.795251,0.788414,0.792948,0.798699,0.798699,3,,tie,window_best,0.14,0.001147,0.001081,0.00422,0.004356,0.263,False,False
