dataset,n,metric,floor_pct,base,specialists,joint,merge,sequential,window_W1,window_W2,window_W3,window_best,window_W,routing_headroom_pct,best,runner_up,margin_pct,margin_abs,sd_best,sd_runner_up,threshold,ratio,decisive,boundary
ETTh1,2,forecast/mse,8.759,0.728958,0.499926,0.41857,0.459709,0.40781,0.489864,0.430049,0.391297,0.391297,3,5.6,window_best,sequential,4.05,0.016513,0.009598,0.007839,0.012392,1.333,True,True
ETTh1,2,forecast/mae,5.059,0.622366,0.5147,0.457119,0.481175,0.450362,0.504959,0.466082,0.440246,0.440246,3,,window_best,sequential,2.25,0.010116,0.005904,0.003988,0.007125,1.42,True,True
ETTh1,3,forecast/mse,8.759,0.758902,0.568531,0.41857,0.496383,0.414003,0.489864,0.430049,0.391297,0.391297,3,,window_best,sequential,5.48,0.022706,0.009598,0.020059,0.022237,1.021,True,True
ETTh1,3,forecast/mae,5.059,0.62505,0.553316,0.457119,0.494851,0.459578,0.504959,0.466082,0.440246,0.440246,3,,window_best,joint,3.69,0.016873,0.005904,0.001321,0.00605,2.789,True,False
ETTh1,5,forecast/mse,8.759,0.705769,0.525833,0.41857,0.451689,0.441027,0.489864,0.430049,0.391297,0.391297,3,6.1,window_best,joint,6.52,0.027273,0.009598,0.008797,0.01302,2.095,True,False
ETTh1,5,forecast/mae,5.059,0.599922,0.527348,0.457119,0.476261,0.481978,0.504959,0.466082,0.440246,0.440246,3,,window_best,joint,3.69,0.016873,0.005904,0.001321,0.00605,2.789,True,False
ETTh2,2,forecast/mse,6.741,0.788477,0.403194,0.136248,0.261224,0.233216,0.447546,0.364381,0.295173,0.295173,3,22.6,joint,sequential,41.58,0.096968,0.013006,0.028506,0.031333,3.095,True,False
ETTh2,2,forecast/mae,4.222,0.645699,0.470722,0.268997,0.394711,0.378138,0.533217,0.492359,0.427596,0.427596,3,,joint,sequential,28.86,0.10914,0.022053,0.023232,0.032032,3.407,True,False
ETTh2,3,forecast/mse,6.741,0.912174,0.29701,0.136248,0.215281,0.196985,0.447546,0.364381,0.295173,0.295173,3,108.3,joint,sequential,30.83,0.060736,0.013006,0.010023,0.01642,3.699,True,False
ETTh2,3,forecast/mae,4.222,0.708471,0.413621,0.268997,0.362542,0.33775,0.533217,0.492359,0.427596,0.427596,3,,joint,sequential,20.36,0.068753,0.022053,0.014042,0.026144,2.63,True,False
ETTh2,5,forecast/mse,6.741,0.862824,0.332331,0.136248,0.26692,0.249455,0.447546,0.364381,0.295173,0.295173,3,81.0,joint,sequential,45.38,0.113207,0.013006,0.039164,0.041267,2.743,True,False
ETTh2,5,forecast/mae,4.222,0.681731,0.449468,0.268997,0.394683,0.394596,0.533217,0.492359,0.427596,0.427596,3,,joint,sequential,31.83,0.125598,0.022053,0.02905,0.036472,3.444,True,False
ETTm2,2,forecast/mse,14.107,0.572725,0.141174,0.075037,0.123973,0.095237,0.158911,0.145851,0.109166,0.109166,3,42.4,joint,sequential,21.21,0.0202,0.004033,0.009936,0.010723,1.884,True,False
ETTm2,2,forecast/mae,9.721,0.553744,0.272708,0.193952,0.270921,0.229444,0.317898,0.297449,0.25533,0.25533,3,,joint,sequential,15.47,0.035492,0.007193,0.01434,0.016043,2.212,True,False
ETTm2,3,forecast/mse,14.107,0.57878,0.153148,0.075037,0.112149,0.091969,0.158911,0.145851,0.109166,0.109166,3,65.3,joint,sequential,18.41,0.016933,0.004033,0.010229,0.010995,1.54,True,False
ETTm2,3,forecast/mae,9.721,0.557494,0.282551,0.193952,0.258579,0.226527,0.317898,0.297449,0.25533,0.25533,3,,joint,sequential,14.38,0.032575,0.007193,0.014509,0.016194,2.012,True,False
ETTm2,5,forecast/mse,14.107,0.569494,0.201843,0.075037,0.138523,0.183852,0.158911,0.145851,0.109166,0.109166,3,66.0,joint,window_best,31.26,0.034129,0.004033,0.007409,0.008436,4.046,True,False
ETTm2,5,forecast/mae,9.721,0.557194,0.332335,0.193952,0.296712,0.331091,0.317898,0.297449,0.25533,0.25533,3,,joint,window_best,24.04,0.061378,0.007193,0.008248,0.010944,5.608,True,False
exchange,2,forecast/mse,5.734,0.747419,0.446237,0.395655,0.255416,0.219856,0.590781,0.394855,0.205271,0.205271,3,15.9,window_best,sequential,6.63,0.014586,0.004176,0.005293,0.006742,2.163,True,False
exchange,2,forecast/mae,2.958,0.695407,0.531373,0.507684,0.424555,0.394447,0.601834,0.494284,0.391698,0.391698,3,,tie,sequential,0.7,0.002749,0.002123,0.005279,0.00569,0.483,False,False
exchange,3,forecast/mse,5.734,0.710927,0.55521,0.395655,0.362579,0.358589,0.590781,0.394855,0.205271,0.205271,3,,window_best,sequential,42.76,0.153318,0.004176,0.023851,0.024214,6.332,True,False
exchange,3,forecast/mae,2.958,0.678178,0.600176,0.507684,0.502233,0.467416,0.601834,0.494284,0.391698,0.391698,3,,window_best,sequential,16.2,0.075718,0.002123,0.014298,0.014455,5.238,True,False
exchange,5,forecast/mse,5.734,0.701322,0.580996,0.395655,0.327055,0.531076,0.590781,0.394855,0.205271,0.205271,3,106.9,window_best,merge,37.24,0.121784,0.004176,0.028188,0.028496,4.274,True,False
exchange,5,forecast/mae,2.958,0.677842,0.618521,0.507684,0.494967,0.546506,0.601834,0.494284,0.391698,0.391698,3,,window_best,merge,20.86,0.103269,0.002123,0.021174,0.02128,4.853,True,False
SWaT,2,window_auroc,0.087,0.799784,0.800542,0.80784,0.8044,0.802682,0.801625,0.802266,0.802318,0.802318,3,,joint,merge,0.43,0.00344,0.001219,0.000985,0.001567,2.195,True,False
