dataset,n,metric,n_seeds,oracle_router,oracle_sd,best_single,oracle_vs_best_single_pct
ETTh1,2,forecast/mae,3,0.451027,0.010507,0.45302,0.44
ETTh1,2,forecast/mse,3,0.405709,0.015147,0.416247,2.53
ETTh1,3,forecast/mae,3,0.46474,0.019137,0.479522,3.08
ETTh1,3,forecast/mse,3,0.423009,0.02849,0.453579,6.74
ETTh1,5,forecast/mae,3,0.433794,0.003603,0.467173,7.14
ETTh1,5,forecast/mse,3,0.362585,0.004176,0.426411,14.97
ETTh2,2,forecast/mae,3,0.374761,0.03979,0.425182,11.86
ETTh2,2,forecast/mse,3,0.23535,0.038742,0.290187,18.9
ETTh2,3,forecast/mae,3,0.305306,0.007894,0.316784,3.62
ETTh2,3,forecast/mse,3,0.163928,0.008579,0.177137,7.46
ETTh2,5,forecast/mae,3,0.306795,0.005033,0.340184,9.81
ETTh2,5,forecast/mse,3,0.167237,0.00491,0.215975,22.57
ETTm2,2,forecast/mae,3,0.214674,0.000914,0.262961,18.36
ETTm2,2,forecast/mse,3,0.08491,0.001121,0.115033,26.19
ETTm2,3,forecast/mae,3,0.205227,0.001741,0.230707,11.04
ETTm2,3,forecast/mse,3,0.077893,0.00076,0.098921,21.26
ETTm2,5,forecast/mae,3,0.219786,0.001496,0.277034,20.66
ETTm2,5,forecast/mse,3,0.083209,0.001605,0.133381,37.62
exchange,2,forecast/mae,3,0.385862,0.006519,0.393637,1.98
exchange,2,forecast/mse,3,0.22224,0.004165,0.226032,1.68
exchange,3,forecast/mae,3,0.40944,0.015825,0.535279,23.51
exchange,3,forecast/mse,3,0.266898,0.021523,0.465732,42.69
exchange,5,forecast/mae,3,0.420337,0.003365,0.470792,10.72
exchange,5,forecast/mse,3,0.258131,0.009182,0.311157,17.04
