dataset,n,rho,winner,merged,continual,margin_pct,decisive
ETTh1,2,0.0944,sequential,0.459709,0.40781,12.726,True
ETTh1,3,0.0697,sequential,0.625624,0.414003,51.116,True
ETTh1,5,0.0707,sequential,0.451689,0.441027,2.418,False
ETTh2,2,0.0199,sequential,0.261224,0.233216,12.009,True
ETTh2,3,0.0713,sequential,0.215281,0.196985,9.288,True
ETTh2,5,0.1262,sequential,0.26692,0.249455,7.001,True
ETTm2,2,0.0322,sequential,0.123973,0.095237,30.173,True
ETTm2,3,0.0498,sequential,0.112149,0.091969,21.942,True
ETTm2,5,0.0975,merge,0.138523,0.183852,24.655,True
exchange,2,0.0343,sequential,0.255416,0.219856,16.174,True
exchange,3,0.128,merge,0.331003,0.358589,7.693,True
exchange,5,0.1362,merge,0.327055,0.531076,38.417,True
SWaT,2,0.5923,merge,0.8044,0.802682,0.214,True
SWaT,3,0.6007,merge,0.803736,0.80369,0.006,False
SWaT,5,0.6102,merge,0.804853,0.803422,0.178,True
PSM,2,0.1462,merge,0.804109,0.803046,0.132,True
PSM,3,0.2155,merge,0.80046,0.796863,0.451,True
PSM,5,0.2142,sequential,0.794416,0.795251,0.105,True
