dataset,n,n_seeds,n_steps,preq_rank_merge,preq_rank_chain,preq_rank_specialist,preq_mse_merge,preq_mse_chain,preq_mse_specialist,preq_mse_base,final_mse_merge,final_mse_chain,final_mse_specialist,preq_order,final_order,pairs_agree,pairs_disagree,chain_better_prequentially,floor_pct,preq_decisive_pairs,final_decisive_pairs,merge_alphas
ETTh1,2,3,1,1.0,2.6667,2.3333,0.4611309766769409,0.4947957992553711,0.49261348446210224,0.5789855321248373,0.4597090979417165,0.40781018137931824,0.4162467320760091,merge < specialist < chain,chain < specialist < merge,0,3,0,8.759,0,2,0.5 0.7 0.7
ETTh1,3,3,2,1.6667,2.1667,2.1667,0.4241164873043696,0.4382322480281194,0.4407828251520793,0.43510232865810394,0.49638325969378155,0.41400274634361267,0.45286179582277936,merge < chain < specialist,chain < specialist < merge,1,2,0,8.759,0,3,0.5 0.5 0.5 0.3 0.5 0.5
ETTh1,5,3,4,1.5833,2.6667,1.75,0.43949198226133984,0.498116634786129,0.44527784238259,0.48884769280751544,0.451688955227534,0.44102699557940167,0.46443988879521686,merge < specialist < chain,chain < merge < specialist,1,2,0,8.759,2,0,0.3 0.2 0.2 0.2 0.3 0.2 0.2 0.2 0.7 0.3 0.3 0.3
ETTh2,2,3,1,1.3333,2.3333,2.3333,0.942923883597056,2.0732237696647644,1.486199935277303,1.0516592860221863,0.2612236787875493,0.23321597774823508,0.29018693168958026,merge < specialist < chain,chain < merge < specialist,1,2,0,6.741,3,3,1 0.7 0.5
ETTh2,3,3,2,1.8333,2.0,2.1667,0.668474038441976,0.8079137106736501,0.7238320807615916,1.0296181937058766,0.2152812679608663,0.1969845394293467,0.36010150114695233,merge < chain < specialist,chain < merge < specialist,2,1,0,6.741,3,3,0.5 0.3 0.5 0.3 0.3 0.3
ETTh2,5,3,4,2.75,1.5833,1.6667,0.454482089728117,0.27269657763342064,0.26632774124542874,0.8252432396014532,0.26692025860150653,0.24945528308550516,0.36907678842544556,chain < specialist < merge,chain < merge < specialist,2,1,0,6.741,2,3,0.5 0.3 0.3 0.2 0.5 0.2 0.3 0.2 0.5 0.3 0.2 0.2
ETTm2,2,3,1,1.0,2.6667,2.3333,0.7843320369720459,1.03784841299057,1.038634181022644,0.5297424594561259,0.12397287786006927,0.09523722032705943,0.11503239969412486,merge < specialist < chain,chain < specialist < merge,0,3,0,14.107,2,2,1 0.7 0.7
ETTm2,3,3,2,2.0,1.8333,2.1667,0.41187310218811035,0.32584527879953384,0.3490014250079791,0.5473087280988693,0.11214947948853175,0.09196929633617401,0.1800969342390696,chain < merge < specialist,chain < merge < specialist,3,0,0,14.107,2,3,1 0.5 0.7 0.5 0.7 0.5
ETTm2,5,3,4,2.5,2.0833,1.4167,0.2199338755259911,0.23280150505403677,0.19496181545158228,0.441999410589536,0.13852338989575705,0.18385240932305655,0.1572006791830063,specialist < chain < merge,merge < specialist < chain,1,2,1,14.107,1,2,0.7 0.5 0.3 0.2 0.5 0.3 0.3 0.2 0.5 0.3 0.3 0.2
PSM-forecast,2,3,1,1.3333,2.3333,2.3333,0.20948082705338797,0.22995021442572275,0.22873374819755554,0.2579246362050374,0.36295804381370544,0.4426779846350352,0.46752549211184186,merge < specialist < chain,merge < chain < specialist,2,1,0,1.157,2,3,0.7 1 1
