seed,fisher_batches,fisher_seed,max_dev_from_uniform_pct,weight_newest,test_mse
7,1024,0,21.7,0.2611,0.393488
7,256,0,21.7,0.2611,0.393488
7,256,1,22.3,0.259,0.39329
7,64,0,24.1,0.253,0.394337
7,64,1,22.7,0.2576,0.393413
7,100000,0,21.7,0.2611,0.393488
42,1024,0,136.9,0.7896,0.394781
42,256,0,136.9,0.7896,0.394781
42,256,1,136.5,0.7883,0.394628
42,64,0,137.8,0.7928,0.395116
42,64,1,133.1,0.7769,0.393963
42,100000,0,136.9,0.7896,0.394781
123,1024,0,44.2,0.3608,0.376993
123,256,0,44.2,0.3608,0.376993
123,256,1,45.9,0.3725,0.376452
123,64,0,44.3,0.3527,0.377635
123,64,1,46.4,0.3715,0.376615
123,100000,0,44.2,0.3608,0.376993
