test,dataset,n_segments,metric,n_seeds,floor_pct,baseline_label,baseline,baseline_sd,variant_label,variant,variant_sd,delta_pct,verdict,committed_alpha,target_alpha_times_n,implied_alpha_times_n,threshold,opcm_norm_ratio,distance_ratio,confounded,alpha_n_ok,n_seeds_expected,complete,source_experiment,base,joint,joint_from,grr_baseline,grr_baseline_sd,grr_baseline_derived,grr_variant,grr_variant_sd,grr_delta,grr_delta_paired_sd,baseline_matched_seed,delta_pct_matched_seed,verdict_matched_seed,matched_seed_n,verdict_changed
P1_paper_opcm,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,paper OPCM alpha=0.3,0.501316,0.019423,9.051,worse,0.5,,1.213713,0.3,1.0,,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.733411,0.062577,-0.134048,0.033264,,,,,
P1_paper_opcm,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,paper OPCM alpha=0.5,0.533921,0.018758,16.143,worse,0.5,,1.213713,0.5,1.0,,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.628365,0.060434,-0.239094,0.041696,,,,,
P1_paper_opcm,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,paper OPCM alpha=0.7,0.556947,0.025092,21.152,worse,0.5,,1.213713,0.7,1.0,,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.554181,0.080841,-0.313278,0.06635,,,,,
P1_paper_opcm,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,simplified OPCM (1.35),0.455843,0.015598,-0.841,tie (inside floor),0.5,,,,,,,,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.879915,0.050253,0.012456,0.006768,,,,,
P4_opcm_committed,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at committed alpha, thr=0.3",0.526695,0.019218,14.571,worse,0.5,1.0,1.0,0.3,0.675602,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.651646,0.061916,-0.215813,0.049067,,,,,
P4_opcm_committed,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at committed alpha, thr=0.5",0.558477,0.021545,21.485,worse,0.5,1.0,1.0,0.5,0.654572,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.549251,0.069413,-0.318208,0.066239,,,,,
P4_opcm_committed,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at committed alpha, thr=0.7",0.578575,0.027995,25.857,worse,0.5,1.0,1.0,0.7,0.640823,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.4845,0.090194,-0.382959,0.088654,,,,,
P5_opcm_distance,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at matched distance, thr=0.3",0.510181,0.021066,10.979,worse,0.5,1.0,1.0,0.3,,1.0,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.70485,0.06787,-0.162609,0.041708,,,,,
P5_opcm_distance,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at matched distance, thr=0.5",0.541211,0.021877,17.729,worse,0.5,1.0,1.0,0.5,,1.0,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.604878,0.070483,-0.262581,0.05349,,,,,
P5_opcm_distance,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,"paper projection at matched distance, thr=0.7",0.562082,0.028174,22.269,worse,0.5,1.0,1.0,0.7,,1.0,,1,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.867459,0.045556,0.8675,0.537637,0.09077,-0.329822,0.07775,,,,,
P3_order_reversal,ETTh1,2,forecast/mse,3,8.759,OPCM forward (opcm_t050),0.455843,0.015598,OPCM reversed (opcm_t050_rev),0.509143,0.031063,11.693,worse,,,,,,,,,3,1,segsweep_etth1_merge_n2,0.728958,0.41857,"('noisefloor_std_etth', 0)",0.879915,0.050253,,0.708194,0.100078,-0.171721,0.050076,,,,,
P1_paper_opcm,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,paper OPCM alpha=0.3,0.571838,0.006357,15.201,worse,0.316667,,1.381261,0.3,1.0,,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.547643,0.018611,-0.2209,0.016955,,,,,
P1_paper_opcm,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,paper OPCM alpha=0.5,0.653745,0.019155,31.702,worse,0.316667,,1.381261,0.5,1.0,,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.307855,0.056078,-0.460688,0.028518,,,,,
P1_paper_opcm,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,paper OPCM alpha=0.7,0.690613,0.035525,39.129,worse,0.316667,,1.381261,0.7,1.0,,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.199921,0.104002,-0.568622,0.07439,,,,,
P1_paper_opcm,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,simplified OPCM (1.35),0.491435,0.009329,-0.997,tie (inside floor),0.316667,,,,,,,,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.783029,0.027311,0.014486,0.011866,,,,,
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.3",0.628659,0.011586,26.648,worse,0.316667,0.95,0.95,0.3,0.470098,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.381296,0.033919,-0.387247,0.01262,,,,,
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.5",0.682158,0.016083,37.426,worse,0.316667,0.95,0.95,0.5,0.416768,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.224674,0.047084,-0.543869,0.016319,,,,,
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.7",0.700097,0.022305,41.04,worse,0.316667,0.95,0.95,0.7,0.380512,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.172156,0.065299,-0.596387,0.035374,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.3",0.595472,0.010951,19.962,worse,0.316667,0.95,0.95,0.3,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.478453,0.03206,-0.29009,0.023884,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.5",0.657854,0.017743,32.53,worse,0.316667,0.95,0.95,0.5,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.295825,0.051944,-0.472718,0.027478,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.7",0.68201,0.027163,37.396,worse,0.316667,0.95,0.95,0.7,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.225107,0.079522,-0.543436,0.049758,,,,,
P3_order_reversal,ETTh1,3,forecast/mse,3,8.759,OPCM forward (opcm_t050),0.491435,0.009329,OPCM reversed (opcm_t050_rev),0.560991,0.026474,14.154,worse,,,,,,,,,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.783029,0.027311,,0.579399,0.077505,-0.20363,0.05439,,,,,
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,paper OPCM alpha=0.3,0.495481,0.042495,9.695,worse,0.2,,1.579513,0.3,1.0,,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.732203,0.147964,-0.15248,0.085109,,,,,
