test,dataset,n_segments,metric,n_seeds,floor_pct,baseline_label,baseline,baseline_sd,variant_label,variant,variant_sd,delta_pct,verdict,committed_alpha,target_alpha_times_n,implied_alpha_times_n,threshold,opcm_norm_ratio,distance_ratio,confounded,alpha_n_ok,n_seeds_expected,complete,source_experiment
P1_paper_opcm,ETTh1,2,forecast/mse,3,8.759,plain sum at committed alpha,0.459709,0.01414,simplified OPCM (1.35),0.455843,0.015598,-0.841,tie (inside floor),0.5,,,,,,,,3,1,segsweep_etth1_merge_n2
P1_paper_opcm,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,simplified OPCM (1.35),0.491435,0.009329,-0.997,tie (inside floor),0.316667,,,,,,,,3,1,selalpha_etth1_n3
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,simplified OPCM (1.35),0.461242,0.021127,2.115,tie (inside floor),0.2,,,,,,,,3,1,segsweep_etth1_merge_n5
P1_paper_opcm,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,simplified OPCM (1.35),0.291946,0.073943,11.761,worse,0.483333,,,,,,,,3,1,etth2_merge_n2
P1_paper_opcm,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,simplified OPCM (1.35),0.264626,0.061627,22.921,worse,0.266667,,,,,,,,3,1,etth2_merge_n3
P1_paper_opcm,ETTh2,5,forecast/mse,3,6.741,plain sum at committed alpha,0.26692,0.030245,simplified OPCM (1.35),0.440017,0.14225,64.85,worse,0.15,,,,,,,,3,1,etth2_merge_n5
P1_paper_opcm,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,simplified OPCM (1.35),0.126923,0.007468,2.38,tie (inside floor),0.383333,,,,,,,,3,1,ettm2_merge_n2
P1_paper_opcm,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,simplified OPCM (1.35),0.118573,0.018187,5.728,tie (inside floor),0.266667,,,,,,,,3,1,ettm2_merge_n3
P1_paper_opcm,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,simplified OPCM (1.35),0.154607,0.005676,11.611,tie (inside floor),0.15,,,,,,,,3,1,ettm2_merge_n5
P1_paper_opcm,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,simplified OPCM (1.35),0.227614,0.013079,-10.885,better,0.7,,,,,,,,3,1,segsweep_exchange_merge_n2
