dataset,n_segments,metric,rule,coefficient_source,threshold,n_seeds,floor_pct,rho,plain,plain_sd,remerged,remerged_sd,delta_pct,verdict,implied_alpha_times_n,committed_alpha,source_experiment,plain_matched_seed,delta_pct_matched_seed,verdict_matched_seed,verdict_changed
ETTh1,2,forecast/mse,opcm,scale,0.3,3,8.759,0.0944,0.459709,0.01414,0.455843,0.015598,-0.841,tie (inside floor),,0.5,segsweep_etth1_merge_n2,,,,
ETTh1,2,forecast/mse,opcm,scale,0.5,3,8.759,0.0944,0.459709,0.01414,0.455843,0.015598,-0.841,tie (inside floor),,0.5,segsweep_etth1_merge_n2,,,,
ETTh1,2,forecast/mse,opcm,scale,0.7,3,8.759,0.0944,0.459709,0.01414,0.455843,0.015598,-0.841,tie (inside floor),,0.5,segsweep_etth1_merge_n2,,,,
ETTh1,3,forecast/mse,opcm,scale,0.3,3,8.759,0.0679,0.496383,0.010514,0.491435,0.009329,-0.997,tie (inside floor),,0.3,selalpha_etth1_n3,,,,
ETTh1,3,forecast/mse,opcm,scale,0.5,3,8.759,0.0679,0.496383,0.010514,0.491435,0.009329,-0.997,tie (inside floor),,0.3,selalpha_etth1_n3,,,,
ETTh1,3,forecast/mse,opcm,scale,0.7,3,8.759,0.0679,0.496383,0.010514,0.491476,0.009019,-0.989,tie (inside floor),,0.3,selalpha_etth1_n3,,,,
ETTh1,5,forecast/mse,opcm,scale,0.3,3,8.759,0.0707,0.451689,0.022118,0.460246,0.020528,1.894,tie (inside floor),,0.2,segsweep_etth1_merge_n5,,,,
ETTh1,5,forecast/mse,opcm,scale,0.5,3,8.759,0.0707,0.451689,0.022118,0.461242,0.021127,2.115,tie (inside floor),,0.2,segsweep_etth1_merge_n5,,,,
ETTh1,5,forecast/mse,opcm,scale,0.7,3,8.759,0.0707,0.451689,0.022118,0.46234,0.020458,2.358,tie (inside floor),,0.2,segsweep_etth1_merge_n5,,,,
ETTh2,2,forecast/mse,opcm,scale,0.3,3,6.741,0.0199,0.261224,0.045197,0.291946,0.073943,11.761,worse,,0.65,etth2_merge_n2,,,,
