group,dataset,metric,merge_scale,n_segments,n_seeds,oracle,merged,newest,merged_vs_oracle_pct,newest_vs_oracle_pct,merged_vs_oracle_pct_excl_last,merge_cost,specialisation
etth2_merge_n2_diagnostics,?,forecast/mse,0.3/0.5/0.65,2,3,0.5035,0.6171,0.9272,22.6,84.2,7.0,1.4539,1.0653
etth2_merge_n3_diagnostics,?,forecast/mse,0.25/0.3,3,3,0.175,0.3645,0.3651,108.3,108.6,54.0,1.736,0.4471
etth2_merge_n5_diagnostics,?,forecast/mse,0.15,5,3,0.1958,0.3543,0.3031,81.0,54.8,37.3,2.0643,0.3076
ettm2_merge_n2_diagnostics,?,forecast/mse,0.35/0.4,2,3,0.4502,0.6411,0.6805,42.4,51.2,5.5,1.8254,1.1099
ettm2_merge_n3_diagnostics,?,forecast/mse,0.25/0.3,3,3,0.1781,0.2943,0.4984,65.3,179.9,52.3,1.4933,0.6937
ettm2_merge_n5_diagnostics,?,forecast/mse,0.15,5,3,0.1761,0.2923,0.2948,66.0,67.4,41.3,1.6985,0.6096
segsweep_etth1_merge_n2_diagnostics,?,forecast/mse,0.5,2,3,0.5999,0.6337,0.5999,5.6,0.0,-5.7,1.0748,0.1853
segsweep_etth1_merge_n5_diagnostics,?,forecast/mse,0.2,5,3,0.7465,0.7923,1.0191,6.1,36.5,5.8,1.0176,0.1905
segsweep_exchange_merge_n2_diagnostics,?,forecast/mse,0.7,2,3,0.12,0.1391,0.1436,15.9,19.6,-30.2,1.6264,0.3897
segsweep_exchange_merge_n5_diagnostics,?,forecast/mse,0.3,5,3,0.2036,0.4213,1.17,106.9,474.7,91.9,2.0418,0.5888
