experiment,dataset,pipeline,n_segments,of_record,block,metric,n_seeds,seeds,mean,sd,sd_pct
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,baseline/test,forecast/mae,3,7 42 123,0.679721,0.041129,6.051
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,baseline/test,forecast/mse,3,7 42 123,0.957182,0.090194,9.423
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,baseline/test,forecast/rmse,3,7 42 123,0.977617,0.046575,4.764
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_0/test,forecast/mae,3,7 42 123,0.625568,0.033331,5.328
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_0/test,forecast/mse,3,7 42 123,0.705065,0.057851,8.205
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_0/test,forecast/rmse,3,7 42 123,0.839199,0.034863,4.154
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_1/test,forecast/mae,3,7 42 123,0.551616,0.025472,4.618
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_1/test,forecast/mse,3,7 42 123,0.549278,0.034074,6.203
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_1/test,forecast/rmse,3,7 42 123,0.740893,0.023122,3.121
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_2/test,forecast/mae,3,7 42 123,0.524567,0.004189,0.799
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_2/test,forecast/mse,3,7 42 123,0.567005,0.034698,6.119
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,finetune_2/test,forecast/rmse,3,7 42 123,0.752762,0.02305,3.062
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,merged/test,forecast/mae,3,7 42 123,0.831569,0.054115,6.508
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,merged/test,forecast/mse,3,7 42 123,1.1935,0.215182,18.03
basefrac_etth1_03,EtthForecastDataset,IncrementalTaskArithmeticPipeline,3,,merged/test,forecast/rmse,3,7 42 123,1.089553,0.097781,8.974
