dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
ETTh1,2,joint,noisefloor_std_etth,1,4,3365,3,0.385039,0.005619,2
ETTh1,2,merge,segsweep_etth1_merge_n2,1,4,3365,3,0.399733,0.015468,4
ETTh1,2,sequential,segsweep_etth1_seq_n2,1,4,3365,3,0.387713,0.008856,3
ETTh1,2,window,window_etth1_W3,1,4,3365,3,0.379073,0.006154,1
ETTh1,2,base,segsweep_etth1_merge_n2,1,4,3365,3,0.606377,0.012959,
ETTh1,2,joint,noisefloor_std_etth,2,4,3365,3,0.48327,0.003967,3
ETTh1,2,merge,segsweep_etth1_merge_n2,2,4,3365,3,0.539444,0.017699,4
ETTh1,2,sequential,segsweep_etth1_seq_n2,2,4,3365,3,0.469962,0.011699,2
ETTh1,2,window,window_etth1_W3,2,4,3365,3,0.460884,0.013248,1
ETTh1,2,base,segsweep_etth1_merge_n2,2,4,3365,3,0.851244,0.059049,
ETTh1,2,joint,noisefloor_std_etth,3,4,3365,3,0.407137,0.016098,3
ETTh1,2,merge,segsweep_etth1_merge_n2,3,4,3365,3,0.451089,0.012168,4
ETTh1,2,sequential,segsweep_etth1_seq_n2,3,4,3365,3,0.397084,0.011992,2
ETTh1,2,window,window_etth1_W3,3,4,3365,3,0.382611,0.02116,1
ETTh1,2,base,segsweep_etth1_merge_n2,3,4,3365,3,0.722134,0.041576,
ETTh1,2,joint,noisefloor_std_etth,4,4,3365,3,0.398859,0.021335,3
ETTh1,2,merge,segsweep_etth1_merge_n2,4,4,3365,3,0.448583,0.017599,4
ETTh1,2,sequential,segsweep_etth1_seq_n2,4,4,3365,3,0.376519,0.006658,2
ETTh1,2,window,window_etth1_W3,4,4,3365,3,0.342678,0.008868,1
ETTh1,2,base,segsweep_etth1_merge_n2,4,4,3365,3,0.736067,0.017477,
ETTh1,3,joint,noisefloor_std_etth,1,4,3365,3,0.385039,0.005619,2
ETTh1,3,merge,selalpha_etth1_n3,1,4,3365,3,0.42043,0.022234,4
ETTh1,3,sequential,continual_etth,1,4,3365,3,0.408095,0.009735,3
ETTh1,3,window,window_etth1_W3,1,4,3365,3,0.379073,0.006154,1
ETTh1,3,base,selalpha_etth1_n3,1,4,3365,3,0.591208,0.079021,
ETTh1,3,joint,noisefloor_std_etth,2,4,3365,3,0.48327,0.003967,3
ETTh1,3,merge,selalpha_etth1_n3,2,4,3365,3,0.576848,0.018217,4
ETTh1,3,sequential,continual_etth,2,4,3365,3,0.464254,0.01166,2
ETTh1,3,window,window_etth1_W3,2,4,3365,3,0.460884,0.013248,1
ETTh1,3,base,selalpha_etth1_n3,2,4,3365,3,0.881366,0.031965,
ETTh1,3,joint,noisefloor_std_etth,3,4,3365,3,0.407137,0.016098,2
ETTh1,3,merge,selalpha_etth1_n3,3,4,3365,3,0.491002,0.005682,4
ETTh1,3,sequential,continual_etth,3,4,3365,3,0.417496,0.048313,3
ETTh1,3,window,window_etth1_W3,3,4,3365,3,0.382611,0.02116,1
ETTh1,3,base,selalpha_etth1_n3,3,4,3365,3,0.761673,0.046191,
ETTh1,3,joint,noisefloor_std_etth,4,4,3365,3,0.398859,0.021335,3
ETTh1,3,merge,selalpha_etth1_n3,4,4,3365,3,0.497251,0.003684,4
ETTh1,3,sequential,continual_etth,4,4,3365,3,0.366223,0.015225,2
ETTh1,3,window,window_etth1_W3,4,4,3365,3,0.342678,0.008868,1
ETTh1,3,base,selalpha_etth1_n3,4,4,3365,3,0.801309,0.026431,
ETTh1,5,joint,noisefloor_std_etth,1,4,3365,3,0.385039,0.005619,2
ETTh1,5,merge,segsweep_etth1_merge_n5,1,4,3365,3,0.405427,0.004989,3
ETTh1,5,sequential,segsweep_etth1_seq_n5,1,4,3365,3,0.434112,0.003396,4
ETTh1,5,window,window_etth1_W3,1,4,3365,3,0.379073,0.006154,1
ETTh1,5,base,segsweep_etth1_merge_n5,1,4,3365,3,0.549614,0.019373,
ETTh1,5,joint,noisefloor_std_etth,2,4,3365,3,0.48327,0.003967,2
ETTh1,5,merge,segsweep_etth1_merge_n5,2,4,3365,3,0.530401,0.026942,4
ETTh1,5,sequential,segsweep_etth1_seq_n5,2,4,3365,3,0.48638,0.003736,3
ETTh1,5,window,window_etth1_W3,2,4,3365,3,0.460884,0.013248,1
ETTh1,5,base,segsweep_etth1_merge_n5,2,4,3365,3,0.823284,0.060234,
ETTh1,5,joint,noisefloor_std_etth,3,4,3365,3,0.407137,0.016098,2
ETTh1,5,merge,segsweep_etth1_merge_n5,3,4,3365,3,0.450399,0.030704,4
ETTh1,5,sequential,segsweep_etth1_seq_n5,3,4,3365,3,0.438085,0.008991,3
ETTh1,5,window,window_etth1_W3,3,4,3365,3,0.382611,0.02116,1
ETTh1,5,base,segsweep_etth1_merge_n5,3,4,3365,3,0.708506,0.093309,
ETTh1,5,joint,noisefloor_std_etth,4,4,3365,3,0.398859,0.021335,2
ETTh1,5,merge,segsweep_etth1_merge_n5,4,4,3365,3,0.420566,0.028885,4
ETTh1,5,sequential,segsweep_etth1_seq_n5,4,4,3365,3,0.405573,0.014544,3
ETTh1,5,window,window_etth1_W3,4,4,3365,3,0.342678,0.008868,1
ETTh1,5,base,segsweep_etth1_merge_n5,4,4,3365,3,0.74163,0.033013,
ETTh2,2,joint,etth2_gate_joint,1,4,3365,3,0.202757,0.004196,1
ETTh2,2,merge,etth2_merge_n2,1,4,3365,3,0.294694,0.035643,3
ETTh2,2,sequential,etth2_continual_n2,1,4,3365,3,0.269318,0.03625,2
ETTh2,2,window,etth2_window_W3,1,4,3365,3,0.331341,0.014826,4
ETTh2,2,base,etth2_merge_n2,1,4,3365,3,0.917366,0.03286,
ETTh2,2,joint,etth2_gate_joint,2,4,3365,3,0.165559,0.015804,1
ETTh2,2,merge,etth2_merge_n2,2,4,3365,3,0.280285,0.033069,3
ETTh2,2,sequential,etth2_continual_n2,2,4,3365,3,0.221791,0.026904,2
ETTh2,2,window,etth2_window_W3,2,4,3365,3,0.295898,0.024193,4
ETTh2,2,base,etth2_merge_n2,2,4,3365,3,0.881884,0.065156,
