dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
etth2-f0.75,3,joint,origin_etth2_joint_f075,1,4,2494,3,0.494938,0.031704,1
etth2-f0.75,3,merge,origin_etth2_merge_f075,1,4,2494,3,0.945689,0.103093,3
etth2-f0.75,3,sequential,origin_etth2_sequential_f075,1,4,2494,3,0.691718,0.0112,2
etth2-f0.75,3,window,origin_etth2_window_f075,1,4,2494,3,0.953612,0.076969,4
etth2-f0.75,3,base,origin_etth2_merge_f075,1,4,2494,3,1.484479,0.226504,
etth2-f0.75,3,joint,origin_etth2_joint_f075,2,4,2494,3,0.65848,0.049951,1
etth2-f0.75,3,merge,origin_etth2_merge_f075,2,4,2494,3,1.303789,0.135728,4
etth2-f0.75,3,sequential,origin_etth2_sequential_f075,2,4,2494,3,1.027553,0.03904,2
etth2-f0.75,3,window,origin_etth2_window_f075,2,4,2494,3,1.238618,0.125519,3
etth2-f0.75,3,base,origin_etth2_merge_f075,2,4,2494,3,1.875126,0.287394,
etth2-f0.75,3,joint,origin_etth2_joint_f075,3,4,2494,3,0.758067,0.052732,1
etth2-f0.75,3,merge,origin_etth2_merge_f075,3,4,2494,3,1.224723,0.116051,4
etth2-f0.75,3,sequential,origin_etth2_sequential_f075,3,4,2494,3,1.032468,0.064208,2
etth2-f0.75,3,window,origin_etth2_window_f075,3,4,2494,3,1.167809,0.09353,3
etth2-f0.75,3,base,origin_etth2_merge_f075,3,4,2494,3,1.711801,0.256331,
etth2-f0.75,3,joint,origin_etth2_joint_f075,4,4,2494,3,1.141755,0.074306,1
etth2-f0.75,3,merge,origin_etth2_merge_f075,4,4,2494,3,1.595486,0.108453,4
etth2-f0.75,3,sequential,origin_etth2_sequential_f075,4,4,2494,3,1.498644,0.11034,2
etth2-f0.75,3,window,origin_etth2_window_f075,4,4,2494,3,1.524533,0.080649,3
etth2-f0.75,3,base,origin_etth2_merge_f075,4,4,2494,3,2.02099,0.24714,
etth2-f0.875,3,joint,origin_etth2_joint_f0875,1,4,2929,3,0.61595,0.241327,4
etth2-f0.875,3,merge,origin_etth2_merge_f0875,1,4,2929,3,0.517251,0.173242,3
etth2-f0.875,3,sequential,origin_etth2_sequential_f0875,1,4,2929,3,0.246716,0.03419,1
etth2-f0.875,3,window,origin_etth2_window_f0875,1,4,2929,3,0.319406,0.012079,2
etth2-f0.875,3,base,origin_etth2_merge_f0875,1,4,2929,3,0.993505,0.015513,
etth2-f0.875,3,joint,origin_etth2_joint_f0875,2,4,2929,3,1.044002,0.249213,4
etth2-f0.875,3,merge,origin_etth2_merge_f0875,2,4,2929,3,0.869802,0.316629,3
etth2-f0.875,3,sequential,origin_etth2_sequential_f0875,2,4,2929,3,0.388705,0.118096,1
etth2-f0.875,3,window,origin_etth2_window_f0875,2,4,2929,3,0.612416,0.027985,2
etth2-f0.875,3,base,origin_etth2_merge_f0875,2,4,2929,3,1.088944,0.150805,
etth2-f0.875,3,joint,origin_etth2_joint_f0875,3,4,2929,3,0.822698,0.25451,4
etth2-f0.875,3,merge,origin_etth2_merge_f0875,3,4,2929,3,0.626017,0.177574,3
etth2-f0.875,3,sequential,origin_etth2_sequential_f0875,3,4,2929,3,0.357753,0.050395,1
etth2-f0.875,3,window,origin_etth2_window_f0875,3,4,2929,3,0.455928,0.019085,2
etth2-f0.875,3,base,origin_etth2_merge_f0875,3,4,2929,3,1.05688,0.060066,
etth2-f0.875,3,joint,origin_etth2_joint_f0875,4,4,2929,3,0.187637,0.021193,2
etth2-f0.875,3,merge,origin_etth2_merge_f0875,4,4,2929,3,0.327741,0.162332,4
etth2-f0.875,3,sequential,origin_etth2_sequential_f0875,4,4,2929,3,0.237705,0.012401,3
etth2-f0.875,3,window,origin_etth2_window_f0875,4,4,2929,3,0.186673,0.014965,1
etth2-f0.875,3,base,origin_etth2_merge_f0875,4,4,2929,3,0.762669,0.067113,
ettm2-f0.75,3,joint,origin_ettm2_joint_f075,1,4,10333,3,0.14714,0.010151,1
ettm2-f0.75,3,merge,origin_ettm2_merge_f075,1,4,10333,3,0.404606,0.104327,3
ettm2-f0.75,3,sequential,origin_ettm2_sequential_f075,1,4,10333,3,0.434027,0.077554,4
ettm2-f0.75,3,window,origin_ettm2_window_f075,1,4,10333,3,0.383845,0.027903,2
ettm2-f0.75,3,base,origin_ettm2_merge_f075,1,4,10333,3,1.603896,0.706482,
ettm2-f0.75,3,joint,origin_ettm2_joint_f075,2,4,10333,3,0.161705,0.003973,1
ettm2-f0.75,3,merge,origin_ettm2_merge_f075,2,4,10333,3,0.538666,0.07538,2
ettm2-f0.75,3,sequential,origin_ettm2_sequential_f075,2,4,10333,3,0.627694,0.065173,4
