dataset,n,metric,n_seeds,window_val,window_val_sd,window_best,window_best_sd,penalty_pct,agreement
ETTh1,2,forecast/mse,3,0.391297,0.009598,0.391297,0.009598,0.0,1.0
ETTh1,3,forecast/mse,3,0.391297,0.009598,0.391297,0.009598,0.0,1.0
ETTh1,5,forecast/mse,3,0.391297,0.009598,0.391297,0.009598,0.0,1.0
ETTh2,2,forecast/mse,3,0.295173,0.020964,0.295173,0.020964,0.0,1.0
ETTh2,3,forecast/mse,3,0.295173,0.020964,0.295173,0.020964,0.0,1.0
ETTh2,5,forecast/mse,3,0.295173,0.020964,0.295173,0.020964,0.0,1.0
ETTm2,2,forecast/mse,3,0.109166,0.007409,0.109166,0.007409,0.0,1.0
ETTm2,3,forecast/mse,3,0.109166,0.007409,0.109166,0.007409,0.0,1.0
ETTm2,5,forecast/mse,3,0.109166,0.007409,0.109166,0.007409,0.0,1.0
exchange,2,forecast/mse,3,0.394855,0.019537,0.205271,0.004176,92.358,0.0
exchange,3,forecast/mse,3,0.394855,0.019537,0.205271,0.004176,92.358,0.0
exchange,5,forecast/mse,3,0.394855,0.019537,0.205271,0.004176,92.358,0.0
PSM-forecast,2,forecast/mse,3,0.413191,0.002716,0.361129,0.010481,14.416,0.0
PSM-forecast,3,forecast/mse,3,0.413191,0.002716,0.361129,0.010481,14.416,0.0
PSM-forecast,5,forecast/mse,3,0.413191,0.002716,0.361129,0.010481,14.416,0.0
SWaT-forecast,2,forecast/mse,3,3.08365,1.343377,2.871716,1.081195,7.38,0.333
SWaT-forecast,3,forecast/mse,3,3.08365,1.343377,2.871716,1.081195,7.38,0.333
SWaT-forecast,5,forecast/mse,3,3.08365,1.343377,2.871716,1.081195,7.38,0.333
