dataset,n,metric,seed,selected_W,test_best_W,agrees,window_val,window_best,penalty_pct
ETTh1,2,forecast/mse,7,3,3,1,0.382963,0.382963,0.0
ETTh1,2,forecast/mse,42,3,3,1,0.401791,0.401791,0.0
ETTh1,2,forecast/mse,123,3,3,1,0.389137,0.389137,0.0
ETTh1,3,forecast/mse,7,3,3,1,0.382963,0.382963,0.0
ETTh1,3,forecast/mse,42,3,3,1,0.401791,0.401791,0.0
ETTh1,3,forecast/mse,123,3,3,1,0.389137,0.389137,0.0
ETTh1,5,forecast/mse,7,3,3,1,0.382963,0.382963,0.0
ETTh1,5,forecast/mse,42,3,3,1,0.401791,0.401791,0.0
ETTh1,5,forecast/mse,123,3,3,1,0.389137,0.389137,0.0
ETTh2,2,forecast/mse,7,3,3,1,0.300906,0.300906,0.0
ETTh2,2,forecast/mse,42,3,3,1,0.271939,0.271939,0.0
ETTh2,2,forecast/mse,123,3,3,1,0.312674,0.312674,0.0
ETTh2,3,forecast/mse,7,3,3,1,0.300906,0.300906,0.0
ETTh2,3,forecast/mse,42,3,3,1,0.271939,0.271939,0.0
ETTh2,3,forecast/mse,123,3,3,1,0.312674,0.312674,0.0
ETTh2,5,forecast/mse,7,3,3,1,0.300906,0.300906,0.0
ETTh2,5,forecast/mse,42,3,3,1,0.271939,0.271939,0.0
ETTh2,5,forecast/mse,123,3,3,1,0.312674,0.312674,0.0
ETTm2,2,forecast/mse,7,3,3,1,0.114279,0.114279,0.0
ETTm2,2,forecast/mse,42,3,3,1,0.10067,0.10067,0.0
ETTm2,2,forecast/mse,123,3,3,1,0.11255,0.11255,0.0
ETTm2,3,forecast/mse,7,3,3,1,0.114279,0.114279,0.0
ETTm2,3,forecast/mse,42,3,3,1,0.10067,0.10067,0.0
ETTm2,3,forecast/mse,123,3,3,1,0.11255,0.11255,0.0
ETTm2,5,forecast/mse,7,3,3,1,0.114279,0.114279,0.0
ETTm2,5,forecast/mse,42,3,3,1,0.10067,0.10067,0.0
ETTm2,5,forecast/mse,123,3,3,1,0.11255,0.11255,0.0
exchange,2,forecast/mse,7,2,3,0,0.395784,0.202812,95.148
exchange,2,forecast/mse,42,2,3,0,0.413911,0.210092,97.014
exchange,2,forecast/mse,123,2,3,0,0.374869,0.202909,84.748
exchange,3,forecast/mse,7,2,3,0,0.395784,0.202812,95.148
exchange,3,forecast/mse,42,2,3,0,0.413911,0.210092,97.014
exchange,3,forecast/mse,123,2,3,0,0.374869,0.202909,84.748
exchange,5,forecast/mse,7,2,3,0,0.395784,0.202812,95.148
exchange,5,forecast/mse,42,2,3,0,0.413911,0.210092,97.014
exchange,5,forecast/mse,123,2,3,0,0.374869,0.202909,84.748
PSM-forecast,2,forecast/mse,7,1,3,0,0.415381,0.351947,18.024
PSM-forecast,2,forecast/mse,42,1,3,0,0.414039,0.358893,15.365
PSM-forecast,2,forecast/mse,123,1,3,0,0.410152,0.372548,10.094
PSM-forecast,3,forecast/mse,7,1,3,0,0.415381,0.351947,18.024
PSM-forecast,3,forecast/mse,42,1,3,0,0.414039,0.358893,15.365
PSM-forecast,3,forecast/mse,123,1,3,0,0.410152,0.372548,10.094
PSM-forecast,5,forecast/mse,7,1,3,0,0.415381,0.351947,18.024
PSM-forecast,5,forecast/mse,42,1,3,0,0.414039,0.358893,15.365
PSM-forecast,5,forecast/mse,123,1,3,0,0.410152,0.372548,10.094
SWaT-forecast,2,forecast/mse,7,3,3,1,2.248359,2.248359,0.0
SWaT-forecast,2,forecast/mse,42,3,2,0,2.369314,2.246617,5.461
SWaT-forecast,2,forecast/mse,123,3,2,0,4.633276,4.120172,12.453
SWaT-forecast,3,forecast/mse,7,3,3,1,2.248359,2.248359,0.0
SWaT-forecast,3,forecast/mse,42,3,2,0,2.369314,2.246617,5.461
SWaT-forecast,3,forecast/mse,123,3,2,0,4.633276,4.120172,12.453
SWaT-forecast,5,forecast/mse,7,3,3,1,2.248359,2.248359,0.0
SWaT-forecast,5,forecast/mse,42,3,2,0,2.369314,2.246617,5.461
SWaT-forecast,5,forecast/mse,123,3,2,0,4.633276,4.120172,12.453
