i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.23139637409830563,1
0,2,0.19214213289684318,2
0,3,0.17620010922643248,3
0,4,0.17721314123050882,4
1,0,0.23139637409830563,1
1,1,1.0,0
1,2,0.24166819486258817,1
1,3,0.17875846274036766,2
1,4,0.1274206862959712,3
2,0,0.19214213289684318,2
2,1,0.24166819486258817,1
2,2,1.0,0
2,3,0.33167846857029054,1
2,4,0.27198238180029927,2
3,0,0.17620010922643248,3
3,1,0.17875846274036766,2
3,2,0.33167846857029054,1
3,3,1.0,0
3,4,0.4858587828188728,1
4,0,0.17721314123050882,4
4,1,0.1274206862959712,3
4,2,0.27198238180029927,2
4,3,0.4858587828188728,1
4,4,1.0,0
