i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.11100989872874752,1
0,2,0.07492623751348948,2
0,3,0.10509648605338089,3
0,4,0.12555789747002896,4
1,0,0.11100989872874752,1
1,1,1.0,0
1,2,0.28943101320463793,1
1,3,0.19244227290646,2
1,4,0.11785298165335316,3
2,0,0.07492623751348948,2
2,1,0.28943101320463793,1
2,2,1.0,0
2,3,0.2940114282951536,1
2,4,0.20779337019279948,2
3,0,0.10509648605338089,3
3,1,0.19244227290646,2
3,2,0.2940114282951536,1
3,3,1.0,0
3,4,0.4783240461380616,1
4,0,0.12555789747002896,4
4,1,0.11785298165335316,3
4,2,0.20779337019279948,2
4,3,0.4783240461380616,1
4,4,1.0,0
