i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.32156179723138,1
0,2,0.15899598066751874,2
0,3,0.2642419574263784,3
0,4,0.2694291328967417,4
1,0,0.32156179723138,1
1,1,1.0,0
1,2,0.3317253154610499,1
1,3,0.453942695892818,2
1,4,0.4579555159530508,3
2,0,0.15899598066751874,2
2,1,0.3317253154610499,1
2,2,1.0,0
2,3,0.3465186531705721,1
2,4,0.2747951139137161,2
3,0,0.2642419574263784,3
3,1,0.453942695892818,2
3,2,0.3465186531705721,1
3,3,1.0,0
3,4,0.36341818595407094,1
4,0,0.2694291328967417,4
4,1,0.4579555159530508,3
4,2,0.2747951139137161,2
4,3,0.36341818595407094,1
4,4,1.0,0
