i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.281738948130793,1
0,2,0.12354913330771444,2
0,3,0.2320926369184106,3
0,4,0.10926238245443257,4
1,0,0.281738948130793,1
1,1,1.0,0
1,2,-0.01112567406031873,1
1,3,0.06079304768042256,2
1,4,-0.10313385731283563,3
2,0,0.12354913330771444,2
2,1,-0.01112567406031873,1
2,2,1.0,0
2,3,0.1956046420771105,1
2,4,0.05351030937941406,2
3,0,0.2320926369184106,3
3,1,0.06079304768042256,2
3,2,0.1956046420771105,1
3,3,1.0,0
3,4,0.28797025789166486,1
4,0,0.10926238245443257,4
4,1,-0.10313385731283563,3
4,2,0.05351030937941406,2
4,3,0.28797025789166486,1
4,4,1.0,0
