i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.09615962338449573,1
0,2,0.18015060997259408,2
0,3,0.15702365113489905,3
0,4,0.19867669311041372,4
1,0,0.09615962338449573,1
1,1,1.0,0
1,2,0.14940670912543455,1
1,3,0.16957161758191983,2
1,4,0.14398720023722983,3
2,0,0.18015060997259408,2
2,1,0.14940670912543455,1
2,2,1.0,0
2,3,0.15878433998131097,1
2,4,0.28416403081928787,2
3,0,0.15702365113489905,3
3,1,0.16957161758191983,2
3,2,0.15878433998131097,1
3,3,1.0,0
3,4,0.31937384869799185,1
4,0,0.19867669311041372,4
4,1,0.14398720023722983,3
4,2,0.28416403081928787,2
4,3,0.31937384869799185,1
4,4,1.0,0
