i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.38523296024611375,1
0,2,0.14860256433433813,2
0,3,0.08650062649832305,3
0,4,0.07730078145586373,4
1,0,0.38523296024611375,1
1,1,1.0,0
1,2,0.2627162450088012,1
1,3,0.11198601738783677,2
1,4,0.10827665005878749,3
2,0,0.14860256433433813,2
2,1,0.2627162450088012,1
2,2,1.0,0
2,3,0.12172096973064268,1
2,4,0.18718558602898328,2
3,0,0.08650062649832305,3
3,1,0.11198601738783677,2
3,2,0.12172096973064268,1
3,3,1.0,0
3,4,0.5146389491512688,1
4,0,0.07730078145586373,4
4,1,0.10827665005878749,3
4,2,0.18718558602898328,2
4,3,0.5146389491512688,1
4,4,1.0,0
