i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.4719421644843201,1
0,2,0.40555370161292575,2
0,3,0.18374843254383483,3
0,4,0.1574079062815014,4
1,0,0.4719421644843201,1
1,1,1.0,0
1,2,0.4945766691394371,1
1,3,0.3026676815713927,2
1,4,0.3426703529023651,3
2,0,0.40555370161292575,2
2,1,0.4945766691394371,1
2,2,1.0,0
2,3,0.4277519300676044,1
2,4,0.38183857504480256,2
3,0,0.18374843254383483,3
3,1,0.3026676815713927,2
3,2,0.4277519300676044,1
3,3,1.0,0
3,4,0.24227151399641034,1
4,0,0.1574079062815014,4
4,1,0.3426703529023651,3
4,2,0.38183857504480256,2
4,3,0.24227151399641034,1
4,4,1.0,0
