i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.6929669099803948,1
0,2,0.6273183726380311,2
0,3,0.7259137703089509,3
0,4,0.5969505250574425,4
1,0,0.6929669099803948,1
1,1,1.0,0
1,2,0.696159303581114,1
1,3,0.7412971536752314,2
1,4,0.5985987845977224,3
2,0,0.6273183726380311,2
2,1,0.696159303581114,1
2,2,1.0,0
2,3,0.8554637556149886,1
2,4,0.7539590540829724,2
3,0,0.7259137703089509,3
3,1,0.7412971536752314,2
3,2,0.8554637556149886,1
3,3,1.0,0
3,4,0.8183679366349852,1
4,0,0.5969505250574425,4
4,1,0.5985987845977224,3
4,2,0.7539590540829724,2
4,3,0.8183679366349852,1
4,4,1.0,0
