i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.12845151820999698,1
0,2,0.24959005384122215,2
0,3,0.27182350809708744,3
0,4,-0.005556548312685311,4
1,0,0.12845151820999698,1
1,1,1.0,0
1,2,0.1481565863174084,1
1,3,0.14775494023792818,2
1,4,0.09337106677345788,3
2,0,0.24959005384122215,2
2,1,0.1481565863174084,1
2,2,1.0,0
2,3,0.26092486929224035,1
2,4,0.20567034404925547,2
3,0,0.27182350809708744,3
3,1,0.14775494023792818,2
3,2,0.26092486929224035,1
3,3,1.0,0
3,4,0.2835117012994999,1
4,0,-0.005556548312685311,4
4,1,0.09337106677345788,3
4,2,0.20567034404925547,2
4,3,0.2835117012994999,1
4,4,1.0,0
