i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.46606535968807566,1
0,2,0.40860358840658456,2
0,3,0.14629150897965604,3
0,4,0.06997895252497693,4
1,0,0.46606535968807566,1
1,1,1.0,0
1,2,0.5215694661987925,1
1,3,0.28009576722934165,2
1,4,0.2966477887936393,3
2,0,0.40860358840658456,2
2,1,0.5215694661987925,1
2,2,1.0,0
2,3,0.3998250268496701,1
2,4,0.34372266778900673,2
3,0,0.14629150897965604,3
3,1,0.28009576722934165,2
3,2,0.3998250268496701,1
3,3,1.0,0
3,4,0.22857590557389604,1
4,0,0.06997895252497693,4
4,1,0.2966477887936393,3
4,2,0.34372266778900673,2
4,3,0.22857590557389604,1
4,4,1.0,0
