i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.631949420194938,1
0,2,0.5996800228843338,2
0,3,0.668775248282948,3
0,4,0.551107498413007,4
1,0,0.631949420194938,1
1,1,1.0,0
1,2,0.6609503503041663,1
1,3,0.710826542637581,2
1,4,0.5937524913297229,3
2,0,0.5996800228843338,2
2,1,0.6609503503041663,1
2,2,1.0,0
2,3,0.8405505694777937,1
2,4,0.730735389238324,2
3,0,0.668775248282948,3
3,1,0.710826542637581,2
3,2,0.8405505694777937,1
3,3,1.0,0
3,4,0.8086591717891515,1
4,0,0.551107498413007,4
4,1,0.5937524913297229,3
4,2,0.730735389238324,2
4,3,0.8086591717891515,1
4,4,1.0,0
