model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.21598109602928162,1.0,9817,8
ft_0,val_base,val,forecast/mae,0.27489277720451355,1.2727631364887833,9817,8
ft_1,val_base,val,forecast/mae,0.2498319447040558,1.156730608822287,9817,8
merged,val_base,val,forecast/mae,0.24655431509017944,1.1415550695082723,9817,8
base,val_base,val,forecast/mse,0.15173187851905823,1.0,9817,8
ft_0,val_base,val,forecast/mse,0.2200964093208313,1.4505614210344477,9817,8
ft_1,val_base,val,forecast/mse,0.1700088083744049,1.1204554378007718,9817,8
merged,val_base,val,forecast/mse,0.17434462904930115,1.1490309798504383,9817,8
base,val_base,val,forecast/rmse,0.3895277634765694,1.0,9817,8
ft_0,val_base,val,forecast/rmse,0.46914433740676365,1.2043925527146238,9817,8
ft_1,val_base,val,forecast/rmse,0.4123212441463633,1.0585156766910786,9817,8
merged,val_base,val,forecast/rmse,0.4175459604035239,1.0719286262855556,9817,8
base,val_0,val,forecast/mae,0.5246257781982422,1.0,4849,8
ft_0,val_0,val,forecast/mae,0.31167691946029663,0.5940937948773881,4849,8
ft_1,val_0,val,forecast/mae,0.4549817740917206,0.8672501295195506,4849,8
merged,val_0,val,forecast/mae,0.37119466066360474,0.707541787097126,4849,8
base,val_0,val,forecast/mse,0.7084732055664062,1.0,4849,8
ft_0,val_0,val,forecast/mse,0.32772722840309143,0.46258238960650866,4849,8
ft_1,val_0,val,forecast/mse,0.566594660282135,0.7997404218401697,4849,8
merged,val_0,val,forecast/mse,0.38979554176330566,0.5501909439915573,4849,8
base,val_0,val,forecast/rmse,0.8417085039171258,1.0,4849,8
ft_0,val_0,val,forecast/rmse,0.5724746530660475,0.6801340967827658,4849,8
ft_1,val_0,val,forecast/rmse,0.7527248237451286,0.8942820706243471,4849,8
merged,val_0,val,forecast/rmse,0.6243360807796596,0.7417485719511412,4849,8
base,val_1,val,forecast/mae,0.3347705602645874,1.0,4849,8
ft_0,val_1,val,forecast/mae,0.35116294026374817,1.0489660141746184,4849,8
ft_1,val_1,val,forecast/mae,0.26802030205726624,0.8006089359991369,4849,8
merged,val_1,val,forecast/mae,0.29796332120895386,0.8900523420382521,4849,8
base,val_1,val,forecast/mse,0.21331369876861572,1.0,4849,8
ft_0,val_1,val,forecast/mse,0.21651779115200043,1.0150205654952345,4849,8
ft_1,val_1,val,forecast/mse,0.13894248008728027,0.6513528239833911,4849,8
merged,val_1,val,forecast/mse,0.17312926054000854,0.811618107695016,4849,8
base,val_1,val,forecast/rmse,0.4618589598228183,1.0,4849,8
ft_0,val_1,val,forecast/rmse,0.4653147226899235,1.0074822904127072,4849,8
ft_1,val_1,val,forecast/rmse,0.37274988945307586,0.8070643245636565,4849,8
merged,val_1,val,forecast/rmse,0.41608804421661594,0.9008985002179857,4849,8
base,test,test,forecast/mae,0.39929479360580444,1.0,56239,8
ft_0,test,test,forecast/mae,0.4142855703830719,1.037543131083414,56239,8
ft_1,test,test,forecast/mae,0.37227651476860046,0.932335008445221,56239,8
merged,test,test,forecast/mae,0.38494935631752014,0.9640730670221397,56239,8
standard,test,test,forecast/mae,0.3318057954311371,0.8309795187530181,56239,8
base,test,test,forecast/mse,0.5116684436798096,1.0,56239,8
ft_0,test,test,forecast/mse,0.39263245463371277,0.7673571811659606,56239,8
ft_1,test,test,forecast/mse,0.4448221027851105,0.8693561392726223,56239,8
merged,test,test,forecast/mse,0.3770044147968292,0.7368138869098404,56239,8
standard,test,test,forecast/mse,0.32143810391426086,0.628215610879864,56239,8
base,test,test,forecast/rmse,0.7153100332581737,1.0,56239,8
ft_0,test,test,forecast/rmse,0.6266039056961844,0.8759892585905154,56239,8
ft_1,test,test,forecast/rmse,0.6669498502774481,0.9323926958490304,56239,8
merged,test,test,forecast/rmse,0.6140068524021773,0.8583786384281941,56239,8
standard,test,test,forecast/rmse,0.5669551163136821,0.7926005367648095,56239,8
