merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.5516457557678223,56239,8
0.0,test,test,forecast/rmse,0.7427285882257544,56239,8
0.0,test,test,forecast/mae,0.4182325303554535,56239,8
0.0,val_0,val,forecast/mse,0.32517483830451965,1868,8
0.0,val_0,val,forecast/rmse,0.5702410352688762,1868,8
0.0,val_0,val,forecast/mae,0.3733992576599121,1868,8
0.0,val_1,val,forecast/mse,0.44301173090934753,1868,8
0.0,val_1,val,forecast/rmse,0.6655912641474102,1868,8
0.0,val_1,val,forecast/mae,0.4428822696208954,1868,8
0.0,val_2,val,forecast/mse,0.4468725919723511,1868,8
0.0,val_2,val,forecast/rmse,0.6684852967510587,1868,8
0.0,val_2,val,forecast/mae,0.418023943901062,1868,8
0.0,val_3,val,forecast/mse,0.7122992873191833,1868,8
0.0,val_3,val,forecast/rmse,0.8439782505012694,1868,8
0.0,val_3,val,forecast/mae,0.6419943571090698,1868,8
0.0,val_4,val,forecast/mse,0.2762871980667114,1868,8
0.0,val_4,val,forecast/rmse,0.5256302864815834,1868,8
0.0,val_4,val,forecast/mae,0.37820595502853394,1868,8
0.0,val_base,val,forecast/mse,0.1497928351163864,9817,8
0.0,val_base,val,forecast/rmse,0.38703079349889774,9817,8
0.0,val_base,val,forecast/mae,0.21824172139167786,9817,8
0.05,test,test,forecast/mse,0.510375440120697,56239,8
0.05,test,test,forecast/rmse,0.7144056551572762,56239,8
0.05,test,test,forecast/mae,0.39996832609176636,56239,8
0.05,val_0,val,forecast/mse,0.2985016703605652,1868,8
0.05,val_0,val,forecast/rmse,0.5463530638337861,1868,8
0.05,val_0,val,forecast/mae,0.35416004061698914,1868,8
0.05,val_1,val,forecast/mse,0.3939880132675171,1868,8
0.05,val_1,val,forecast/rmse,0.6276846447600236,1868,8
0.05,val_1,val,forecast/mae,0.418724000453949,1868,8
0.05,val_2,val,forecast/mse,0.37817028164863586,1868,8
0.05,val_2,val,forecast/rmse,0.6149555119263798,1868,8
0.05,val_2,val,forecast/mae,0.3807937204837799,1868,8
0.05,val_3,val,forecast/mse,0.6679688692092896,1868,8
0.05,val_3,val,forecast/rmse,0.8172936248431708,1868,8
0.05,val_3,val,forecast/mae,0.619973361492157,1868,8
0.05,val_4,val,forecast/mse,0.2389739751815796,1868,8
0.05,val_4,val,forecast/rmse,0.4888496447595923,1868,8
0.05,val_4,val,forecast/mae,0.3519156575202942,1868,8
0.05,val_base,val,forecast/mse,0.14799349009990692,9817,8
0.05,val_base,val,forecast/rmse,0.38469922030062254,9817,8
0.05,val_base,val,forecast/mae,0.2183435559272766,9817,8
0.1,test,test,forecast/mse,0.4734728932380676,56239,8
0.1,test,test,forecast/rmse,0.6880936660354225,56239,8
0.1,test,test,forecast/mae,0.38555067777633667,56239,8
