model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.2208264172077179,1.0,9817,8
ft_0,val_base,val,forecast/mae,0.2704942226409912,1.2249178611024325,9817,8
ft_1,val_base,val,forecast/mae,0.30931785702705383,1.4007285040362605,9817,8
ft_2,val_base,val,forecast/mae,0.26511433720588684,1.2005553527434627,9817,8
merged,val_base,val,forecast/mae,0.23089177906513214,1.0455804245918023,9817,8
base,val_base,val,forecast/mse,0.15118001401424408,1.0,9817,8
ft_0,val_base,val,forecast/mse,0.19278152287006378,1.2751786281214397,9817,8
ft_1,val_base,val,forecast/mse,0.21713188290596008,1.4362472733036131,9817,8
ft_2,val_base,val,forecast/mse,0.17838650941848755,1.1799609265923212,9817,8
merged,val_base,val,forecast/mse,0.1549774706363678,1.025118774111014,9817,8
base,val_base,val,forecast/rmse,0.38881874185054927,1.0,9817,8
ft_0,val_base,val,forecast/rmse,0.4390689272427096,1.129238074155065,9817,8
ft_1,val_base,val,forecast/rmse,0.46597412257115745,1.1984353438144308,9817,8
ft_2,val_base,val,forecast/rmse,0.4223582713982142,1.0862600639774627,9817,8
merged,val_base,val,forecast/rmse,0.3936717803403843,1.0124814932190187,9817,8
base,val_0,val,forecast/mae,0.4759613573551178,1.0,3193,8
ft_0,val_0,val,forecast/mae,0.45377224683761597,0.9533804369312562,3193,8
ft_1,val_0,val,forecast/mae,0.46671438217163086,0.9805720043432271,3193,8
ft_2,val_0,val,forecast/mae,0.5083816647529602,1.0681154192390736,3193,8
merged,val_0,val,forecast/mae,0.4601515233516693,0.9667833664243195,3193,8
base,val_0,val,forecast/mse,1.2235900163650513,1.0,3193,8
ft_0,val_0,val,forecast/mse,1.1368677616119385,0.9291247447321116,3193,8
ft_1,val_0,val,forecast/mse,1.1635894775390625,0.9509635269792133,3193,8
ft_2,val_0,val,forecast/mse,1.2362436056137085,1.0103413635935405,3193,8
merged,val_0,val,forecast/mse,1.1735529899597168,0.9591063789863367,3193,8
base,val_0,val,forecast/rmse,1.106160031986806,1.0,3193,8
ft_0,val_0,val,forecast/rmse,1.0662400112601,0.9639111705609139,3193,8
ft_1,val_0,val,forecast/rmse,1.0786980474345276,0.9751735881263464,3193,8
ft_2,val_0,val,forecast/rmse,1.111864922377583,1.0051573824996465,3193,8
merged,val_0,val,forecast/rmse,1.08330650785441,0.9793397668768161,3193,8
base,val_1,val,forecast/mae,0.6075095534324646,1.0,3193,8
ft_0,val_1,val,forecast/mae,0.5335965752601624,0.8783344595081846,3193,8
ft_1,val_1,val,forecast/mae,0.41296306252479553,0.6797638986770331,3193,8
ft_2,val_1,val,forecast/mae,0.387311190366745,0.6375392587300299,3193,8
merged,val_1,val,forecast/mae,0.40949034690856934,0.6740475842641895,3193,8
base,val_1,val,forecast/mse,0.6615003943443298,1.0,3193,8
ft_0,val_1,val,forecast/mse,0.5319786667823792,0.8042000750576561,3193,8
ft_1,val_1,val,forecast/mse,0.35294267535209656,0.5335486998491188,3193,8
ft_2,val_1,val,forecast/mse,0.3336653709411621,0.5044069116117258,3193,8
merged,val_1,val,forecast/mse,0.36583229899406433,0.5530341359156291,3193,8
base,val_1,val,forecast/rmse,0.8133267451303503,1.0,3193,8
ft_0,val_1,val,forecast/rmse,0.7293686768585412,0.8967720307066095,3193,8
ft_1,val_1,val,forecast/rmse,0.5940897872814315,0.7304441798310934,3193,8
ft_2,val_1,val,forecast/rmse,0.5776377506198518,0.7102161020504434,3193,8
merged,val_1,val,forecast/rmse,0.6048407220037887,0.7436626492675488,3193,8
base,val_2,val,forecast/mae,0.3461235463619232,1.0,3193,8
ft_0,val_2,val,forecast/mae,0.31213656067848206,0.9018067795714113,3193,8
ft_1,val_2,val,forecast/mae,0.35173916816711426,1.0162243275969416,3193,8
ft_2,val_2,val,forecast/mae,0.24246551096439362,0.7005172387516801,3193,8
merged,val_2,val,forecast/mae,0.26620781421661377,0.7691121191109438,3193,8
base,val_2,val,forecast/mse,0.22413641214370728,1.0,3193,8
ft_0,val_2,val,forecast/mse,0.19059397280216217,0.8503481026543824,3193,8
ft_1,val_2,val,forecast/mse,0.2302914559841156,1.0274611509193872,3193,8
ft_2,val_2,val,forecast/mse,0.11569461971521378,0.5161794935890873,3193,8
merged,val_2,val,forecast/mse,0.1478540301322937,0.6596609123799824,3193,8
