merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.5105936527252197,57319,124
0.0,test,test,forecast/rmse,0.7145583620147621,57319,124
0.0,test,test,forecast/mae,0.40553945302963257,57319,124
0.0,val_0,val,forecast/mse,1.2193033695220947,3193,124
0.0,val_0,val,forecast/rmse,1.1042207068888423,3193,124
0.0,val_0,val,forecast/mae,0.48009294271469116,3193,124
0.0,val_1,val,forecast/mse,0.5673583745956421,3193,124
0.0,val_1,val,forecast/rmse,0.7532319527181797,3193,124
0.0,val_1,val,forecast/mae,0.5407706499099731,3193,124
0.0,val_2,val,forecast/mse,0.2125760167837143,3193,124
0.0,val_2,val,forecast/rmse,0.4610596672706411,3193,124
0.0,val_2,val,forecast/mae,0.33928999304771423,3193,124
0.0,val_base,val,forecast/mse,0.15423019230365753,9817,124
0.0,val_base,val,forecast/rmse,0.39272152004143795,9817,124
0.0,val_base,val,forecast/mae,0.21926069259643555,9817,124
0.05,test,test,forecast/mse,0.48520100116729736,57319,124
0.05,test,test,forecast/rmse,0.6965637093384189,57319,124
0.05,test,test,forecast/mae,0.39311373233795166,57319,124
0.05,val_0,val,forecast/mse,1.2061253786087036,3193,124
0.05,val_0,val,forecast/rmse,1.0982373962894834,3193,124
0.05,val_0,val,forecast/mae,0.473148912191391,3193,124
0.05,val_1,val,forecast/mse,0.514461100101471,3193,124
0.05,val_1,val,forecast/rmse,0.7172594370947454,3193,124
0.05,val_1,val,forecast/mae,0.5095869302749634,3193,124
0.05,val_2,val,forecast/mse,0.19324766099452972,3193,124
0.05,val_2,val,forecast/rmse,0.43959943243199223,3193,124
0.05,val_2,val,forecast/mae,0.3207152485847473,3193,124
0.05,val_base,val,forecast/mse,0.15155209600925446,9817,124
0.05,val_base,val,forecast/rmse,0.3892969252501931,9817,124
0.05,val_base,val,forecast/mae,0.2162313610315323,9817,124
0.1,test,test,forecast/mse,0.4620167315006256,57319,124
0.1,test,test,forecast/rmse,0.6797181265058522,57319,124
0.1,test,test,forecast/mae,0.3827086389064789,57319,124
0.1,val_0,val,forecast/mse,1.1944023370742798,3193,124
0.1,val_0,val,forecast/rmse,1.092887156605969,3193,124
0.1,val_0,val,forecast/mae,0.46718698740005493,3193,124
0.1,val_1,val,forecast/mse,0.4737776517868042,3193,124
0.1,val_1,val,forecast/rmse,0.6883150817661954,3193,124
0.1,val_1,val,forecast/mae,0.485165536403656,3193,124
0.1,val_2,val,forecast/mse,0.17598237097263336,3193,124
0.1,val_2,val,forecast/rmse,0.41950252796930004,3193,124
0.1,val_2,val,forecast/mae,0.3030715584754944,3193,124
0.1,val_base,val,forecast/mse,0.15006642043590546,9817,124
0.1,val_base,val,forecast/rmse,0.3873840735444676,9817,124
0.1,val_base,val,forecast/mae,0.2149616777896881,9817,124
0.15,test,test,forecast/mse,0.4414806067943573,57319,124
0.15,test,test,forecast/rmse,0.6644400701299985,57319,124
0.15,test,test,forecast/mae,0.3745943605899811,57319,124
0.15,val_0,val,forecast/mse,1.1840400695800781,3193,124
0.15,val_0,val,forecast/rmse,1.088136052881292,3193,124
0.15,val_0,val,forecast/mae,0.4622207283973694,3193,124
0.15,val_1,val,forecast/mse,0.44301682710647583,3193,124
0.15,val_1,val,forecast/rmse,0.6655950924597295,3193,124
0.15,val_1,val,forecast/mae,0.4666486382484436,3193,124
0.15,val_2,val,forecast/mse,0.1614958643913269,3193,124
0.15,val_2,val,forecast/rmse,0.40186548046744064,3193,124
0.15,val_2,val,forecast/mae,0.287386417388916,3193,124
0.15,val_base,val,forecast/mse,0.14971725642681122,9817,124
0.15,val_base,val,forecast/rmse,0.3869331420630846,9817,124
0.15,val_base,val,forecast/mae,0.21544863283634186,9817,124
0.2,test,test,forecast/mse,0.4241028428077698,57319,124
0.2,test,test,forecast/rmse,0.6512317888492313,57319,124
0.2,test,test,forecast/mae,0.3688468337059021,57319,124
0.2,val_0,val,forecast/mse,1.174862027168274,3193,124
0.2,val_0,val,forecast/rmse,1.0839105254439934,3193,124
0.2,val_0,val,forecast/mae,0.4579817056655884,3193,124
0.2,val_1,val,forecast/mse,0.42008256912231445,3193,124
0.2,val_1,val,forecast/rmse,0.6481377701710606,3193,124
0.2,val_1,val,forecast/mae,0.45317989587783813,3193,124
0.2,val_2,val,forecast/mse,0.15041641891002655,3193,124
0.2,val_2,val,forecast/rmse,0.38783555653140744,3193,124
0.2,val_2,val,forecast/mae,0.27502936124801636,3193,124
0.2,val_base,val,forecast/mse,0.1504650115966797,9817,124
0.2,val_base,val,forecast/rmse,0.3878981974651077,9817,124
0.2,val_base,val,forecast/mae,0.2176128625869751,9817,124
0.25,test,test,forecast/mse,0.4103713929653168,57319,124
0.25,test,test,forecast/rmse,0.6406023672804502,57319,124
0.25,test,test,forecast/mae,0.36550241708755493,57319,124
0.25,val_0,val,forecast/mse,1.1665780544281006,3193,124
0.25,val_0,val,forecast/rmse,1.0800824294599467,3193,124
0.25,val_0,val,forecast/mae,0.45428016781806946,3193,124
