model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.41061604022979736,1.0,926,124
ft_0,val_base,val,forecast/mae,0.4186953604221344,1.0196760949421644,926,124
ft_1,val_base,val,forecast/mae,0.46061399579048157,1.121763279224804,926,124
merged,val_base,val,forecast/mae,0.41808992624282837,1.0182016416330164,926,124
base,val_base,val,forecast/mse,0.5915524363517761,1.0,926,124
ft_0,val_base,val,forecast/mse,0.5924403667449951,1.00150101721953,926,124
ft_1,val_base,val,forecast/mse,0.6035528182983398,1.0202862522561356,926,124
merged,val_base,val,forecast/mse,0.5623588562011719,0.9506492098474871,926,124
base,val_base,val,forecast/rmse,0.7691244608980891,1.0,926,124
ft_0,val_base,val,forecast/rmse,0.7697014789806468,1.0007502271893471,926,124
ft_1,val_base,val,forecast/rmse,0.776886618689201,1.0100921998788703,926,124
merged,val_base,val,forecast/rmse,0.7499058982306859,0.9750124152273585,926,124
base,val_0,val,forecast/mae,0.3137601912021637,1.0,403,124
ft_0,val_0,val,forecast/mae,0.28779664635658264,0.9172503536981462,403,124
ft_1,val_0,val,forecast/mae,0.4585132598876953,1.461349376831121,403,124
merged,val_0,val,forecast/mae,0.3218870162963867,1.0259013900491496,403,124
base,val_0,val,forecast/mse,0.16788558661937714,1.0,403,124
ft_0,val_0,val,forecast/mse,0.14014388620853424,0.8347582959951311,403,124
ft_1,val_0,val,forecast/mse,0.33976638317108154,2.0237972181696873,403,124
merged,val_0,val,forecast/mse,0.17429760098457336,1.0381927626683836,403,124
base,val_0,val,forecast/rmse,0.409738436834253,1.0,403,124
ft_0,val_0,val,forecast/rmse,0.3743579653333614,0.9136510800054533,403,124
ft_1,val_0,val,forecast/rmse,0.5828948302833724,1.4226022698455416,403,124
merged,val_0,val,forecast/rmse,0.4174896417691981,1.0189174464442072,403,124
base,val_1,val,forecast/mae,0.8278712034225464,1.0,403,124
ft_0,val_1,val,forecast/mae,0.8210186958312988,0.9917227371082383,403,124
ft_1,val_1,val,forecast/mae,0.34686529636383057,0.4189846137054125,403,124
merged,val_1,val,forecast/mae,0.3937787711620331,0.47565221441945477,403,124
base,val_1,val,forecast/mse,1.1337721347808838,1.0,403,124
ft_0,val_1,val,forecast/mse,1.1228797435760498,0.9903927862833398,403,124
ft_1,val_1,val,forecast/mse,0.20812520384788513,0.18356881198893465,403,124
merged,val_1,val,forecast/mse,0.2677416503429413,0.23615120016570687,403,124
base,val_1,val,forecast/rmse,1.0647873659942082,1.0,403,124
ft_0,val_1,val,forecast/rmse,1.0596602019402492,0.9951848000664699,403,124
ft_1,val_1,val,forecast/rmse,0.4562074131882176,0.42844931087461746,403,124
merged,val_1,val,forecast/rmse,0.5174375811080417,0.4859539074497774,403,124
base,test,test,forecast/mae,0.6725872755050659,1.0,3365,124
ft_0,test,test,forecast/mae,0.6022472381591797,0.8954187212461523,3365,124
ft_1,test,test,forecast/mae,0.4106796979904175,0.6105968889792418,3365,124
merged,test,test,forecast/mae,0.4166589677333832,0.619486842685957,3365,124
standard,test,test,forecast/mae,0.29444852471351624,0.4377848577233431,3365,124
base,test,test,forecast/mse,0.8484154939651489,1.0,3365,124
ft_0,test,test,forecast/mse,0.7172943353652954,0.8454517161313891,3365,124
ft_1,test,test,forecast/mse,0.27645084261894226,0.3258436987364805,3365,124
merged,test,test,forecast/mse,0.3085698187351227,0.3637013007541775,3365,124
standard,test,test,forecast/mse,0.15100954473018646,0.17799008363747493,3365,124
base,test,test,forecast/rmse,0.921094725837223,1.0,3365,124
ft_0,test,test,forecast/rmse,0.8469323086087196,0.919484483899206,3365,124
ft_1,test,test,forecast/rmse,0.5257859285098283,0.5708272056730307,3365,124
merged,test,test,forecast/rmse,0.5554906108433542,0.6030765297656488,3365,124
standard,test,test,forecast/rmse,0.3885994656843811,0.4218887100142346,3365,124
