merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.9167059659957886,3365,124
0.0,test,test,forecast/rmse,0.9574476309416555,3365,124
0.0,test,test,forecast/mae,0.7071486115455627,3365,124
0.0,val_0,val,forecast/mse,0.8405207395553589,89,124
0.0,val_0,val,forecast/rmse,0.9167991816943113,89,124
0.0,val_0,val,forecast/mae,0.6365609765052795,89,124
0.0,val_1,val,forecast/mse,0.5476477742195129,89,124
0.0,val_1,val,forecast/rmse,0.7400322791740324,89,124
0.0,val_1,val,forecast/mae,0.526658296585083,89,124
0.0,val_2,val,forecast/mse,0.8870088458061218,89,124
0.0,val_2,val,forecast/rmse,0.9418114704154552,89,124
0.0,val_2,val,forecast/mae,0.7707180976867676,89,124
0.0,val_3,val,forecast/mse,0.8840465545654297,89,124
0.0,val_3,val,forecast/rmse,0.9402374990210876,89,124
0.0,val_3,val,forecast/mae,0.7434874176979065,89,124
0.0,val_4,val,forecast/mse,0.7966212630271912,89,124
0.0,val_4,val,forecast/rmse,0.8925364211208365,89,124
0.0,val_4,val,forecast/mae,0.7412724494934082,89,124
0.0,val_base,val,forecast/mse,0.6075327396392822,926,124
0.0,val_base,val,forecast/rmse,0.7794438656114256,926,124
0.0,val_base,val,forecast/mae,0.4174783527851105,926,124
0.1,test,test,forecast/mse,0.4514112174510956,3365,124
0.1,test,test,forecast/rmse,0.671871429256443,3365,124
0.1,test,test,forecast/mae,0.4760516285896301,3365,124
0.1,val_0,val,forecast/mse,0.48984116315841675,89,124
0.1,val_0,val,forecast/rmse,0.6998865359173705,89,124
0.1,val_0,val,forecast/mae,0.4620327055454254,89,124
0.1,val_1,val,forecast/mse,0.28276047110557556,89,124
0.1,val_1,val,forecast/rmse,0.5317522647865034,89,124
0.1,val_1,val,forecast/mae,0.3867412209510803,89,124
0.1,val_2,val,forecast/mse,0.2919642925262451,89,124
0.1,val_2,val,forecast/rmse,0.5403372026117071,89,124
0.1,val_2,val,forecast/mae,0.42982858419418335,89,124
0.1,val_3,val,forecast/mse,0.34443750977516174,89,124
0.1,val_3,val,forecast/rmse,0.5868879874176688,89,124
0.1,val_3,val,forecast/mae,0.46442750096321106,89,124
0.1,val_4,val,forecast/mse,0.5749129056930542,89,124
0.1,val_4,val,forecast/rmse,0.7582301139450043,89,124
0.1,val_4,val,forecast/mae,0.5743840336799622,89,124
