model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3291011154651642,1.0,4061,8
ft_0,val_base,val,forecast/mae,0.33650508522987366,1.0224975529306377,4061,8
ft_1,val_base,val,forecast/mae,0.45502734184265137,1.3826368871448467,4061,8
merged,val_base,val,forecast/mae,0.3483027219772339,1.058345613581192,4061,8
base,val_base,val,forecast/mse,0.4336947500705719,1.0,4061,8
ft_0,val_base,val,forecast/mse,0.287971168756485,0.6639950534555136,4061,8
ft_1,val_base,val,forecast/mse,0.528688371181488,1.2190333664298647,4061,8
merged,val_base,val,forecast/mse,0.3558562099933624,0.8205222911632124,4061,8
base,val_base,val,forecast/rmse,0.658555047107356,1.0,4061,8
ft_0,val_base,val,forecast/rmse,0.5366294520024828,0.8148589162888957,4061,8
ft_1,val_base,val,forecast/rmse,0.7271096005290317,1.1040984405522294,4061,8
merged,val_base,val,forecast/rmse,0.5965368471380141,0.9058268549580611,4061,8
base,val_0,val,forecast/mae,0.2542329728603363,1.0,1971,8
ft_0,val_0,val,forecast/mae,0.2085249423980713,0.8202120285657247,1971,8
ft_1,val_0,val,forecast/mae,0.2719610333442688,1.0697315548194901,1971,8
merged,val_0,val,forecast/mae,0.22610816359519958,0.8893738725205123,1971,8
base,val_0,val,forecast/mse,0.11642023921012878,1.0,1971,8
ft_0,val_0,val,forecast/mse,0.07952874153852463,0.6831178331027298,1971,8
ft_1,val_0,val,forecast/mse,0.12846842408180237,1.1034887486352576,1971,8
merged,val_0,val,forecast/mse,0.08554106205701828,0.734761091691487,1971,8
base,val_0,val,forecast/rmse,0.34120410198315143,1.0,1971,8
ft_0,val_0,val,forecast/rmse,0.28200840685788897,0.8265094271106227,1971,8
ft_1,val_0,val,forecast/rmse,0.35842492112268415,1.050470727167234,1971,8
merged,val_0,val,forecast/rmse,0.292474036551996,0.857182064494753,1971,8
base,val_1,val,forecast/mae,0.6344242691993713,1.0,1971,8
ft_0,val_1,val,forecast/mae,0.8869054317474365,1.3979689535942414,1971,8
ft_1,val_1,val,forecast/mae,0.2444598525762558,0.3853255060446512,1971,8
merged,val_1,val,forecast/mae,0.44147542119026184,0.6958678011284051,1971,8
base,val_1,val,forecast/mse,0.6147953271865845,1.0,1971,8
ft_0,val_1,val,forecast/mse,1.036222219467163,1.6854751063400317,1971,8
ft_1,val_1,val,forecast/mse,0.11380782723426819,0.18511498412825217,1971,8
merged,val_1,val,forecast/mse,0.301187664270401,0.4898990785253536,1971,8
base,val_1,val,forecast/rmse,0.7840888515892727,1.0,1971,8
ft_0,val_1,val,forecast/rmse,1.0179500083339865,1.2982584898008687,1971,8
ft_1,val_1,val,forecast/rmse,0.3373541569838264,0.4302499089230028,1971,8
merged,val_1,val,forecast/rmse,0.5488056707709943,0.6999279095202259,1971,8
base,test,test,forecast/mae,0.5518953204154968,1.0,13817,8
ft_0,test,test,forecast/mae,0.28383153676986694,0.5142850940576613,13817,8
ft_1,test,test,forecast/mae,0.26670464873313904,0.48325223800112904,13817,8
merged,test,test,forecast/mae,0.2579008936882019,0.4673003813368812,13817,8
standard,test,test,forecast/mae,0.20225082337856293,0.36646591463449535,13817,8
base,test,test,forecast/mse,0.5920668840408325,1.0,13817,8
ft_0,test,test,forecast/mse,0.17155589163303375,0.2897576207305697,13817,8
ft_1,test,test,forecast/mse,0.11733005195856094,0.19817026609863414,13817,8
merged,test,test,forecast/mse,0.11527949571609497,0.1947068799547056,13817,8
standard,test,test,forecast/mse,0.07968245446681976,0.13458353543266977,13817,8
base,test,test,forecast/rmse,0.7694588254356646,1.0,13817,8
ft_0,test,test,forecast/rmse,0.41419306082192364,0.5382913901694599,13817,8
ft_1,test,test,forecast/rmse,0.34253474562233965,0.44516319041294744,13817,8
merged,test,test,forecast/rmse,0.3395283430232224,0.44125602540328623,13817,8
standard,test,test,forecast/rmse,0.2822808078258594,0.36685628716524643,13817,8
