merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.6308784484863281,13817,8
0.0,test,test,forecast/rmse,0.7942785710859435,13817,8
0.0,test,test,forecast/mae,0.5940061807632446,13817,8
0.0,val_0,val,forecast/mse,0.5322282910346985,717,8
0.0,val_0,val,forecast/rmse,0.7295397802962484,717,8
0.0,val_0,val,forecast/mae,0.5292044281959534,717,8
0.0,val_1,val,forecast/mse,0.38876432180404663,717,8
0.0,val_1,val,forecast/rmse,0.6235096806017102,717,8
0.0,val_1,val,forecast/mae,0.46300944685935974,717,8
0.0,val_2,val,forecast/mse,0.52962726354599,717,8
0.0,val_2,val,forecast/rmse,0.7277549474555223,717,8
0.0,val_2,val,forecast/mae,0.5860223770141602,717,8
0.0,val_3,val,forecast/mse,0.5725517868995667,717,8
0.0,val_3,val,forecast/rmse,0.7566715184937032,717,8
0.0,val_3,val,forecast/mae,0.6163774132728577,717,8
0.0,val_4,val,forecast/mse,0.6411867737770081,717,8
0.0,val_4,val,forecast/rmse,0.8007413900736042,717,8
0.0,val_4,val,forecast/mae,0.6789209842681885,717,8
0.0,val_base,val,forecast/mse,0.4282103180885315,4061,8
0.0,val_base,val,forecast/rmse,0.6543778098992443,4061,8
0.0,val_base,val,forecast/mae,0.3135760724544525,4061,8
0.1,test,test,forecast/mse,0.22225165367126465,13817,8
0.1,test,test,forecast/rmse,0.47143573652329823,13817,8
0.1,test,test,forecast/mae,0.35815563797950745,13817,8
0.1,val_0,val,forecast/mse,0.18933765590190887,717,8
0.1,val_0,val,forecast/rmse,0.43512947027512267,717,8
0.1,val_0,val,forecast/mae,0.31203070282936096,717,8
0.1,val_1,val,forecast/mse,0.1542818248271942,717,8
0.1,val_1,val,forecast/rmse,0.3927872513552269,717,8
0.1,val_1,val,forecast/mae,0.3073206841945648,717,8
0.1,val_2,val,forecast/mse,0.12469975650310516,717,8
0.1,val_2,val,forecast/rmse,0.3531285268894389,717,8
0.1,val_2,val,forecast/mae,0.27268290519714355,717,8
0.1,val_3,val,forecast/mse,0.19409140944480896,717,8
0.1,val_3,val,forecast/rmse,0.44055806591731916,717,8
0.1,val_3,val,forecast/mae,0.3539707660675049,717,8
0.1,val_4,val,forecast/mse,0.35839810967445374,717,8
0.1,val_4,val,forecast/rmse,0.5986636030981454,717,8
0.1,val_4,val,forecast/mae,0.5018221735954285,717,8
0.1,val_base,val,forecast/mse,0.3835064470767975,4061,8
0.1,val_base,val,forecast/rmse,0.6192789735464926,4061,8
0.1,val_base,val,forecast/mae,0.3070344030857086,4061,8
0.15,test,test,forecast/mse,0.13174882531166077,13817,8
0.15,test,test,forecast/rmse,0.3629722101093426,13817,8
0.15,test,test,forecast/mae,0.2867078483104706,13817,8
0.15,val_0,val,forecast/mse,0.11174582690000534,717,8
